txn Hash,Method,Block,Age,Sender,Receiver,Value,Txn Fee
0x8683e19059dded0e7fba5c01c7f7d267854c1d30a92f81d90a51414e3dd7c7e5,Transfer,19398343,7 secs ago,0x1AB4973a...7688f8F23,0xbf7769d6...6044a582B,0.007732571,0.00154219
0x9125c9684252b440fbd762726296109e5b08d98e3c33e62680bc767fd5162cbb,Transfer,19398343,7 secs ago,0xe401A6A3...cCaCA45E8,Injective Protocol: INJ Token,0.0,0.00219959
0x15851f0db05ebd87e6ab8838204c0a4445fb286921507e131443a7e813eb800a,Transfer,19398343,7 secs ago,0xe401A6A3...cCaCA45E8,Render : RNDR Token,0.0,0.00274969
0x483a6ba8f0e708d14e620992a68432ba785ebb2cb7214eaf00ed0cced15c9be6,Transfer,19398343,7 secs ago,Crypto.com 2,0x7bace6C6...E314e7A15,0.9239,0.0015134
0xa74a3fa3afb96963233b26a98262312ffaea439eee717ded42c98b3b047bea4d,Transfer,19398343,7 secs ago,Crypto.com 2,0x4421cFF5...247c6E390,0.04537,0.0015134
0x9b50c644ad382a9ebdea042dea11c84d9664b0bedccb41cfad20fa0cfae50c96,Transfer,19398343,7 secs ago,Crypto.com 2,Unibot: UNIBOT Token,0.0,0.00547448
0x4abe4ba1d3ba231eac0889177fc8c76739f919da1e639359f3523f660ffecd66,Transfer,19398343,7 secs ago,Crypto.com 2,0x5e703FB2...1aF079779,0.01213,0.0015134
0x39fadf3009453cbc08d286db20ef0ea196f0759feb2d4ed97c1573f0b6e86765,Transfer,19398343,7 secs ago,Crypto.com 2,Circle: USDC Token,0.0,0.00325454
0x1636d1d0bc6d5e16aa0dddc319f3f2717ddd14d3c7d49a701406086582848901,Transfer,19398343,7 secs ago,Binance 14,0xc33b2249...3AFbbeb4d,0.0219745,0.00154048
0xd553f720fc3b6a6d352727023bc361bed408dcb7299111dc888c8418d038bcc7,Transfer,19398343,7 secs ago,Bybit: Hot Wallet,0xCFa45aa3...63998cE26,0.01371705,0.00154048
0xc020eb7836ed52ffd1a47d45e7ed823758ece6938e8e93be238d36abdeb99e39,Transfer,19398343,7 secs ago,Bybit: Hot Wallet,Delysium: AGI Token,0.0,0.00252302
0x83e7134292c521d03f590925693899c11f2be5b6cae38e6aee224253cd2af88e,Transfer,19398343,7 secs ago,Bybit: Hot Wallet,0x25722Cd4...479c8781E,0.0,0.00257503
0x70a17f950d43d82684f59a6031f0c250a49cbb7ce16936b1aa937fe90bcd9582,Transfer,19398343,7 secs ago,0xa03400E0...419517687,0x7b64640A...918CD8dDB,0.00185508,0.00154468
0xc89b2f9b47880c586ef35ec2a438595ab21edf76be80d3a491c5f828c2920187,Transfer,19398343,7 secs ago,0xa03400E0...419517687,0x47F9f153...405C339b4,0.8105,0.00154468
0xf1a0f67b3b77e5fb84fc048a815307a7cc7beab5f7631847e3c92d04eca7b7ac,Transfer,19398343,7 secs ago,Binance 15,District0x: DNT Token,0.0,0.00916303
0x0fee866f79f3f4e9fb7a9adedf4b60db3e1c9c469a0c627150da79257b70539f,Transfer,19398343,7 secs ago,Binance 15,Shiba Inu: SHIB Token,0.0,0.00380683
0x83d813e65483db0626a45f351c00d8ec02232bf589700109c5461136c0183791,Transfer,19398343,7 secs ago,Binance 15,0x3d58E5BF...0E81c3e82,0.213784,0.00332121
0xc0bf568f4068cf3fcc397ba1de0c7bf064ac49e39ee045b121707ba4d3acf6b2,Transfer,19398343,7 secs ago,Binance 15,0xcd8a6717...E6371A902,0.0213751,0.00154048
0x546cce450487c05d2b8800abd549b1b43bea5917bb2635ac9aa3db3a022809cd,Transfer,19398343,7 secs ago,Binance 17,0xF47e2567...AE54881c8,0.0482489,0.00154048
0x519c8c66c941a07e227c71524ba1986eafcf19a29ff826b619a253dced58b1a0,Transfer,19398343,7 secs ago,0x1348550E...2DDb1Cc6F,AIOZ Network: AIOZ Token,0.0,0.00218081
0xe560362644422c2aba1325a5f4501ff6a1d0174a2824903f7a8fc2ff9e2165cf,Transfer,19398343,7 secs ago,0x1348550E...2DDb1Cc6F,0x: ZRX Token,0.0,0.00220201
0x89659b1863acf19b2136b6246f52f1ab564020453df01f4d43dfd7b1d4993d78,Transfer,19398343,7 secs ago,0x1348550E...2DDb1Cc6F,Gala Games: GALA Token,0.0,0.00337968
0xa3789b06d436b17acc30a2b3d4617c66d552536bc4f8b583bdf4d632a3ef937f,0x4c56764c,19398343,7 secs ago,ChainPort: Deployer 3,0xD02c8a35...0108E353c,0.0,0.01456934
0xc6d66e98ec4b54908383e9e0e5ece2fb0304f45fbce9a7e8ef62ba088293e15a,Execute,19398343,7 secs ago,0x9e4AA4d2...1143d0c19,Uniswap: Universal Router,0.13,0.01191535
0x33cf7f446703b259cc458e7f6ed785680a0193db54cef8ecbda6c6607528021b,Commit Batch,19398343,7 secs ago,Scroll: Batch Committer,Scroll: L1 Scroll Chain Proxy,0.0,0.08611591
0x8e2d60ddfb8c2e9ba4640c6b4392b596203a030586826b3d525acfce0cd5fb48,Execute,19398343,7 secs ago,0xC51a7fA1...65C1Ba463,Uniswap: Universal Router,0.0,0.01068272
