Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Business,business-plans,top rated seller,"4,300+ Results",$75,$195,$320,3 days,6 days,10 days,3,5,7,4.9,191,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Hindi",N/A,False
Business,business-plans,top rated seller,"4,300+ Results",€9.67,€67.70,€96.72,2 days,5 days,7 days,-1,-1,-1,4.9,166,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",€9.67,€48.36,€77.37,2 days,5 days,7 days,3,Unlimited,Unlimited,4.7,25,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$10,$50,$90,2 days,4 days,6 days,Unlimited,Unlimited,Unlimited,5.0,42,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$180,$780,"$1,500",30 days,30 days,30 days,0,0,0,5.0,17,Spain,N/A,N/A,N/A,"I speak English, German, Spanish",N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$5,$10,$15,1 day,2 days,3 days,-1,-1,-1,5.0,16,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$30,$100,$300,1 day,3 days,3 days,1,1,1,4.9,17,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$25,$125,$225,1 day,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,94,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$30,$90,$150,5 days,5 days,7 days,3,5,Unlimited,4.9,252,Nigeria,N/A,N/A,N/A,"I speak English, French",N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$20,$80,$120,3 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,18,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$30,$90,$150,5 days,5 days,7 days,3,5,Unlimited,4.7,88,Nigeria,N/A,N/A,N/A,"I speak English, French",N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$50,$250,$350,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,48,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$20,$70,$150,2 days,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,122,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$100,$180,$250,5 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,392,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, Spanish",N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$25,$95,$125,4 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,199,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$15,$50,$70,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.8,18,India,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$5,$20,$60,2 days,3 days,5 days,-1,-1,-1,5.0,21,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Business,business-plans,top rated seller,"4,300+ Results",₪115.23,₪230.47,₪384.11,3 days,5 days,7 days,2,3,5,5.0,190,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,business-plans,top rated seller,"4,300+ Results",$195,$595,"$1,095",5 days,6 days,7 days,2,2,2,5.0,2,Bulgaria,N/A,N/A,N/A,"I speak English, Bulgarian, German",N/A,False
