Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Business,legal-consulting-services,level 2,1200,$95,$95,$95,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,4.9,374,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
Business,legal-consulting-services,level 2,1200,€9.67,€19.34,€29.01,1 day,2 days,2 days,-1,-1,-1,4.9,538,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Business,legal-consulting-services,level 2,1200,$20,$80,$250,1 day,7 days,30 days,-1,-1,-1,4.9,81,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Business,legal-consulting-services,level 2,1200,$250,$450,$650,3 days,4 days,4 days,1,1,2,4.9,274,Nigeria,N/A,N/A,N/A,"I speak English, French, German, Italian",N/A,False
Business,legal-consulting-services,level 2,1200,$10,$30,$40,1 day,2 days,3 days,-1,-1,-1,4.9,544,United Arab Emirates,N/A,N/A,N/A,"I speak English, Urdu, Punjabi",N/A,False
Business,legal-consulting-services,level 2,1200,$20,$30,$40,5 days,3 days,6 days,-1,-1,-1,4.9,567,India,N/A,N/A,N/A,"I speak Hindi, English",N/A,False
Business,legal-consulting-services,level 2,1200,$50,$195,$250,1 day,2 days,1 day,-1,-1,-1,4.9,418,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,legal-consulting-services,level 2,1200,$30,$30,$30,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,104,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,True
Business,legal-consulting-services,level 2,1200,$10,$65,$135,1 day,2 days,3 days,-1,-1,-1,4.9,368,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, French",N/A,False
Business,legal-consulting-services,level 2,1200,$100,$180,$350,3 days,3 days,3 days,-1,-1,-1,5.0,307,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,legal-consulting-services,level 2,1200,$30,$90,$120,1 day,2 days,3 days,-1,-1,-1,4.9,57,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,legal-consulting-services,level 2,1200,$5,$15,$25,1 day,1 day,2 days,-1,-1,-1,4.9,"1,332",Philippines,N/A,N/A,N/A,"I speak English, Tagalog, Chinese, Urdu",N/A,False
Business,legal-consulting-services,level 2,1200,$30,$70,$100,3 days,6 days,10 days,-1,-1,-1,4.9,100,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish, Turkish",N/A,False
Business,legal-consulting-services,level 2,1200,$5,$25,$50,1 day,2 days,3 days,-1,-1,-1,4.9,144,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, German",N/A,False
Business,legal-consulting-services,level 2,1200,$35,$40,$45,5 days,5 days,5 days,-1,-1,-1,5.0,31,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
