Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Business,market-research-reports,level 1,981,$50,$100,$175,2 days,4 days,6 days,-1,-1,-1,4.9,6,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, French, German",N/A,False
Business,market-research-reports,level 1,981,$55,$105,$175,2 days,4 days,7 days,1,2,3,4.9,385,Macedonia [FYROM],N/A,N/A,N/A,"I speak English, German",N/A,False
Business,market-research-reports,level 1,981,$50,$100,$150,2 days,3 days,5 days,3,3,3,4.9,46,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,level 1,981,$10,$30,$70,1 day,2 days,3 days,-1,-1,-1,4.9,55,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Hindi",N/A,False
Business,market-research-reports,level 1,981,€62.85Save up to 10% with Subscribe to Save,€62.85Save up to 10% with Subscribe to Save,€62.85Save up to 10% with Subscribe to Save,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.7,1,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Business,market-research-reports,level 1,981,₪78.09,₪97.61,₪117.13,3 days,3 days,3 days,-1,-1,-1,4.9,39,India,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,level 1,981,$55,$105,$175,2 days,4 days,7 days,1,2,3,4.9,385,Macedonia [FYROM],N/A,N/A,N/A,"I speak English, German",N/A,False
Business,market-research-reports,level 1,981,$120,$190,$290,7 days,14 days,21 days,-1,-1,-1,5.0,4,Germany,N/A,N/A,N/A,"I speak English, German, French",N/A,False
Business,market-research-reports,level 1,981,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,17,India,N/A,N/A,N/A,"I speak English, Hindi, Punjabi",N/A,True
Business,market-research-reports,level 1,981,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.8,43,Indonesia,N/A,N/A,N/A,"I speak English, Indonesian",N/A,True
Business,market-research-reports,level 1,981,$10,$20,$30,1 day,2 days,3 days,-1,-1,-1,4.9,35,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Business,market-research-reports,level 1,981,$10,$20,$40,2 days,4 days,7 days,-1,-1,-1,4.9,34,United Kingdom,N/A,N/A,N/A,"I speak English, French",N/A,False
Business,market-research-reports,level 1,981,$20,$25,$30,3 days,3 days,3 days,-1,-1,-1,4.8,271,India,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,level 1,981,$10,$20,$30,2 days,2 days,3 days,-1,-1,-1,4.9,97,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,level 1,981,$5,$15,$30,10 days,14 days,21 days,-1,-1,-1,4.9,156,Philippines,N/A,N/A,N/A,"I speak English, Tagalog",N/A,False
Business,market-research-reports,level 1,981,$10,$25,$55,1 day,3 days,10 days,-1,-1,-1,5.0,64,Morocco,N/A,N/A,N/A,"I speak English, Arabic, French",N/A,False
Business,market-research-reports,level 1,981,$25,$60,$120,1 day,1 day,2 days,-1,-1,-1,4.6,18,Kenya,N/A,N/A,N/A,I speak English,N/A,False
