Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Business,market-research-reports,new seller,4100,$30,$90,$180,3 days,3 days,5 days,-1,-1,-1,5.0,707,Philippines,N/A,N/A,N/A,"I speak English, Tagalog",N/A,False
Business,market-research-reports,new seller,4100,$500,$510,$805,10 days,10 days,21 days,-1,-1,-1,4.9,69,Lithuania,N/A,N/A,N/A,"I speak English, Russian, Lithuanian, German",N/A,False
Business,market-research-reports,new seller,4100,$60,$140,$180,2 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,146,Bangladesh,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Business,market-research-reports,new seller,4100,$150,$380,$650,10 days,14 days,21 days,-1,-1,-1,4.9,17,Algeria,N/A,N/A,N/A,"I speak English, French, Arabic",N/A,False
Business,market-research-reports,new seller,4100,$400,$450,$500,14 days,14 days,14 days,-1,-1,-1,5.0,3,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$60,$120,$250,2 days,5 days,7 days,-1,-1,-1,4.9,40,South Africa,N/A,N/A,N/A,"I speak English, Afrikaans",N/A,False
Business,market-research-reports,new seller,4100,$95,$295,$495,5 days,10 days,14 days,-1,-1,-1,4.6,5,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$400,$500,$800,7 days,10 days,14 days,-1,-1,-1,5.0,5,Spain,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Business,market-research-reports,new seller,4100,$40,$80,$150,2 days,3 days,5 days,Unlimited,Unlimited,Unlimited,4.7,58,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$20,$55,$105,3 days,7 days,10 days,-1,-1,-1,4.9,92,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Business,market-research-reports,new seller,4100,$60,$120,$195,3 days,5 days,7 days,4,Unlimited,Unlimited,4.9,85,Macedonia [FYROM],N/A,N/A,N/A,"I speak English, Macedonian, German, Spanish",N/A,False
Business,market-research-reports,new seller,4100,$5,$10,$20,2 days,2 days,3 days,-1,-1,-1,4.9,17,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, German",N/A,False
Business,market-research-reports,new seller,4100,$280,$370,$460,4 days,4 days,5 days,-1,-1,-1,5.0,8,Greece,N/A,N/A,N/A,"I speak English, Greek",N/A,False
Business,market-research-reports,new seller,4100,$50,$100,$150,2 days,4 days,6 days,-1,-1,-1,4.9,87,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$80,$160,$250,3 days,4 days,5 days,-1,-1,-1,5.0,185,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Business,market-research-reports,new seller,4100,$45,$75,$125,5 days,5 days,5 days,0,0,0,4.9,553,Canada,N/A,N/A,N/A,"I speak English, French",N/A,False
Business,market-research-reports,new seller,4100,$50,$75,$125,5 days,5 days,5 days,-1,-1,-1,4.7,28,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$20,$60,$100,1 day,2 days,3 days,-1,-1,-1,4.2,21,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$30,$80,$165,4 days,7 days,10 days,-1,-1,-1,4.9,101,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$40,$80,$160,2 days,3 days,4 days,-1,-1,-1,5.0,64,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$10,$25,$50,1 day,1 day,1 day,-1,-1,-1,4.9,55,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, French, Arabic",N/A,False
Business,market-research-reports,new seller,4100,$50,$100,$150,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,4,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$5,$25,$45,1 day,2 days,3 days,-1,-1,-1,5.0,15,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Punjabi",N/A,False
Business,market-research-reports,new seller,4100,$195,$345,$590,14 days,21 days,45 days,-1,-1,-1,5.0,5,Canada,N/A,N/A,N/A,"I speak English, Spanish, French",N/A,False
Business,market-research-reports,new seller,4100,$70,$150,$300,4 days,7 days,7 days,-1,-1,-1,4.8,20,China,N/A,N/A,N/A,"I speak English, Chinese",N/A,False
Business,market-research-reports,new seller,4100,$995,"$1,495","$2,595",4 days,7 days,14 days,-1,-1,-1,4.8,2,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,"$9,560","$16,995","$19,995",30 days,45 days,60 days,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,"$3,995","$3,995","$3,995",14-day delivery,14-day delivery,14-day delivery,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,True
Business,market-research-reports,new seller,4100,"$6,995","$9,995","$12,995",14 days,30 days,30 days,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$5,$25,$40,2 days,2 days,2 days,-1,-1,-1,N/A,N/A,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, German",N/A,False
Business,market-research-reports,new seller,4100,$70,$120,$200,30 days,30 days,45 days,-1,-1,-1,4.6,37,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$10,$100,$400,1 day,3 days,7 days,-1,-1,-1,5.0,1,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$5,$10,$15,1 day,1 day,3 days,-1,-1,-1,4.7,14,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$120,$250,$600,2 days,4 days,6 days,3,6,Unlimited,5.0,3,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,£24.72,£123.62,£247.24,1 day,2 days,3 days,3,3,4,5.0,3,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,new seller,4100,$50,$100,$200,2 days,3 days,5 days,-1,-1,-1,4.8,115,Kenya,N/A,N/A,N/A,I speak English,N/A,False
