Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Business,market-research-reports,top rated seller,75,$150,$250,$800,3 days,4 days,5 days,-1,-1,-1,4.9,69,Bulgaria,N/A,N/A,N/A,"I speak English, Bulgarian, German",N/A,False
Business,market-research-reports,top rated seller,75,$60,$120,$250,6 days,10 days,14 days,-1,-1,-1,4.9,307,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Business,market-research-reports,top rated seller,75,$60,$60,$60,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,42,United States,N/A,N/A,N/A,I speak English,N/A,True
Business,market-research-reports,top rated seller,75,$100,$400,$600,2 days,5 days,7 days,2,2,4,4.9,237,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,False
Business,market-research-reports,top rated seller,75,$125,$400,$600,3 days,6 days,10 days,-1,-1,-1,4.9,8,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,False
Business,market-research-reports,top rated seller,75,$100,$400,$600,2 days,5 days,7 days,2,2,4,4.9,237,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,False
Business,market-research-reports,top rated seller,75,$190,$190,$190,10-day delivery,10-day delivery,10-day delivery,2 Revisions,2 Revisions,2 Revisions,4.7,6,Macedonia [FYROM],N/A,N/A,N/A,I speak English,N/A,True
Business,market-research-reports,top rated seller,75,$300,"$1,000","$2,000",7 days,7 days,14 days,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,top rated seller,75,$150,$380,$600,14 days,14 days,14 days,Unlimited,Unlimited,Unlimited,5.0,237,India,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,top rated seller,75,$125,$375,$575,3 days,5 days,7 days,-1,-1,-1,5.0,130,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,top rated seller,75,$75,$75,$75,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,4.9,32,United States,N/A,N/A,N/A,I speak English,N/A,True
Business,market-research-reports,top rated seller,75,$100,$995,"$1,195",3 days,7 days,7 days,-1,-1,-1,4.8,63,Australia,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,top rated seller,75,$100,$995,"$1,195",3 days,7 days,7 days,-1,-1,-1,4.8,63,Australia,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,top rated seller,75,$350,$600,$800,3 days,5 days,7 days,1,3,Unlimited,4.9,71,Bulgaria,N/A,N/A,N/A,"I speak English, Bulgarian, German",N/A,False
Business,market-research-reports,top rated seller,75,$500,"$1,500","$2,500",7 days,7 days,7 days,-1,-1,-1,4.8,14,Portugal,N/A,N/A,N/A,"I speak English, Portuguese, French, Russian",N/A,False
Business,market-research-reports,top rated seller,75,$100,$345,$495,3 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,19,United States,N/A,N/A,N/A,I speak English,N/A,False
Business,market-research-reports,top rated seller,75,$125,$250,$295,3 days,4 days,5 days,-1,-1,-1,5.0,30,France,N/A,N/A,N/A,"I speak English, French, Spanish, Portuguese",N/A,False
Business,market-research-reports,top rated seller,75,$125,$250,$325,3 days,4 days,5 days,-1,-1,-1,5.0,29,France,N/A,N/A,N/A,"I speak English, French, Spanish, Portuguese",N/A,False
