Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-analactics,level 1,995,$5,$15,$25,2 days,4 days,6 days,1,1,2,5.0,2,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-analactics,level 1,995,$25,$60,$120,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,34,Kenya,N/A,N/A,N/A,"I speak English, French",N/A,False
Data,data-analactics,level 1,995,$5,$10,$15,2 days,2 days,3 days,2,3,3,4.9,149,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Data,data-analactics,level 1,995,$70,$70,$70,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,19,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Punjabi, French",N/A,True
Data,data-analactics,level 1,995,$25,$25,$25,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,10,Pakistan,N/A,N/A,N/A,"I speak Sindhi, English, Urdu",N/A,True
Data,data-analactics,level 1,995,$5,$50,$200,3 days,5 days,6 days,1,2,2,5.0,5,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-analactics,level 1,995,$35,$200,$500,2 days,3 days,5 days,-1,-1,-1,4.9,75,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Data,data-analactics,level 1,995,$30,$50,$105,1 day,2 days,3 days,2,Unlimited,Unlimited,5.0,1,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-analactics,level 1,995,$15,$40,$50,2 days,3 days,4 days,9,9,9,4.2,2,Kenya,N/A,N/A,N/A,"I speak English, Kikuyu, Swahili",N/A,False
Data,data-analactics,level 1,995,$180,$360,$600,7 days,5 days,3 days,1,3,5,5.0,8,India,N/A,N/A,N/A,"I speak Hindi, Telugu, English",N/A,False
Data,data-analactics,level 1,995,$55,$130,$265,2 days,3 days,5 days,1,3,5,5.0,4,Germany,N/A,N/A,N/A,"I speak English, Portuguese, German, Dutch",N/A,False
Data,data-analactics,level 1,995,$20,$20,$20,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,7,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
Data,data-analactics,level 1,995,$75,$125,$200,3 days,5 days,5 days,1,1,1,4.7,5,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Arabic",N/A,False
Data,data-analactics,level 1,995,$230,$230,$230,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,5.0,6,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Punjabi, French",N/A,True
Data,data-analactics,level 1,995,$80,$80,$80,4-day delivery,4-day delivery,4-day delivery,3 Revisions,3 Revisions,3 Revisions,4.9,865,Ukraine,N/A,N/A,N/A,"I speak English, Ukrainian, Spanish",N/A,True
