Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-analactics,top rated seller,48,$350,$550,$850,3 days,4 days,6 days,1,1,2,4.9,173,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Data,data-analactics,top rated seller,48,$125Save up to 15% with Subscribe to Save,$125Save up to 15% with Subscribe to Save,$125Save up to 15% with Subscribe to Save,10-day delivery,10-day delivery,10-day delivery,-1,-1,-1,5.0,5,Brazil,N/A,N/A,N/A,I speak English,N/A,True
Data,data-analactics,top rated seller,48,$35,$35,$35,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,42,Finland,N/A,N/A,N/A,"I speak English, Swedish",N/A,True
Data,data-analactics,top rated seller,48,$100,$400,$800,2 days,3 days,5 days,1,2,3,N/A,N/A,India,N/A,N/A,N/A,I speak English,N/A,False
Data,data-analactics,top rated seller,48,$125,$475,$675,1 day,3 days,5 days,3,3,3,5.0,123,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-analactics,top rated seller,48,$50,$90,$120,5 days,5 days,5 days,2,2,2,5.0,26,Nepal,N/A,N/A,N/A,"I speak English, Hindi, Nepali",N/A,False
Data,data-analactics,top rated seller,48,$125,$250,$500,4 days,7 days,10 days,2,2,2,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak English, Hindi, Urdu",N/A,False
Data,data-analactics,top rated seller,48,$100,$200,$300,3 days,6 days,10 days,-1,-1,-1,4.9,7,Pakistan,N/A,N/A,N/A,"I speak Pashto, English, Urdu, Hindi",N/A,False
Data,data-analactics,top rated seller,48,$30Save up to 20% with Subscribe to Save,$30Save up to 20% with Subscribe to Save,$30Save up to 20% with Subscribe to Save,1-day delivery,1-day delivery,1-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,167,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, French",N/A,True
Data,data-analactics,top rated seller,48,$165,$450,$995,4 days,5 days,7 days,1,2,2,5.0,6,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
