Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-engineering,level 1,293 Results,€483.58,€677.01,€962.32,7 days,14 days,14 days,2,2,2,5.0,3,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-engineering,level 1,293 Results,$250,$450,$950,3 days,5 days,7 days,1,2,5,5.0,5,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Data,data-engineering,level 1,293 Results,$50,$100,$150,1 day,3 days,5 days,0,1,2,5.0,12,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-engineering,level 1,293 Results,$120,$200,$400,2 days,3 days,10 days,1,2,2,5.0,13,United States,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,level 1,293 Results,$100,$300,$450,7 days,10 days,7 days,1,1,2,4.6,8,United Kingdom,N/A,N/A,N/A,"I speak English, Polish",N/A,False
Data,data-engineering,level 1,293 Results,$30,$50,$95,1 day,2 days,3 days,1,1,2,4.9,22,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, French",N/A,False
Data,data-engineering,level 1,293 Results,$80,$160,$300,3 days,7 days,14 days,3,3,3,5.0,19,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Data,data-engineering,level 1,293 Results,$100,"$2,000","$10,000",1 day,2 days,3 days,2,3,7,5.0,10,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,level 1,293 Results,$200,$300,$400,7 days,14 days,21 days,1,2,3,5.0,2,United States,N/A,N/A,N/A,"I speak English, Bulgarian",N/A,False
Data,data-engineering,level 1,293 Results,$100,$100,$100,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,5.0,5,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Data,data-engineering,level 1,293 Results,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,4.7,13,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
