Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-engineering,new seller,"1,600+ Results",$250,$450,$600,3 days,6 days,21 days,3,3,7,5.0,11,Pakistan,N/A,N/A,N/A,"I speak English, German",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$100,$250,$500,3 days,5 days,7 days,-1,-1,-1,5.0,3,United States,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$100,$130,$200,5 days,5 days,10 days,1,1,1,N/A,N/A,Colombia,N/A,N/A,N/A,"I speak Spanish, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$10,$20,$40,3 days,6 days,10 days,3,3,3,5.0,1,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$75,$75,$75,4-day delivery,4-day delivery,4-day delivery,1 Revision,1 Revision,1 Revision,5.0,5,Morocco,N/A,N/A,N/A,"I speak English, Arabic, French, Spanish",N/A,True
Data,data-engineering,new seller,"1,600+ Results",$100,$275,$500,7 days,14 days,21 days,-1,-1,-1,4.9,12,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$30,$50,$200,3 days,3 days,3 days,0,0,0,4.9,25,Morocco,N/A,N/A,N/A,"I speak English, Arabic, French, Spanish",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$110,$110,$110,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,3,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Data,data-engineering,new seller,"1,600+ Results",$40,$70,$100,10 days,7 days,4 days,1,2,3,5.0,15,India,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$50,$50,$50,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,4.9,6,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
Data,data-engineering,new seller,"1,600+ Results",$40,$70,$100,2 days,3 days,4 days,2,2,3,5.0,72,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Data,data-engineering,new seller,"1,600+ Results",₪76.82,₪384.11,"₪1,537",1 day,2 days,5 days,1,2,3,4.9,15,India,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",US$10,US$50,US$100,1 day,3 days,3 days,Unlimited,Unlimited,Unlimited,4.8,8,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi, Arabic",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$20,$40,$60,2 days,2 days,3 days,1,1,1,4.7,5,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$25,$25,$25,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,20,India,N/A,N/A,N/A,I speak English,N/A,True
Data,data-engineering,new seller,"1,600+ Results",$100,$125,$150,3 days,4 days,6 days,1,2,3,5.0,3,India,N/A,N/A,N/A,"I speak Telugu, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$85,$200,$400,2 days,4 days,7 days,2,2,2,5.0,17,United States,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$10,$15,$30,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,3.5,2,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Hindi",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$5,$20,$150,3 days,4 days,5 days,1,2,Unlimited,4.8,38,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Hindi, Arabic",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$50,$100,$200,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,N/A,N/A,Morocco,N/A,N/A,N/A,"I speak English, French, Arabic",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$10,$20,$25,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.8,3,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$120,$200,$500,2 days,3 days,5 days,2,2,2,5.0,3,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$300,$700,"$2,000",4 days,4 days,4 days,1,2,4,4.2,5,United States,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$150,$250,$350,2 days,3 days,5 days,2,2,3,5.0,16,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$50,$300,$900,3 days,14 days,30 days,-1,-1,-1,4.7,2,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$20,$40,$100,1 day,2 days,4 days,3,4,Unlimited,5.0,12,Pakistan,N/A,N/A,N/A,"I speak English, French, Spanish, German",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$75,$400,$800,1 day,1 day,14 days,-1,-1,-1,5.0,3,Italy,N/A,N/A,N/A,"I speak English, Italian, German",N/A,False
Data,data-engineering,new seller,"1,600+ Results",€338.50,€580.29,€870.44,21 days,30 days,30 days,0,1,2,5.0,1,Australia,N/A,N/A,N/A,"I speak English, Hindi, Marathi",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$200,$200,$200,3-day delivery,3-day delivery,3-day delivery,3 Revisions,3 Revisions,3 Revisions,N/A,N/A,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,True
Data,data-engineering,new seller,"1,600+ Results",$170,$170,$170,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,3,United States,N/A,N/A,N/A,I speak English,N/A,True
Data,data-engineering,new seller,"1,600+ Results",$250,$450,$600,3 days,6 days,21 days,3,3,7,5.0,11,Pakistan,N/A,N/A,N/A,"I speak English, German",N/A,False
Data,data-engineering,new seller,"1,600+ Results",€96.72,€145.07,€241.79,3 days,5 days,7 days,0,2,3,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Urdu, Pashto, Hindi, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",€377.19,€570.62,"€1,925",7 days,7 days,30 days,2,2,2,5.0,3,Austria,N/A,N/A,N/A,"I speak English, German, Turkish",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$500,"$1,000","$1,500",5 days,10 days,14 days,4,Unlimited,Unlimited,5.0,3,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$200,"$1,500","$4,000",7 days,14 days,30 days,2,4,Unlimited,4.7,40,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$400,$800,"$1,800",30 days,60 days,90 days,5,Unlimited,Unlimited,4.7,2,United Kingdom,N/A,N/A,N/A,"I speak English, Italian",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$10,$20,$35,1 day,1 day,2 days,1,2,3,4.1,7,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$10,$40,$70,1 day,2 days,3 days,1,2,3,5.0,12,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$120,$220,$500,2 days,4 days,7 days,1,2,3,5.0,9,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$70,$130,$230,7 days,14 days,21 days,1,2,2,5.0,1,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Turkish",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$100,$100,$100,10-day delivery,10-day delivery,10-day delivery,3 Revisions,3 Revisions,3 Revisions,4.9,12,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish, French",N/A,True
Data,data-engineering,new seller,"1,600+ Results",$150,$150,$150,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,1,India,N/A,N/A,N/A,I speak English,N/A,True
Data,data-engineering,new seller,"1,600+ Results",$70,$150,$350,3 days,14 days,45 days,1,3,5,5.0,2,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$5,$25,$50,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,5,Bangladesh,N/A,N/A,N/A,"I speak English, Bengali, Hindi, Malay",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$50,$100,$150,2 days,4 days,6 days,-1,-1,-1,5.0,4,Kazakhstan,N/A,N/A,N/A,"I speak English, Russian, Italian",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$30,$50,$70,5 days,3 days,2 days,-1,-1,-1,5.0,17,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-engineering,new seller,"1,600+ Results",$30,$80,$200,2 days,4 days,7 days,1,2,3,4.7,2,Pakistan,N/A,N/A,N/A,"I speak Sindhi, Urdu, Hindi, English",N/A,False
Data,data-engineering,new seller,"1,600+ Results",$50,$150,$250,3 days,5 days,7 days,1,3,Unlimited,N/A,N/A,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
