Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-mining,level 2,"1,000+ Results",$40,$80,$120,1 day,2 days,2 days,0,1,1,4.9,54,Pakistan,Nov 2020,2 hours,4 days,"Urdu, English",2 orders in queue,False
Data,data-mining,level 2,"1,000+ Results",$50,$150,$250,3 days,4 days,5 days,-1,-1,-1,5.0,1,India,May 2020,1 hour,about 19 hours,"Hindi, Punjabi, English",N/A,False
Data,data-mining,level 2,"1,000+ Results",$30,$60,$80,3 days,4 days,5 days,1,3,5,5.0,79,India,Jun 2022,1 hour,about 8 hours,"Hindi, English",1 order in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$75,$145,1 day,2 days,2 days,3,6,6,4.9,40,Sri Lanka,Jul 2021,1 hour,1 day,English,1 order in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$90,$250,1 day,2 days,2 days,3,4,5,4.9,443,United Kingdom,Jun 2020,3 hours,about 10 hours,"English, Spanish",N/A,False
Data,data-mining,level 2,"1,000+ Results",€29.01,€77.37,€116.06,2 days,5 days,7 days,1,2,5,4.9,111,Pakistan,Sep 2017,1 hour,about 3 hours,"Urdu, English",18 orders in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$90,$250,2 days,3 days,7 days,2,2,2,5.0,"1,379",Pakistan,Feb 2015,1 hour,about 7 hours,"English, Urdu",2 orders in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$75,$145,1 day,2 days,2 days,3,6,6,4.9,40,Sri Lanka,Jul 2021,1 hour,1 day,English,1 order in queue,False
Data,data-mining,level 2,"1,000+ Results",$40,$80,$120,1 day,2 days,2 days,0,1,1,4.9,54,Pakistan,Nov 2020,2 hours,4 days,"Urdu, English",2 orders in queue,False
Data,data-mining,level 2,"1,000+ Results",$100,$100,$100,4-day delivery,4-day delivery,4-day delivery,3 Revisions,3 Revisions,3 Revisions,4.9,70,India,Oct 2019,5 hours,3 days,"Hindi, English, German, Spanish",3 orders in queue,True
Data,data-mining,level 2,"1,000+ Results",$30,$90,$125,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,5.0,"1,622",India,Jul 2020,1 hour,about 7 hours,English,7 orders in queue,False
Data,data-mining,level 2,"1,000+ Results",$5,$25,$45,1 day,2 days,3 days,1,2,2,5.0,575,Egypt,Jun 2018,2 hours,about 12 hours,"English, Arabic",1 order in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$110,$200,2 days,3 days,5 days,-1,-1,-1,4.9,105,Bangladesh,May 2020,1 hour,1 day,"Bengali, English, German",1 order in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$40,$120,1 day,1 day,1 day,9,Unlimited,Unlimited,5.0,321,Indonesia,Jun 2014,1 hour,1 week,"English, Indonesian",2 orders in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$85,$120,2 days,3 days,5 days,1,5,6,4.9,651,Pakistan,Jan 2017,1 hour,about 7 hours,"Urdu, English, Spanish",16 orders in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$50,$100,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,4.9,55,Pakistan,Dec 2022,1 hour,about 15 hours,English,N/A,False
Data,data-mining,level 2,"1,000+ Results",$30,$50,$70,1 day,2 days,3 days,-1,-1,-1,4.7,9,Pakistan,Feb 2023,1 hour,1 day,"Urdu, English, French, German",2 orders in queue,False
Data,data-mining,level 2,"1,000+ Results","$1,000","$4,000","$7,500",1 day,2 days,3 days,0,2,5,4.7,51,United Kingdom,Jun 2020,3 hours,about 10 hours,"English, Spanish",1 order in queue,False
Data,data-mining,level 2,"1,000+ Results",$30,$50,$80,1 day,2 days,3 days,1,2,3,5.0,167,Pakistan,May 2015,1 hour,2 days,"Spanish, English, German, Italian",N/A,False
