Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-processing,level 1,923,$10,$25,$120,1 day,2 days,5 days,-1,-1,-1,4.3,11,Pakistan,Oct 2021,1 hour,about 9 hours,English,3 orders in queue,False
Data,data-processing,level 1,923,$15,$30,$60,1 day,3 days,5 days,-1,-1,-1,5.0,6,Pakistan,Mar 2022,1 hour,1 day,"Urdu, English",6 orders in queue,False
Data,data-processing,level 1,923,$10,$30,$50,3 days,3 days,3 days,3,5,7,5.0,53,India,Jul 2021,1 hour,1 day,"Hindi, English",N/A,False
Data,data-processing,level 1,923,$20,$90,$200,2 days,3 days,7 days,Unlimited,Unlimited,Unlimited,5.0,88,Pakistan,Dec 2022,1 hour,3 days,English,4 orders in queue,False
Data,data-processing,level 1,923,$25,$60,$125,2 days,2 days,3 days,-1,-1,-1,4.8,300,Pakistan,May 2018,1 hour,about 23 hours,"Urdu, English",N/A,False
Data,data-processing,level 1,923,$10,$20,$40,1 day,2 days,5 days,1,2,4,5.0,66,France,Apr 2021,1 hour,1 day,"English, French, Arabic",1 order in queue,False
Data,data-processing,level 1,923,$100,$100,$100,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.9,141,Spain,Apr 2019,14 hours,4 weeks,"English, Spanish, French, German",1 order in queue,True
Data,data-processing,level 1,923,$15,$150,$300,1 day,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,31,Pakistan,Sep 2020,1 hour,about 13 hours,"Urdu, Hindi, English",N/A,False
Data,data-processing,level 1,923,$15,$30,$70,2 days,3 days,5 days,1,1,2,5.0,5,Pakistan,May 2023,1 hour,about 23 hours,"Urdu, English, German, Russian",N/A,False
Data,data-processing,level 1,923,$25,$150,$300,2 days,3 days,4 days,-1,-1,-1,4.9,287,Pakistan,Sep 2020,1 hour,about 19 hours,"Urdu, English",1 order in queue,False
