Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-processing,top rated seller,72,$75,$295,$495,2 days,3 days,5 days,2,5,7,5.0,76,United States,Mar 2020,6 hours,about 22 hours,English,2 orders in queue,False
Data,data-processing,top rated seller,72,$30,$65,$120,2 days,4 days,6 days,2,2,2,5.0,"1,557",Pakistan,Jul 2018,1 hour,about 22 hours,"Urdu, English, Punjabi",3 orders in queue,False
Data,data-processing,top rated seller,72,$75,$295,$595,3 days,7 days,10 days,1,3,5,5.0,"1,178",India,Mar 2019,1 hour,about 5 hours,"English, Hindi, Punjabi",2 orders in queue,False
Data,data-processing,top rated seller,72,$40,$200,"$1,400",3 days,5 days,14 days,-1,-1,-1,5.0,"1,171",Canada,Nov 2015,3 hours,about 19 hours,English,4 orders in queue,False
Data,data-processing,top rated seller,72,$90,$360,$540,2 days,3 days,7 days,Unlimited,Unlimited,Unlimited,5.0,717,Saudi Arabia,Aug 2018,1 hour,about 7 hours,English,1 order in queue,False
Data,data-processing,top rated seller,72,$35,$90,$195,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,189,India,Oct 2020,1 hour,about 22 hours,"English, Hindi, Tamil, Malayalam",N/A,False
Data,data-processing,top rated seller,72,$120,$240,$600,1 day,2 days,6 days,2,3,4,4.8,10,United Kingdom,May 2021,2 hours,3 days,"English, Russian",N/A,False
Data,data-processing,top rated seller,72,$95,$295,$595,3 days,5 days,7 days,1,3,5,4.9,146,India,Mar 2019,1 hour,about 5 hours,"English, Hindi, Punjabi",3 orders in queue,False
Data,data-processing,top rated seller,72,$180,$240,$360,1 day,2 days,3 days,2,2,4,5.0,89,India,May 2022,2 hours,2 days,"English, Hindi",2 orders in queue,False
Data,data-processing,top rated seller,72,£82.13,£205.32,£410.65,3 days,7 days,14 days,3,5,Unlimited,5.0,127,Bangladesh,Oct 2019,1 hour,about 10 hours,"Bengali, English",N/A,False
Data,data-processing,top rated seller,72,$20,$80,$100,3 days,3 days,3 days,-1,-1,-1,4.9,97,Bangladesh,Dec 2022,1 hour,about 9 hours,"English, Chinese, Arabic, Hebrew",1 order in queue,False
Data,data-processing,top rated seller,72,$125,$125,$125,2-day delivery,2-day delivery,2-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,11,United States,Sep 2020,6 hours,2 days,"English, French",N/A,True
Data,data-processing,top rated seller,72,$200,$360,$850,7 days,7 days,14 days,1,1,1,5.0,90,United States,Dec 2014,3 hours,about 17 hours,English,N/A,False
Data,data-processing,top rated seller,72,$90,$360,$540,2 days,3 days,7 days,Unlimited,Unlimited,Unlimited,5.0,717,Saudi Arabia,Aug 2018,1 hour,about 7 hours,English,1 order in queue,False
Data,data-processing,top rated seller,72,$100,$200,$400,4 days,5 days,6 days,-1,-1,-1,4.9,107,United Kingdom,Sep 2019,1 hour,about 4 hours,English,2 orders in queue,False
Data,data-processing,top rated seller,72,$100,$270,$500,2 days,3 days,5 days,0,1,2,5.0,314,Algeria,Feb 2020,1 hour,1 day,"English, Arabic",N/A,False
Data,data-processing,top rated seller,72,$100,$200,$400,1 day,2 days,3 days,1,1,1,5.0,100,Egypt,Jul 2021,2 hours,6 days,"English, Arabic",1 order in queue,False
Data,data-processing,top rated seller,72,$25,$60,$150,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,5.0,47,Morocco,May 2021,1 hour,about 21 hours,"English, French, Arabic",N/A,False
Data,data-processing,top rated seller,72,US$35,US$85,US$145,2 days,5 days,10 days,1,1,2,5.0,227,Pakistan,Nov 2019,1 hour,1 day,"Urdu, Punjabi, English",N/A,False
Data,data-processing,top rated seller,72,$30,$65,$120,2 days,4 days,6 days,2,2,2,5.0,"1,557",Pakistan,Jul 2018,1 hour,about 22 hours,"Urdu, English, Punjabi",3 orders in queue,False
Data,data-processing,top rated seller,72,US$25,US$50,US$80,4 days,3 days,2 days,-1,-1,-1,5.0,426,Pakistan,May 2016,1 hour,3 days,English,N/A,False
Data,data-processing,top rated seller,72,$120,$240,$600,1 day,2 days,6 days,2,3,4,4.8,10,United Kingdom,May 2021,2 hours,3 days,"English, Russian",N/A,False
Data,data-processing,top rated seller,72,$100,$250,$500,3 days,7 days,14 days,3,5,Unlimited,5.0,127,Bangladesh,Oct 2019,1 hour,about 10 hours,"Bengali, English",N/A,False
Data,data-processing,top rated seller,72,$125,$125,$125,2-day delivery,2-day delivery,2-day delivery,3 Revisions,3 Revisions,3 Revisions,4.4,7,United States,Sep 2020,6 hours,2 days,"English, French",N/A,True
Data,data-processing,top rated seller,72,$50,$280,$450,3 days,7 days,10 days,2,2,3,5.0,693,Pakistan,Mar 2017,1 hour,3 days,"Urdu, English, Hindi",N/A,False
Data,data-processing,top rated seller,72,"$4,000","$10,000","$20,000",7 days,21 days,45 days,0,0,0,5.0,104,Egypt,Jan 2019,2 hours,1 day,"English, Arabic",1 order in queue,False
Data,data-processing,top rated seller,72,"$1,000","$3,000","$10,000",4 days,7 days,14 days,0,0,0,5.0,385,Egypt,Jan 2019,2 hours,1 day,"English, Arabic",N/A,False
Data,data-processing,top rated seller,72,$100,$150,$200,2 days,3 days,4 days,-1,-1,-1,5.0,3,Bangladesh,Jan 2022,1 hour,about 3 hours,"Bengali, English",N/A,False
Data,data-processing,top rated seller,72,$75,$295,$495,2 days,3 days,5 days,2,5,7,5.0,76,United States,Mar 2020,6 hours,about 22 hours,English,2 orders in queue,False
Data,data-processing,top rated seller,72,$45,$270,$540,2 days,3 days,7 days,-1,-1,-1,5.0,15,Saudi Arabia,Aug 2018,1 hour,about 7 hours,English,1 order in queue,False
Data,data-processing,top rated seller,72,$250,"$2,950","$7,950",2 days,3 days,10 days,0,0,0,5.0,1,Denmark,Jan 2020,1 hour,about 9 hours,"English, Portuguese, German",N/A,False
Data,data-processing,top rated seller,72,$100,$250,$400,2 days,4 days,7 days,-1,-1,-1,5.0,"1,101",India,Apr 2019,1 hour,1 week,"English, Hindi, Bengali",N/A,False
Data,data-processing,top rated seller,72,$150,$500,"$1,000",3 days,4 days,5 days,1,1,2,5.0,13,Portugal,May 2016,1 hour,2 weeks,"English, Portuguese, French, Russian",N/A,False
Data,data-processing,top rated seller,72,$20,$50,$200,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,54,Pakistan,Jun 2020,3 hours,about 6 hours,"Urdu, English",1 order in queue,False
Data,data-processing,top rated seller,72,$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,119,Pakistan,Jul 2019,1 hour,3 days,"Pashto, Urdu, English, Arabic",N/A,True
Data,data-processing,top rated seller,72,$95,$295,$595,3 days,5 days,7 days,1,3,5,4.9,146,India,Mar 2019,1 hour,about 5 hours,"English, Hindi, Punjabi",3 orders in queue,False
Data,data-processing,top rated seller,72,$180,$240,$360,1 day,2 days,3 days,2,2,3,5.0,13,India,May 2022,2 hours,2 days,"English, Hindi",N/A,False
Data,data-processing,top rated seller,72,$125,$125,$125,2-day delivery,2-day delivery,2-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,11,United States,Sep 2020,6 hours,2 days,"English, French",N/A,True
Data,data-processing,top rated seller,72,$75,$75,$75,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.9,17,United States,Sep 2020,6 hours,2 days,"English, French",N/A,True
Data,data-processing,top rated seller,72,$50,$100,$200,1 day,5 days,10 days,0,1,1,5.0,39,Pakistan,Jun 2020,1 hour,1 day,"Pashto, English, Urdu, Hindi",N/A,False
Data,data-processing,top rated seller,72,$50,$100,$200,2 days,4 days,5 days,2,2,3,5.0,32,Bangladesh,Jan 2022,1 hour,about 3 hours,"Bengali, English",N/A,False
Data,data-processing,top rated seller,72,$25,$45,$100,2 days,2 days,3 days,1,2,3,5.0,16,Sri Lanka,Jun 2018,3 hours,3 days,"Sinhala, English",N/A,False
Data,data-processing,top rated seller,72,$10,$15,$20,2 days,4 days,6 days,Unlimited,Unlimited,Unlimited,5.0,1,Pakistan,Mar 2016,2 hours,2 days,"Urdu, English",N/A,False
Data,data-processing,top rated seller,72,$200,$360,$850,7 days,7 days,14 days,0,1,1,5.0,531,United States,Dec 2014,3 hours,about 17 hours,English,1 order in queue,False
Data,data-processing,top rated seller,72,$30,$120,$200,2 days,3 days,4 days,2,4,6,5.0,30,Pakistan,Aug 2019,1 hour,about 3 hours,"Urdu, English",2 orders in queue,False
Data,data-processing,top rated seller,72,$50,$100,$150,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,5.0,571,United States,Sep 2020,6 hours,2 days,"English, French",N/A,False
Data,data-processing,top rated seller,72,$35,$90,$195,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,189,India,Oct 2020,1 hour,about 22 hours,"English, Hindi, Tamil, Malayalam",N/A,False
Data,data-processing,top rated seller,72,$100,$250,$400,2 days,4 days,7 days,-1,-1,-1,5.0,"1,101",India,Apr 2019,1 hour,1 week,"English, Hindi, Bengali",N/A,False
