Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-science,new seller,400 Results,$20,$50,$80,2 days,3 days,7 days,-1,-1,-1,5.0,2,Pakistan,N/A,N/A,N/A,"I speak Punjabi, English, Urdu, Hindi",N/A,False
Data,data-science,new seller,400 Results,$90,$90,$90,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,15,Pakistan,N/A,N/A,N/A,"I speak Sindhi, English, Urdu, Hindi",N/A,True
Data,data-science,new seller,400 Results,$50,$100,$150,1 day,1 day,1 day,-1,-1,-1,5.0,10,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Punjabi",N/A,False
Data,data-science,new seller,400 Results,$100,$175,$300,1 day,1 day,1 day,-1,-1,-1,5.0,1,United States,N/A,N/A,N/A,I speak English,N/A,False
Data,data-science,new seller,400 Results,$400,$700,"$1,200",1 day,1 day,1 day,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,"I speak English, Italian, French, Spanish",N/A,False
Data,data-science,new seller,400 Results,$90,$90,$90,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.8,3,India,N/A,N/A,N/A,"I speak English, Hindi, Arabic",N/A,True
Data,data-science,new seller,400 Results,$250,$500,"$1,200",7 days,10 days,21 days,3,5,8,5.0,30,South Korea,N/A,N/A,N/A,"I speak English, Urdu, Pashto, Hindi",N/A,False
Data,data-science,new seller,400 Results,$90,$120,$150,2 days,5 days,5 days,-1,-1,-1,5.0,3,India,N/A,N/A,N/A,"I speak English, Hindi, Telugu, Oriya",N/A,False
Data,data-science,new seller,400 Results,$50,$70,$100,1 day,2 days,3 days,-1,-1,-1,4.9,35,Sri Lanka,N/A,N/A,N/A,"I speak Sinhala, English",N/A,False
Data,data-science,new seller,400 Results,$100,$150,$200,4 days,5 days,6 days,-1,-1,-1,4.1,6,Germany,N/A,N/A,N/A,"I speak English, German, Spanish, French",N/A,False
Data,data-science,new seller,400 Results,$90,$120,$145,14 days,14 days,14 days,-1,-1,-1,N/A,N/A,Pakistan,N/A,N/A,N/A,Data science,N/A,False
Data,data-science,new seller,400 Results,€87.04,€87.04,€87.04,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,True
Data,data-science,new seller,400 Results,$90,$90,$90,5-day delivery,5-day delivery,5-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
Data,data-science,new seller,400 Results,$90,$175,$500,4 days,7 days,14 days,-1,-1,-1,4.9,30,Pakistan,N/A,N/A,N/A,"I speak English, Arabic",N/A,False
Data,data-science,new seller,400 Results,$100,$100,$100,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, French, Spanish",N/A,True
Data,data-science,new seller,400 Results,$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,1,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Data,data-science,new seller,400 Results,$80,$120,$150,2 days,3 days,5 days,0,1,2,5.0,9,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, Italian, Hindi",N/A,False
Data,data-science,new seller,400 Results,$90,$150,$355,3 days,7 days,14 days,2,3,5,5.0,5,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-science,new seller,400 Results,$90,$100,$150,2 days,3 days,5 days,-1,-1,-1,N/A,N/A,India,N/A,N/A,N/A,"I speak English, Hindi",N/A,False
Data,data-science,new seller,400 Results,$90,$120,$160,2 days,4 days,6 days,1,2,3,5.0,3,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, German, French",N/A,False
Data,data-science,new seller,400 Results,$100,$170,$200,3 days,5 days,10 days,-1,-1,-1,3.2,2,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-science,new seller,400 Results,€241.79,€483.58,€725.37,7 days,14 days,21 days,0,1,2,N/A,N/A,India,N/A,N/A,N/A,"I speak English, Hindi, Marathi, German",N/A,False
Data,data-science,new seller,400 Results,$120,$220,$500,4 days,4 days,7 days,-1,-1,-1,5.0,23,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-science,new seller,400 Results,$20,$35,$55,7 days,14 days,30 days,0,1,2,N/A,N/A,United States,N/A,N/A,N/A,"I speak English, Kannada, Hindi",N/A,False
Data,data-science,new seller,400 Results,$20,$25,$30,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,2,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-science,new seller,400 Results,"$1,000","$1,800","$2,500",14 days,21 days,30 days,-1,-1,-1,5.0,3,Nigeria,N/A,N/A,N/A,"I speak English, Yoruba, French, Arabic",N/A,False
Data,data-science,new seller,400 Results,€96.72,"€4,836","€9,672",7 days,30 days,90 days,1,3,3,4.8,29,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, German",N/A,False
Data,data-science,new seller,400 Results,€483.58,"€1,451","€2,418",3 days,5 days,7 days,-1,-1,-1,5.0,3,Netherlands,N/A,N/A,N/A,"I speak English, Dutch, German, French",N/A,False
Data,data-science,new seller,400 Results,€96.72,€193.43,€290.15,7 days,10 days,30 days,0,1,3,N/A,N/A,Turkey,N/A,N/A,N/A,"I speak English, German",N/A,False
Data,data-science,new seller,400 Results,$90,$170,$300,7 days,7 days,14 days,-1,-1,-1,4.9,56,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Data,data-science,new seller,400 Results,$90,$150,$400,2 days,5 days,7 days,1,2,3,5.0,10,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Punjabi",N/A,False
Data,data-science,new seller,400 Results,$150,$300,$450,3 days,5 days,7 days,-1,-1,-1,5.0,1,Netherlands,N/A,N/A,N/A,"I speak English, Dutch, German, French",N/A,False
Data,data-science,new seller,400 Results,$150,"$2,000","$5,000",2 days,10 days,30 days,1,2,3,5.0,21,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-science,new seller,400 Results,$90,$130,$210,3 days,4 days,10 days,-1,-1,-1,5.0,38,Pakistan,N/A,N/A,N/A,"I speak English, Arabic",N/A,False
Data,data-science,new seller,400 Results,$90,$150,$245,3 days,3 days,5 days,2,5,Unlimited,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,data-science,new seller,400 Results,$300,$650,$950,3 days,7 days,10 days,1,2,3,5.0,67,Pakistan,N/A,N/A,N/A,"I speak English, German",N/A,False
