Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,data-science,top rated seller,34 Results,$150,$350,$750,2 days,3 days,7 days,-1,-1,-1,4.9,34,Slovenia,N/A,N/A,N/A,"I speak English, Slovenian, Croatian, Latin",N/A,False
Data,data-science,top rated seller,34 Results,$100,$400,"$1,000",1 day,3 days,5 days,0,0,1,5.0,36,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-science,top rated seller,34 Results,$100,$100,$100,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.9,8,Slovenia,N/A,N/A,N/A,"I speak English, Slovenian, Croatian, Latin",N/A,True
Data,data-science,top rated seller,34 Results,$200,$400,"$1,000",5 days,10 days,14 days,-1,-1,-1,5.0,15,Pakistan,N/A,N/A,N/A,"I speak Urdu, Punjabi, Hindi, English",N/A,False
Data,data-science,top rated seller,34 Results,"€3,676","€5,030","€7,544",14 days,21 days,30 days,Unlimited,Unlimited,Unlimited,5.0,80,India,N/A,N/A,N/A,I speak English,N/A,False
Data,data-science,top rated seller,34 Results,€116.06,€174.09,€241.79,3 days,5 days,7 days,0,1,2,4.9,7,India,N/A,N/A,N/A,"I speak Gujarati, English, Hindi",N/A,False
Data,data-science,top rated seller,34 Results,"$2,000","$5,000","$10,000",7 days,14 days,30 days,-1,-1,-1,5.0,3,Pakistan,N/A,N/A,N/A,"I speak English, Dutch, Spanish, German",N/A,False
Data,data-science,top rated seller,34 Results,"$20,000","$20,000","$20,000",90-day delivery,90-day delivery,90-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,2,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Data,data-science,top rated seller,34 Results,€967.15,"€4,836","€9,672",14 days,45 days,60 days,0,1,2,5.0,15,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,data-science,top rated seller,34 Results,$300,$300,$300,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.9,20,United Arab Emirates,N/A,N/A,N/A,I speak English,N/A,True
Data,data-science,top rated seller,34 Results,"$3,400","$5,600","$7,800",7 days,14 days,30 days,Unlimited,Unlimited,Unlimited,5.0,5,India,N/A,N/A,N/A,I speak English,N/A,False
Data,data-science,top rated seller,34 Results,"$3,400","$5,800","$7,800",14 days,21 days,30 days,Unlimited,Unlimited,Unlimited,5.0,3,India,N/A,N/A,N/A,I speak English,N/A,False
Data,data-science,top rated seller,34 Results,$300,$500,"$1,000",5 days,5 days,10 days,-1,-1,-1,5.0,23,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi, Punjabi",N/A,False
