Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,databases,level 2,401 Results,$30,$50,$100,1 day,2 days,3 days,-1,-1,-1,5.0,39,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$30,$60,$150,2 days,3 days,10 days,-1,-1,-1,4.8,4,India,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$40,$190,$230,3 days,4 days,5 days,0,0,0,5.0,62,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Data,databases,level 2,401 Results,$20,$150,$500,1 day,5 days,10 days,2,2,3,4.9,45,India,N/A,N/A,N/A,"I speak Telugu, English, Hindi",N/A,False
Data,databases,level 2,401 Results,$85,$120,$180,2 days,3 days,3 days,-1,-1,-1,5.0,126,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Data,databases,level 2,401 Results,$35,$60,$80,2 days,3 days,5 days,0,3,4,5.0,101,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,level 2,401 Results,$15,$15,$15,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,4.9,81,Pakistan,N/A,N/A,N/A,I speak English,N/A,True
Data,databases,level 2,401 Results,$10,$50,$100,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,5.0,177,Pakistan,N/A,N/A,N/A,"I speak English, French, Spanish",N/A,False
Data,databases,level 2,401 Results,$5,$5,$5,6-day delivery,6-day delivery,6-day delivery,1 Revision,1 Revision,1 Revision,5.0,335,Italy,N/A,N/A,N/A,"I speak English, Italian",N/A,True
Data,databases,level 2,401 Results,$30,$70,$200,2 days,3 days,3 days,-1,-1,-1,5.0,24,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$10,$25,$65,3 days,1 day,3 days,-1,-1,-1,4.5,8,United States,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$10,$10,$10,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,19,Italy,N/A,N/A,N/A,"I speak English, Italian",N/A,True
Data,databases,level 2,401 Results,$300,$650,$990,7 days,10 days,10 days,Unlimited,Unlimited,Unlimited,4.9,58,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$75,$100,$130,3 days,2 days,1 day,1,1,1,5.0,46,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$50,$350,$800,2 days,5 days,10 days,1,2,2,5.0,132,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$20,$150,$500,1 day,5 days,10 days,2,2,3,4.9,45,India,N/A,N/A,N/A,"I speak Telugu, English, Hindi",N/A,False
Data,databases,level 2,401 Results,$30,$100,$150,5 days,10 days,14 days,1,2,3,4.9,35,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,level 2,401 Results,$30,$40,$100,1 day,1 day,2 days,-1,-1,-1,5.0,20,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,12,Sri Lanka,N/A,N/A,N/A,"I speak Sinhala, English",N/A,True
Data,databases,level 2,401 Results,$30,$650,"$1,000",3 days,7 days,14 days,2,3,5,5.0,66,Pakistan,N/A,N/A,N/A,"I speak Pashto, Urdu, English",N/A,False
Data,databases,level 2,401 Results,$50,$350,$800,2 days,5 days,10 days,1,2,2,5.0,132,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$500,"$1,000","$1,600",7 days,14 days,30 days,4,8,Unlimited,5.0,20,Ukraine,N/A,N/A,N/A,"I speak English, Ukrainian",N/A,False
Data,databases,level 2,401 Results,€48.36,€77.37,€145.07,2 days,5 days,7 days,0,1,2,5.0,30,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Arabic, Chinese",N/A,False
Data,databases,level 2,401 Results,$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,12,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Arabic",N/A,True
Data,databases,level 2,401 Results,$50,$50,$50,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,3,Spain,N/A,N/A,N/A,"I speak English, Spanish",N/A,True
Data,databases,level 2,401 Results,$25,$40,$55,2 days,4 days,6 days,1,3,5,4.9,11,Pakistan,N/A,N/A,N/A,"Urdu, English",N/A,False
Data,databases,level 2,401 Results,$15,$15,$15,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,12,India,N/A,N/A,N/A,"I speak Gujarati, English, Hindi",N/A,True
Data,databases,level 2,401 Results,$20,$40,$80,1 day,2 days,1 day,1,2,3,5.0,24,Pakistan,N/A,N/A,N/A,"I speak Urdu, Punjabi, English",N/A,False
Data,databases,level 2,401 Results,$20,$55,$100,1 day,2 days,4 days,1,1,2,5.0,139,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,level 2,401 Results,$35,$55,$750,2 days,3 days,5 days,-1,-1,-1,5.0,14,Sri Lanka,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$30,$50,$100,1 day,2 days,3 days,-1,-1,-1,5.0,39,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$40,$350,$550,3 days,6 days,14 days,1,2,8,5.0,7,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$15,$40,$80,2 days,2 days,3 days,3,3,3,5.0,8,Pakistan,N/A,N/A,N/A,"I speak Urdu, Pashto, English",N/A,False
Data,databases,level 2,401 Results,$60,$240,$320,7 days,7 days,7 days,3,3,3,5.0,22,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,level 2,401 Results,$30,$30,$30,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,216,Sri Lanka,N/A,N/A,N/A,"I speak Sinhala, English",N/A,True
Data,databases,level 2,401 Results,$15,$25,$35,1 day,3 days,4 days,4,8,9,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Punjabi, English, Urdu, Sindhi",N/A,False
Data,databases,level 2,401 Results,$25,$170,$290,1 day,7 days,14 days,1,5,8,5.0,48,Pakistan,N/A,N/A,N/A,"I speak English, Dutch, Hebrew, Spanish",N/A,False
Data,databases,level 2,401 Results,$50,$80,$150,2 days,5 days,7 days,0,1,2,5.0,30,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Arabic, Chinese",N/A,False
Data,databases,level 2,401 Results,$10,$10,$10,7-day delivery,7-day delivery,7-day delivery,3 Revisions,3 Revisions,3 Revisions,4.8,35,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English, Hindi",N/A,True
Data,databases,level 2,401 Results,$5,$60,$200,2 days,2 days,2 days,1,2,2,4.9,86,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Arabic",N/A,False
Data,databases,level 2,401 Results,€48.36,€48.36,€48.36,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,3,Spain,N/A,N/A,N/A,"I speak English, Spanish",N/A,True
