Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,databases,new seller,"2,900+ Results",$45,$45,$45,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,8,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Data,databases,new seller,"2,900+ Results",US$290,US$290,US$290,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,16,Colombia,N/A,N/A,N/A,I speak Spanish,N/A,True
Data,databases,new seller,"2,900+ Results",$10,$40,$120,1 day,3 days,5 days,1,2,3,4.9,9,Germany,N/A,N/A,N/A,"I speak English, German, Polish",N/A,False
Data,databases,new seller,"2,900+ Results",€96.72,€96.72,€96.72,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,3,Italy,N/A,N/A,N/A,"I speak English, Spanish, Italian, German",N/A,True
Data,databases,new seller,"2,900+ Results",$100,$510,$945,5 days,10 days,10 days,7,Unlimited,Unlimited,5.0,4,United Arab Emirates,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,new seller,"2,900+ Results",€145.07,€290.15,€531.93,4 days,7 days,21 days,-1,-1,-1,4.9,18,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,new seller,"2,900+ Results",$445,"$1,000","$2,000",14 days,30 days,60 days,-1,-1,-1,5.0,44,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,new seller,"2,900+ Results",$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,6,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Data,databases,new seller,"2,900+ Results",$30,$50,$100,1 day,2 days,3 days,1,2,3,5.0,12,Jamaica,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,new seller,"2,900+ Results",$100,$200,$400,5 days,7 days,10 days,0,0,0,4.9,19,Turkey,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,new seller,"2,900+ Results",$50,$50,$50,7-day delivery,7-day delivery,7-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,253,Nigeria,N/A,N/A,N/A,I speak English,N/A,True
Data,databases,new seller,"2,900+ Results",$20,$50,$100,1 day,1 day,2 days,Unlimited,Unlimited,Unlimited,4.9,10,Pakistan,N/A,N/A,N/A,"I speak Urdu, Punjabi, English",N/A,False
Data,databases,new seller,"2,900+ Results",$10,$20,$35,2 days,3 days,4 days,2,4,Unlimited,4.9,75,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,new seller,"2,900+ Results",$30,$50,$70,3 days,5 days,7 days,0,5,Unlimited,5.0,3,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,new seller,"2,900+ Results",$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,5,India,N/A,N/A,N/A,"I speak Hindi, English",N/A,True
Data,databases,new seller,"2,900+ Results",$5,$10,$20,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,8,Sri Lanka,N/A,N/A,N/A,I speak Sinhala,N/A,False
Data,databases,new seller,"2,900+ Results",$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,32,India,N/A,N/A,N/A,"I speak Hindi, Gujarati, English",N/A,True
Data,databases,new seller,"2,900+ Results",$40,$40,$40,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.8,9,Netherlands,N/A,N/A,N/A,I speak English,N/A,True
Data,databases,new seller,"2,900+ Results",$5,$35,$200,1 day,3 days,6 days,Unlimited,Unlimited,Unlimited,5.0,9,United Arab Emirates,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Data,databases,new seller,"2,900+ Results",$20,$35,$90,1 day,3 days,7 days,Unlimited,Unlimited,Unlimited,5.0,8,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,new seller,"2,900+ Results",$10,$20,$40,1 day,1 day,2 days,-1,-1,-1,5.0,5,Kenya,N/A,N/A,N/A,I speak English,N/A,False
