Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Data,databases,top rated seller,22 Results,€48.36,€48.36,€48.36,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,36,Serbia,N/A,N/A,N/A,"I speak English, Serbian, German",N/A,True
Data,databases,top rated seller,22 Results,$30Save up to 5% with Subscribe to Save,$30Save up to 5% with Subscribe to Save,$30Save up to 5% with Subscribe to Save,4-day delivery,4-day delivery,4-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,147,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Data,databases,top rated seller,22 Results,$300,$300,$300,7-day delivery,7-day delivery,7-day delivery,5 Revisions,5 Revisions,5 Revisions,5.0,39,Nigeria,N/A,N/A,N/A,I speak English,N/A,True
Data,databases,top rated seller,22 Results,$150,$225,$300,14 days,14 days,14 days,-1,-1,-1,5.0,3,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$30Save up to 5% with Subscribe to Save,$30Save up to 5% with Subscribe to Save,$30Save up to 5% with Subscribe to Save,4-day delivery,4-day delivery,4-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,147,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Data,databases,top rated seller,22 Results,$90,$300,$450,5 days,4 days,5 days,-1,-1,-1,5.0,61,India,N/A,N/A,N/A,"I speak Hindi, English, Urdu",N/A,False
Data,databases,top rated seller,22 Results,$45,$90,$135,5 days,5 days,5 days,-1,-1,-1,5.0,736,Philippines,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,top rated seller,22 Results,$50,$120,$240,3 days,4 days,5 days,5,5,5,5.0,36,Nepal,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,top rated seller,22 Results,$25,$50,$125,1 day,1 day,1 day,-1,-1,-1,5.0,114,Serbia,N/A,N/A,N/A,"I speak English, Serbian, German",N/A,False
Data,databases,top rated seller,22 Results,$5,$15,$40,2 days,3 days,4 days,2,3,4,5.0,5,Poland,N/A,N/A,N/A,"I speak English, Polish, Spanish",N/A,False
Data,databases,top rated seller,22 Results,$75,$150,$300,14 days,14 days,14 days,-1,-1,-1,5.0,170,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$300,$300,$300,7-day delivery,7-day delivery,7-day delivery,5 Revisions,5 Revisions,5 Revisions,5.0,39,Nigeria,N/A,N/A,N/A,I speak English,N/A,True
Data,databases,top rated seller,22 Results,$30,$300,$495,2 days,10 days,14 days,2,5,7,5.0,299,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,top rated seller,22 Results,$300,$450,$600,14 days,14 days,14 days,-1,-1,-1,N/A,N/A,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$150,$225,$300,14 days,14 days,14 days,-1,-1,-1,5.0,25,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$5,$15,$40,2 days,3 days,4 days,2,3,4,5.0,5,Poland,N/A,N/A,N/A,"I speak English, Polish, Spanish",N/A,False
Data,databases,top rated seller,22 Results,US$300,US$450,US$600,14 days,14 days,14 days,-1,-1,-1,N/A,N/A,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$150,$225,$300,14 days,14 days,14 days,-1,-1,-1,5.0,3,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$300,"$1,500","$2,500",2 days,14 days,30 days,3,Unlimited,Unlimited,5.0,160,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,top rated seller,22 Results,$30,$300,$495,2 days,10 days,14 days,2,5,7,5.0,299,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Data,databases,top rated seller,22 Results,$45,$45,$45,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,N/A,N/A,Nepal,N/A,N/A,N/A,I speak English,N/A,True
Data,databases,top rated seller,22 Results,$150,$225,$300,14 days,14 days,14 days,-1,-1,-1,5.0,25,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$950,"$2,300","$3,500",7 days,10 days,14 days,4,6,Unlimited,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak French, German, Spanish, English",N/A,False
Data,databases,top rated seller,22 Results,$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,36,Serbia,N/A,N/A,N/A,"I speak English, Serbian, German",N/A,True
Data,databases,top rated seller,22 Results,$25,$50,$125,1 day,1 day,1 day,-1,-1,-1,5.0,114,Serbia,N/A,N/A,N/A,"I speak English, Serbian, German",N/A,False
Data,databases,top rated seller,22 Results,$75,$150,$300,14 days,14 days,14 days,-1,-1,-1,5.0,170,Cyprus,N/A,N/A,N/A,"I speak English, Greek, Russian",N/A,False
Data,databases,top rated seller,22 Results,$300,"$1,500","$2,500",2 days,14 days,30 days,3,Unlimited,Unlimited,5.0,160,Nigeria,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,top rated seller,22 Results,$950,"$2,300","$3,500",7 days,10 days,14 days,4,6,Unlimited,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak French, German, Spanish, English",N/A,False
Data,databases,top rated seller,22 Results,"$1,000","$1,500","$2,300",1 day,3 days,5 days,-1,-1,-1,5.0,2,United Kingdom,N/A,N/A,N/A,"I speak English, Russian",N/A,False
Data,databases,top rated seller,22 Results,$250,$450,$800,2 days,10 days,30 days,3,5,8,5.0,1,Nepal,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,top rated seller,22 Results,$15,$40,$75,1 day,2 days,3 days,-1,-1,-1,4.0,1,India,N/A,N/A,N/A,I speak English,N/A,False
Data,databases,top rated seller,22 Results,€962.32,€962.32,€962.32,10-day delivery,10-day delivery,10-day delivery,-1,-1,-1,5.0,3,India,N/A,N/A,N/A,"I speak English, French",N/A,True
Data,databases,top rated seller,22 Results,€48.36,€48.36,€48.36,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,5.0,5,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,True
Data,databases,top rated seller,22 Results,₪576.17,"₪1,153","₪2,881",3 days,7 days,14 days,1,2,2,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
