Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,influencer-marketing,level 2,652,€9.78,€14.67,€24.44,1 day,2 days,3 days,-1,-1,-1,5.0,3,Bangladesh,Oct 2021,1 hour,6 days,"English, Spanish, German, Russian",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$120,$220,$360,3 days,4 days,5 days,-1,-1,-1,5.0,636,Brazil,Nov 2021,1 hour,3 days,English,1 order in queue,False
Digital Marketing,influencer-marketing,level 2,652,$50,$90,$120,3 days,4 days,5 days,-1,-1,-1,4.9,420,Canada,Jul 2020,2 hours,about 20 hours,English,5 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$100,$200,$300,7 days,7 days,7 days,-1,-1,-1,4.9,62,United States,Nov 2018,1 hour,3 days,English,5 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$5,$60,$145,2 days,5 days,10 days,-1,-1,-1,4.7,3,Bangladesh,Feb 2020,1 hour,1 day,"English, French, Spanish, German",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$15,$35,$70,2 days,4 days,7 days,-1,-1,-1,4.8,78,Bangladesh,Jul 2020,1 hour,3 days,"Spanish, German, French, English",2 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$15,$25,$50,2 days,3 days,4 days,-1,-1,-1,5.0,51,Pakistan,Nov 2019,1 hour,about 19 hours,English,4 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$380,$680,$880,2 days,3 days,3 days,-1,-1,-1,4.9,20,Canada,Jun 2019,3 hours,1 week,English,1 order in queue,False
Digital Marketing,influencer-marketing,level 2,652,$10,$20,$50,1 day,2 days,5 days,-1,-1,-1,4.8,342,India,Mar 2015,2 hours,2 days,English,N/A,False
Digital Marketing,influencer-marketing,level 2,652,€73.33,€97.77,€122.21,5 days,5 days,5 days,-1,-1,-1,4.9,123,Germany,May 2018,1 hour,2 days,"English, German",3 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,€24.44,€87.99,€97.77,3 days,3 days,3 days,-1,-1,-1,4.9,240,Finland,Mar 2021,1 hour,2 days,English,N/A,False
Digital Marketing,influencer-marketing,level 2,652,$5,$20,$50,1 day,2 days,3 days,-1,-1,-1,4.8,27,Pakistan,Mar 2023,1 hour,1 day,"Urdu, French, German, English",2 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$10,$25,$50,2 days,3 days,4 days,-1,-1,-1,4.9,435,Pakistan,Mar 2019,1 hour,about 23 hours,"English, French, German, Spanish",2 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$490,$590,$750,2 days,2 days,2 days,-1,-1,-1,5.0,99,Thailand,Oct 2022,2 hours,3 days,English,N/A,False
Digital Marketing,influencer-marketing,level 2,652,$5,$10,$20,1 day,1 day,2 days,-1,-1,-1,4.9,210,Pakistan,May 2019,1 hour,1 week,"English, German",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$15,$100,$200,5 days,5 days,5 days,-1,-1,-1,5.0,157,Italy,Jul 2018,3 hours,1 week,"English, Spanish, Chinese, Italian",4 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$15,$60,$100,2 days,7 days,10 days,-1,-1,-1,5.0,57,Bangladesh,Jul 2020,1 hour,3 days,"Spanish, German, French, English",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$50,$250,$400,2 days,7 days,14 days,-1,-1,-1,5.0,45,Pakistan,Nov 2017,1 hour,2 months,"Urdu, English",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$300,$500,$800,4 days,4 days,4 days,-1,-1,-1,4.8,10,Ukraine,May 2022,9 hours,1 day,"English, Ukrainian, Polish",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$30,$55,$90,2 days,4 days,6 days,-1,-1,-1,4.9,29,Zambia,Nov 2020,3 hours,1 week,"English, Chinese",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$50,$100,$150,2 days,4 days,7 days,0,0,0,4.8,31,Australia,Jun 2022,2 hours,1 month,"English, Arabic",N/A,False
Digital Marketing,influencer-marketing,level 2,652,€29.33,€58.66,€117.32,7 days,14 days,21 days,-1,-1,-1,4.8,4,Germany,Jul 2017,1 hour,1 day,"English, German, French",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$10,$40,$100,10 days,10 days,10 days,-1,-1,-1,4.9,63,Brazil,May 2020,1 hour,2 weeks,"English, Portuguese",1 order in queue,False
Digital Marketing,influencer-marketing,level 2,652,$5,$10,$25,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,4.9,102,Pakistan,Jun 2016,2 hours,3 days,"Urdu, English, Hindi, Punjabi",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$5,$30,$45,1 day,2 days,4 days,-1,-1,-1,4.7,44,Bangladesh,Jun 2021,1 hour,4 days,English,N/A,False
Digital Marketing,influencer-marketing,level 2,652,$10,$25,$50,2 days,3 days,4 days,-1,-1,-1,4.9,270,Bangladesh,May 2021,1 hour,3 days,"English, German, Spanish, Italian",3 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$10,$25,$50,2 days,4 days,6 days,-1,-1,-1,4.9,272,Pakistan,May 2023,1 hour,about 19 hours,"English, Spanish, French, German",6 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$100,$130,$200,5 days,6 days,7 days,-1,-1,-1,4.9,80,United States,Jun 2020,8 hours,2 days,English,2 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$110,$290,"$1,400",3 days,3 days,30 days,-1,-1,-1,5.0,16,United Kingdom,Apr 2019,5 hours,1 day,"English, Spanish",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$100,$160,$240,4 days,5 days,6 days,-1,-1,-1,5.0,7,India,Jan 2017,3 hours,4 months,"English, Hindi, Gujarati",N/A,False
Digital Marketing,influencer-marketing,level 2,652,€48.88,€97.77,€195.53,3 days,3 days,5 days,-1,-1,-1,5.0,11,India,Sep 2021,14 hours,2 months,"Hindi, English",N/A,False
Digital Marketing,influencer-marketing,level 2,652,€44,€83.10,€391.07,7 days,14 days,30 days,-1,-1,-1,4.6,19,Romania,Sep 2017,2 hours,1 week,English,1 order in queue,False
Digital Marketing,influencer-marketing,level 2,652,€34.22,€87.99,€141.76,3 days,5 days,10 days,0,0,0,4.9,73,Canada,Jul 2021,7 hours,1 day,English,1 order in queue,False
Digital Marketing,influencer-marketing,level 2,652,$25,$45,$250,2 days,2 days,14 days,Unlimited,Unlimited,Unlimited,4.9,101,Czech Republic,May 2017,2 hours,4 days,"English, Czech, German",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$50,$75,$150,7 days,7 days,7 days,1,1,1,5.0,56,Canada,Jul 2021,7 hours,1 day,English,2 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$20,$35,$60,3 days,4 days,4 days,-1,-1,-1,4.9,796,India,Sep 2016,1 hour,1 day,"English, Hindi",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$30,$90,$180,2 days,3 days,5 days,-1,-1,-1,4.8,40,Pakistan,Jan 2022,1 hour,2 days,"Urdu, English, German, Spanish",1 order in queue,False
Digital Marketing,influencer-marketing,level 2,652,$25,$60,$120,2 days,3 days,5 days,-1,-1,-1,4.8,82,Bangladesh,Dec 2015,1 hour,4 days,"English, Bengali",N/A,False
Digital Marketing,influencer-marketing,level 2,652,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.6,3,Bangladesh,Oct 2022,1 hour,1 day,"English, Spanish, German, Chinese",N/A,True
Digital Marketing,influencer-marketing,level 2,652,$10,$40,$70,2 days,3 days,5 days,-1,-1,-1,4.9,64,Bangladesh,Nov 2020,1 hour,1 week,"Bengali, English, Spanish, Hindi",N/A,False
Digital Marketing,influencer-marketing,level 2,652,€58.66,€78.21,€97.77,1 day,2 days,3 days,-1,-1,-1,4.7,163,Spain,Apr 2020,5 hours,3 days,"English, Spanish, Catalan",1 order in queue,False
Digital Marketing,influencer-marketing,level 2,652,$450,$700,$800,2 days,3 days,4 days,0,0,1,5.0,97,Pakistan,Jul 2019,3 hours,about 22 hours,English,N/A,False
Digital Marketing,influencer-marketing,level 2,652,$15,$25,$40,2 days,4 days,6 days,-1,-1,-1,4.9,377,Italy,Mar 2019,1 hour,1 day,"English, Italian, French",5 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$5,$20,$40,1 day,3 days,4 days,-1,-1,-1,5.0,39,Pakistan,Dec 2023,1 hour,1 day,English,6 orders in queue,False
Digital Marketing,influencer-marketing,level 2,652,$35,$75,$100,7 days,10 days,14 days,-1,-1,-1,5.0,322,United States,Sep 2018,4 hours,1 day,English,3 orders in queue,False
