Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,influencer-marketing,new seller,314,$75,$125,$165,10 days,10 days,10 days,-1,-1,-1,5.0,31,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,17,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,$50,$50,$50,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,22,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,€48.88,€48.88,€48.88,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,39,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,$50,$50,$50,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,37,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,$10,$60,$200,3 days,7 days,21 days,-1,-1,-1,4.9,8,Bangladesh,N/A,N/A,N/A,"I speak English, French",N/A,False
Digital Marketing,influencer-marketing,new seller,314,$75,$75,$75,6-day delivery,6-day delivery,6-day delivery,-1,-1,-1,5.0,1,Philippines,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,$10,$100,$200,3 days,7 days,14 days,-1,-1,-1,5.0,8,Bangladesh,N/A,N/A,N/A,"I speak English, Bengali",N/A,False
Digital Marketing,influencer-marketing,new seller,314,$50,$50,$50,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,5.0,1,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,True
Digital Marketing,influencer-marketing,new seller,314,$50,$50,$50,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,5.0,3,South Africa,N/A,N/A,N/A,"I speak English, South Ndebele",N/A,True
Digital Marketing,influencer-marketing,new seller,314,$35,$75,$125,3 days,5 days,7 days,-1,-1,-1,4.8,4,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$5,$15,$25,2 days,4 days,7 days,-1,-1,-1,4.9,66,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,3,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,$10,$60,$150,2 days,7 days,14 days,-1,-1,-1,5.0,2,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$10,$55,$220,2 days,7 days,30 days,-1,-1,-1,N/A,N/A,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Digital Marketing,influencer-marketing,new seller,314,$5,$10,$30,2 days,3 days,10 days,-1,-1,-1,5.0,41,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$5,$75,$215,3 days,7 days,21 days,-1,-1,-1,5.0,2,Indonesia,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,2,India,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,$10,$60,$250,3 days,7 days,21 days,-1,-1,-1,4.8,13,Bangladesh,N/A,N/A,N/A,"I speak English, German, French, Italian",N/A,False
Digital Marketing,influencer-marketing,new seller,314,$20,$40,$80,1 day,2 days,3 days,-1,-1,-1,4.4,6,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$15,$30,$50,2 days,2 days,2 days,-1,-1,-1,5.0,3,Kenya,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Digital Marketing,influencer-marketing,new seller,314,$20,$100,$200,1 day,3 days,3 days,-1,-1,-1,4.5,4,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$5,$10,$15,4 days,3 days,2 days,-1,-1,-1,5.0,10,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$5,$5,$5,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Digital Marketing,influencer-marketing,new seller,314,$20,$100,$120,2 days,3 days,5 days,-1,-1,-1,5.0,16,India,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$30,$30,$30,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,4,India,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,influencer-marketing,new seller,314,$15,$45,$90,4 days,6 days,7 days,-1,-1,-1,2.3,1,United States,N/A,N/A,N/A,Spotify,N/A,False
Digital Marketing,influencer-marketing,new seller,314,$10,$140,$220,5 days,7 days,10 days,-1,-1,-1,5.0,1,United States,N/A,N/A,N/A,I speak English,N/A,False
