Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$10,$50,$95,7 days,21 days,30 days,-1,-1,-1,4.9,4,Sri Lanka,Apr 2021,1 hour,2 days,English,1 order in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$10,$65,$110,2 days,5 days,7 days,-1,-1,-1,4.9,16,Bangladesh,Jun 2023,1 hour,4 weeks,English,N/A,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$15,$70,$145,5 days,7 days,10 days,-1,-1,-1,4.9,45,Sri Lanka,Mar 2020,1 hour,about 18 hours,"English, German, French, Spanish",N/A,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$20,$100,$190,4 days,6 days,10 days,-1,-1,-1,5.0,1,Israel,Aug 2022,2 hours,1 day,"English, Hebrew",N/A,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$45,$85,$195,4 days,10 days,30 days,-1,-1,-1,4.9,206,India,Mar 2020,1 hour,4 days,"Hindi, English",5 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$35,$70,$150,3 days,5 days,10 days,-1,-1,-1,4.9,"1,881",Bangladesh,Jan 2015,1 hour,about 10 hours,English,1 order in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$25,$40,$55,3 days,4 days,5 days,-1,-1,-1,5.0,334,Bangladesh,Jan 2015,1 hour,about 10 hours,English,N/A,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$55,$75,$95,10 days,14 days,21 days,-1,-1,-1,5.0,398,India,Oct 2013,3 hours,1 week,"English, Hindi, Tamil, Telugu",6 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$250,$800,"$2,500",3 days,30 days,30 days,-1,-1,-1,4.9,11,United States,Oct 2022,3 hours,about 7 hours,"English, Spanish",2 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$5,$5,$5,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.9,56,United States,Jan 2024,3 hours,about 21 hours,"English, Spanish",2 orders in queue,True
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$15,$35,$85,5 days,10 days,14 days,-1,-1,-1,5.0,51,Pakistan,Aug 2023,1 hour,1 day,"English, German, French, Italian",2 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$5,$30,$60,3 days,7 days,10 days,-1,-1,-1,4.7,60,Pakistan,Apr 2023,1 hour,1 day,"English, German, Hindi, French",5 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$20,$30,$40,3 days,5 days,7 days,-1,-1,-1,4.9,12,Pakistan,Feb 2024,1 hour,5 days,"English, French, Spanish, German",1 order in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$5,$20,$35,2 days,4 days,6 days,-1,-1,-1,4.9,22,Bangladesh,Mar 2022,1 hour,1 week,"English, Bengali",N/A,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$40,$45,"$1,150",2 days,1 day,30 days,-1,-1,-1,5.0,3,Israel,Dec 2017,1 hour,2 weeks,"English, Hebrew",N/A,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$5,$45,$150,1 day,7 days,30 days,-1,-1,-1,5.0,21,Pakistan,Nov 2021,1 hour,5 days,"English, Spanish, French",4 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$15,$35,$75,7 days,10 days,14 days,-1,-1,-1,4.9,552,Italy,Dec 2018,2 hours,4 days,"English, Italian, Spanish, Russian",5 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$5,$45,$150,1 day,7 days,30 days,-1,-1,-1,5.0,21,Pakistan,Nov 2021,1 hour,5 days,"English, Spanish, French",4 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$10,$30,$50,2 days,3 days,4 days,-1,-1,-1,4.9,62,Pakistan,Dec 2023,3 hours,1 day,"English, Spanish, German, Hindi",3 orders in queue,False
Digital Marketing,online-video-marketing,level 1,"1,200+ Results",$5,$30,$50,2 days,3 days,5 days,-1,-1,-1,4.8,63,Pakistan,Jun 2023,1 hour,about 8 hours,"English, French, German, Spanish",2 orders in queue,False
