Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",₪38.41,₪172.85,₪307.29,3 days,7 days,10 days,-1,-1,-1,4.9,23,Bangladesh,Dec 2023,1 hour,1 day,English,N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",₪38.41,₪96.03,₪211.26,3 days,4 days,5 days,-1,-1,-1,4.9,593,Bangladesh,Nov 2019,N/A,about 7 hours,English,1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$15,$150,$220,4 days,21 days,45 days,-1,-1,-1,4.8,30,Pakistan,Dec 2023,2 hours,1 day,"English, French, German, Arabic",1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$40,$100,3 days,4 days,5 days,-1,-1,-1,4.9,57,Bangladesh,Oct 2023,2 hours,4 days,"Bengali, English",1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$395,$495,$595,6 days,7 days,10 days,-1,-1,-1,5.0,2,United States,Nov 2018,2 days,1 year,English,N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$20,$40,$100,3 days,5 days,10 days,-1,-1,-1,4.9,280,Pakistan,Jul 2019,N/A,1 month,"English, Bengali, Urdu, Hindi",N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$50,$150,$250,7 days,14 days,30 days,-1,-1,-1,4.9,21,Pakistan,Dec 2023,1 hour,about 2 hours,"Hindi, English, German, Urdu",5 orders in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$35,$85,2 days,7 days,10 days,-1,-1,-1,4.9,"1,138",Bangladesh,Feb 2021,1 day,about 22 hours,English,13 orders in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$10,$25,$70,5 days,7 days,10 days,-1,-1,-1,4.8,31,Pakistan,Nov 2023,1 hour,3 days,"Urdu, Pashto, English",1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$25,$50,3 days,5 days,7 days,-1,-1,-1,4.7,22,Bangladesh,Dec 2022,1 hour,2 weeks,"Bengali, English, Spanish",N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$10,$50,$95,2 days,4 days,7 days,-1,-1,-1,4.9,24,Bangladesh,Jun 2023,N/A,1 week,English,N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$15,$20,1 day,1 day,2 days,-1,-1,-1,5.0,47,Pakistan,Feb 2020,N/A,1 week,"Urdu, English",N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$15,$25,$45,3 days,5 days,7 days,-1,-1,-1,5.0,17,Bangladesh,Dec 2023,1 hour,6 days,"English, French, German, Spanish",1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$30,$90,6 days,14 days,30 days,-1,-1,-1,4.8,374,Pakistan,Dec 2019,N/A,3 weeks,"French, German, Spanish, English",1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$25,$65,2 days,4 days,7 days,-1,-1,-1,4.9,43,Bangladesh,Feb 2024,1 hour,about 2 hours,"English, Spanish, French",2 orders in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$40,$80,2 days,5 days,10 days,-1,-1,-1,4.9,27,Pakistan,Oct 2023,1 hour,about 10 hours,"Urdu, English, Spanish, French",2 orders in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$10,$20,$50,1 day,2 days,5 days,-1,-1,-1,4.5,30,Bangladesh,Feb 2024,1 hour,2 days,"Bengali, English, Spanish, Russian",11 orders in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$25,$400,4 days,5 days,14 days,-1,-1,-1,5.0,31,India,Sep 2021,1 hour,about 8 hours,"English, Hindi",3 orders in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",€9.67,€24.18,€48.36,10 days,14 days,14 days,-1,-1,-1,5.0,16,Pakistan,Oct 2023,1 hour,1 week,English,1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$25,$50,3 days,5 days,10 days,-1,-1,-1,5.0,25,Bangladesh,Mar 2024,1 hour,1 week,English,N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$25,$60,3 days,5 days,7 days,-1,-1,-1,4.9,26,Pakistan,Aug 2022,1 hour,4 days,"English, Dutch, Spanish",N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",€4.84,€24.18,€48.36,3 days,5 days,7 days,-1,-1,-1,4.7,19,Bangladesh,Dec 2023,1 hour,1 day,"Bengali, English, Spanish, German",N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$100,$200,$345,5 days,10 days,21 days,-1,-1,-1,4.8,33,Pakistan,Aug 2022,1 hour,2 weeks,English,1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$100,$100,$100,14-day delivery,14-day delivery,14-day delivery,-1,-1,-1,4.9,21,Pakistan,Apr 2023,N/A,about 8 hours,"Urdu, English, Dutch, French",N/A,True
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$10,$30,3 days,3 days,3 days,-1,-1,-1,4.7,47,Pakistan,May 2023,1 hour,1 week,"Urdu, English, Arabic, French",1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$5,$25,$50,3 days,5 days,10 days,-1,-1,-1,5.0,33,Bangladesh,Mar 2024,3 hours,1 week,English,N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$10,$90,$185,1 day,7 days,14 days,-1,-1,-1,5.0,19,Bangladesh,Dec 2022,N/A,2 months,"Bengali, English, French, Spanish",N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$10,$55,$100,7 days,14 days,30 days,-1,-1,-1,4.9,49,Bangladesh,Sep 2023,N/A,3 weeks,"English, Spanish",1 order in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",€4.84,€48.36,€96.72,3 days,5 days,10 days,-1,-1,-1,4.9,17,Bangladesh,Dec 2023,13 hours,1 month,"English, Bengali, German",N/A,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$10,$30,$60,5 days,7 days,14 days,-1,-1,-1,4.9,505,Bangladesh,Jun 2020,13 hours,1 week,"English, Bengali",2 orders in queue,False
Digital Marketing,online-video-marketing,new seller,"12,000+ Results",$10,$50,$90,2 days,5 days,10 days,-1,-1,-1,4.9,149,Bangladesh,Jan 2020,N/A,2 days,"English, Spanish, German",1 order in queue,False
