Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,online-video-marketing,top rated seller,32 Results,$150,$300,$600,2 days,2 days,2 days,-1,-1,-1,5.0,52,United States,Jun 2016,2 hours,1 day,English,N/A,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$105,$195,$585,4 days,5 days,7 days,-1,-1,-1,4.9,102,Pakistan,Jan 2018,1 hour,1 day,"English, Portuguese, German, French",N/A,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$25,$125,$195,2 days,3 days,5 days,-1,-1,-1,5.0,"3,043",United States,N/A,1 hour,about 6 hours,English,43 orders in queue,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$75,$95,$145,5 days,5 days,5 days,-1,-1,-1,5.0,376,Ukraine,Aug 2020,4 hours,2 days,"English, Russian, Ukrainian",N/A,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,€174.09,€232.12,€290.15,3 days,4 days,5 days,-1,-1,-1,5.0,240,Brazil,Aug 2019,1 hour,about 4 hours,"English, German",2 orders in queue,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$10,$30,$60,5 days,7 days,14 days,-1,-1,-1,5.0,"5,961",Pakistan,Mar 2019,1 hour,about 2 hours,"English, German, French, Spanish",82 orders in queue,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$25,$125,$195,2 days,3 days,5 days,-1,-1,-1,5.0,"3,043",United States,N/A,1 hour,about 6 hours,English,43 orders in queue,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$20,$55,$115,4 days,5 days,6 days,-1,-1,-1,4.9,"1,709",Pakistan,Jan 2018,1 hour,1 day,"English, Portuguese, German, French",22 orders in queue,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$300,$550,"$1,500",21 days,30 days,30 days,-1,-1,-1,4.9,313,Pakistan,Sep 2019,1 hour,4 days,"Urdu, English, Hindi",11 orders in queue,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$75,$95,$145,5 days,5 days,5 days,-1,-1,-1,5.0,376,Ukraine,Aug 2020,4 hours,2 days,"English, Russian, Ukrainian",N/A,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$200Save up to 20% with Subscribe to Save,$200Save up to 20% with Subscribe to Save,$200Save up to 20% with Subscribe to Save,30-day delivery,30-day delivery,30-day delivery,-1,-1,-1,4.0,1,India,Jul 2012,3 hours,about 6 hours,English,N/A,True
Digital Marketing,online-video-marketing,top rated seller,32 Results,$100,$200,$400,3 days,3 days,3 days,-1,-1,-1,4.9,100,United States,Dec 2016,1 hour,about 2 hours,"English, Portuguese, Spanish",1 order in queue,False
Digital Marketing,online-video-marketing,top rated seller,32 Results,$195,$395,$625,21 days,21 days,30 days,-1,-1,-1,5.0,2,United States,Sep 2015,2 hours,3 days,"English, Spanish",N/A,False
