Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,podcast-marketing,level 2,47,$35,$95,$170,1 day,3 days,7 days,-1,-1,-1,5.0,52,Jamaica,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$50,$95,$115,10 days,10 days,10 days,-1,-1,-1,5.0,195,United States,N/A,N/A,N/A,"I speak English, Portuguese",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$70,$140,$300,7 days,14 days,30 days,-1,-1,-1,5.0,2,Bangladesh,N/A,N/A,N/A,"I speak English, Bengali",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$50,$75,$95,10 days,10 days,10 days,-1,-1,-1,5.0,19,United States,N/A,N/A,N/A,"I speak English, Portuguese",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$300,$300,$300,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,4.9,23,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, Arabic, German",N/A,True
Digital Marketing,podcast-marketing,level 2,47,$65,$135,$225,7 days,14 days,14 days,-1,-1,-1,5.0,19,United States,N/A,N/A,N/A,"I speak English, Portuguese",N/A,False
Digital Marketing,podcast-marketing,level 2,47,€9.78,€97.77,€190.65,4 days,6 days,10 days,-1,-1,-1,N/A,N/A,Nigeria,N/A,N/A,N/A,"I speak English, Yoruba, French, German",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$75,$145,$200,4 days,5 days,7 days,-1,-1,-1,5.0,19,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,€73.33,€141.76,€195.53,4 days,5 days,7 days,-1,-1,-1,5.0,19,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$50,$55,$60,2 days,2 days,2 days,-1,-1,-1,5.0,46,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$15,$25,$35,3 days,3 days,3 days,-1,-1,-1,5.0,336,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$15,$45,$90,4 days,4 days,4 days,-1,-1,-1,4.9,156,United States,N/A,N/A,N/A,"I speak English, Italian",N/A,False
Digital Marketing,podcast-marketing,level 2,47,€24.44,€48.88,€73.33,14 days,14 days,14 days,-1,-1,-1,5.0,18,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,€14.67,€44,€87.99,4 days,4 days,4 days,-1,-1,-1,4.9,156,United States,N/A,N/A,N/A,"I speak English, Italian",N/A,False
Digital Marketing,podcast-marketing,level 2,47,€24.44,€58.66,€97.77,5 days,5 days,5 days,-1,-1,-1,5.0,33,Pakistan,N/A,N/A,N/A,"I speak English, Urdu",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$70,$90,$110,21 days,21 days,21 days,-1,-1,-1,5.0,55,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$5,$10,$15,2 days,2 days,3 days,-1,-1,-1,4.8,39,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$15,$25,$35,3 days,3 days,3 days,-1,-1,-1,5.0,336,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$200,$600,"$1,500",14 days,30 days,90 days,-1,-1,-1,5.0,130,Canada,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$50,$95,$115,10 days,10 days,10 days,-1,-1,-1,5.0,195,United States,N/A,N/A,N/A,"I speak English, Portuguese",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$25,$45,$120,2 days,2 days,2 days,-1,-1,-1,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Urdu, Hindi, Punjabi, English",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$10,$35,$125,7 days,7 days,7 days,-1,-1,-1,5.0,43,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$25,$45,$95,3 days,4 days,5 days,-1,-1,-1,5.0,40,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$10,$30,$60,3 days,4 days,5 days,-1,-1,-1,4.9,82,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$300,$300,$300,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,4.9,23,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, Arabic, German",N/A,True
Digital Marketing,podcast-marketing,level 2,47,$55,$55,$55,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,1,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,True
Digital Marketing,podcast-marketing,level 2,47,€53.77,€73.33,€78.21,14 days,14 days,14 days,-1,-1,-1,5.0,88,United States,N/A,N/A,N/A,"I speak English, Italian, Spanish",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$150,$250,$450,7 days,14 days,30 days,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$75,$75,$75,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,N/A,N/A,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,True
Digital Marketing,podcast-marketing,level 2,47,$40,$40,$40,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.7,3,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Digital Marketing,podcast-marketing,level 2,47,$150,$250,$450,7 days,14 days,30 days,-1,-1,-1,N/A,N/A,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$120,$120,$120,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,48,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, Arabic, German",N/A,True
Digital Marketing,podcast-marketing,level 2,47,$5,$10,$15,2 days,2 days,3 days,-1,-1,-1,4.8,39,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$55,$55,$55,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,1,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,True
Digital Marketing,podcast-marketing,level 2,47,$70,$140,$300,7 days,14 days,30 days,-1,-1,-1,5.0,2,Bangladesh,N/A,N/A,N/A,"I speak English, Bengali",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$5,$10,$15,2 days,2 days,2 days,-1,-1,-1,5.0,13,Pakistan,N/A,N/A,N/A,"I speak Urdu, English, Spanish, German",N/A,False
Digital Marketing,podcast-marketing,level 2,47,€34.22,€92.88,€166.20,1 day,3 days,7 days,-1,-1,-1,5.0,52,Jamaica,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,€53.77,€63.55,€78.21,5 days,10 days,14 days,-1,-1,-1,5.0,2,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,€63.55,€131.99,€219.98,7 days,14 days,14 days,-1,-1,-1,5.0,19,United States,N/A,N/A,N/A,"I speak English, Portuguese",N/A,False
Digital Marketing,podcast-marketing,level 2,47,€9.78,€14.67,€39.11,3 days,5 days,7 days,-1,-1,-1,5.0,57,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$15,$30,$50,2 days,2 days,2 days,-1,-1,-1,N/A,N/A,Peru,N/A,N/A,N/A,"I speak English, Spanish, German, French",N/A,False
Digital Marketing,podcast-marketing,level 2,47,$120,$120,$120,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,48,Pakistan,N/A,N/A,N/A,"I speak English, Spanish, Arabic, German",N/A,True
Digital Marketing,podcast-marketing,level 2,47,€24.44,€44,€92.88,3 days,4 days,5 days,-1,-1,-1,5.0,40,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$200,$600,"$1,500",14 days,30 days,90 days,-1,-1,-1,5.0,130,Canada,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$5,$10,$15,3 days,3 days,3 days,-1,-1,-1,5.0,188,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$10,$15,$40,3 days,5 days,7 days,-1,-1,-1,5.0,57,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$10,$25,$50,2 days,5 days,2 days,-1,-1,-1,5.0,38,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,level 2,47,$30,$30,$30,6-day delivery,6-day delivery,6-day delivery,-1,-1,-1,5.0,694,India,N/A,N/A,N/A,I speak English,N/A,True
