Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,podcast-marketing,new seller,348,$75,$125,$165,10 days,10 days,10 days,-1,-1,-1,5.0,31,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,17,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,$50,$50,$50,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,22,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,€48.88,€48.88,€48.88,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,39,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,$50,$50,$50,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,37,United States,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,$10,$25,$50,1 day,2 days,3 days,-1,-1,-1,4.6,13,Pakistan,N/A,N/A,N/A,"I speak English, German, Hindi",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$60,$200,3 days,7 days,21 days,-1,-1,-1,4.9,8,Bangladesh,N/A,N/A,N/A,"I speak English, French",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$75,$75,$75,6-day delivery,6-day delivery,6-day delivery,-1,-1,-1,5.0,1,Philippines,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,€9.78,€97.77,€195.53,3 days,7 days,14 days,-1,-1,-1,5.0,8,Bangladesh,N/A,N/A,N/A,"I speak English, Bengali",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$50,$50,$50,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,5.0,1,Mexico,N/A,N/A,N/A,"I speak English, Spanish",N/A,True
Digital Marketing,podcast-marketing,new seller,348,$50,$50,$50,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,5.0,3,South Africa,N/A,N/A,N/A,"I speak English, South Ndebele",N/A,True
Digital Marketing,podcast-marketing,new seller,348,US$5,US$15,US$25,2 days,4 days,7 days,-1,-1,-1,4.9,66,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$35,$75,$125,3 days,5 days,7 days,-1,-1,-1,4.8,4,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,3,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,$10,$60,$150,2 days,7 days,14 days,-1,-1,-1,5.0,2,Bangladesh,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$55,$220,2 days,7 days,30 days,-1,-1,-1,N/A,N/A,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$5,$10,$30,2 days,3 days,10 days,-1,-1,-1,5.0,41,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$5,$75,$215,3 days,7 days,21 days,-1,-1,-1,5.0,2,Indonesia,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,₪38.90,₪38.90,₪38.90,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,2,India,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,$10,$60,$250,3 days,7 days,21 days,-1,-1,-1,4.8,13,Bangladesh,N/A,N/A,N/A,"I speak English, German, French, Italian",N/A,False
Digital Marketing,podcast-marketing,new seller,348,€19.55,€39.11,€78.21,1 day,2 days,3 days,-1,-1,-1,4.4,6,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,€14.67,€29.33,€48.88,2 days,2 days,2 days,-1,-1,-1,5.0,3,Kenya,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$5,$10,$15,4 days,3 days,2 days,-1,-1,-1,5.0,10,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,€19.55,€97.77,€195.53,1 day,3 days,3 days,-1,-1,-1,4.5,4,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,€4.89,€4.89,€4.89,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,True
Digital Marketing,podcast-marketing,new seller,348,$20,$100,$120,2 days,3 days,5 days,-1,-1,-1,5.0,16,India,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$30,$30,$30,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,4,India,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,€4.89,€4.89,€4.89,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,4,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,True
Digital Marketing,podcast-marketing,new seller,348,$15,$45,$90,4 days,6 days,7 days,-1,-1,-1,2.3,1,United States,N/A,N/A,N/A,Spotify,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$140,$220,5 days,7 days,10 days,-1,-1,-1,5.0,1,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$5,$15,$30,7 days,7 days,7 days,-1,-1,-1,N/A,N/A,Australia,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,€9.78,€78.21,€273.75,3 days,7 days,21 days,-1,-1,-1,4.3,2,Bangladesh,N/A,N/A,N/A,"I speak English, Arabic, Spanish, French",N/A,False
Digital Marketing,podcast-marketing,new seller,348,€9.78,€14.67,€19.55,1 day,2 days,3 days,-1,-1,-1,N/A,N/A,Pakistan,N/A,N/A,N/A,"I speak Spanish, French, English, Urdu",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$25,$25,$25,30-day delivery,30-day delivery,30-day delivery,-1,-1,-1,5.0,2,Canada,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,€4.89,€4.89,€4.89,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,2,Italy,N/A,N/A,N/A,"I speak Italian, English",N/A,True
Digital Marketing,podcast-marketing,new seller,348,€9.78,€19.55,€29.33,2 days,3 days,4 days,0,0,0,4.9,7,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$5,$50,$100,1 day,3 days,3 days,-1,-1,-1,4.7,6,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$5,$10,$30,2 days,2 days,1 day,-1,-1,-1,4.8,21,United States,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$5,$10,$25,3 days,6 days,7 days,-1,-1,-1,5.0,28,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$50,$130,$650,2 days,4 days,10 days,-1,-1,-1,4.0,1,Kenya,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$15,$20,2 days,2 days,2 days,-1,-1,-1,4.8,23,Ireland,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$20,$60,3 days,5 days,7 days,-1,-1,-1,N/A,N/A,Bangladesh,N/A,N/A,N/A,"I speak Bengali, English",N/A,False
Digital Marketing,podcast-marketing,new seller,348,$10,$25,$130,2 days,5 days,7 days,-1,-1,-1,N/A,N/A,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,€117.32,€146.65,€166.20,7 days,7 days,7 days,-1,-1,-1,5.0,6,Australia,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,€146.65,€268.86,€293.30,14 days,14 days,14 days,-1,-1,-1,5.0,10,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,podcast-marketing,new seller,348,€146.65,€146.65,€146.65,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,8,India,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,€63.55,€63.55,€63.55,14-day delivery,14-day delivery,14-day delivery,-1,-1,-1,5.0,46,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,podcast-marketing,new seller,348,$50,$65,$75,14 days,14 days,14 days,-1,-1,-1,5.0,23,United States,N/A,N/A,N/A,I speak English,N/A,False
