Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,seo-services,top rated seller,461 Results,€774.08,"€1,452","€2,613",30 days,30 days,30 days,-1,-1,-1,5.0,23,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,€193.52,€338.66,€435.42,21 days,21 days,21 days,-1,-1,-1,4.9,492,India,N/A,N/A,N/A,"I speak English, Korean, Thai",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$35,$125,$245,4 days,7 days,10 days,-1,-1,-1,4.8,61,Italy,N/A,N/A,N/A,"I speak English, Italian",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$980,"$1,700","$2,805",30 days,30 days,30 days,-1,-1,-1,5.0,13,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$80,$170,$250,14 days,21 days,21 days,-1,-1,-1,4.9,141,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$10,$50,$110,2 days,3 days,4 days,-1,-1,-1,4.8,94,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Hindi",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,€14.51,€38.70,€91.92,2 days,3 days,5 days,-1,-1,-1,5.0,964,Pakistan,N/A,N/A,N/A,"I speak Urdu, English",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$95,$95,$95,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,5.0,"2,943",United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,seo-services,top rated seller,461 Results,$300,$450,$600,7 days,7 days,7 days,-1,-1,-1,5.0,767,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,€241.90,€338.66,€435.42,21 days,21 days,21 days,-1,-1,-1,4.9,203,India,N/A,N/A,N/A,"Hindi, English, Thai, Korean",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$125,$165,$200,7 days,7 days,7 days,-1,-1,-1,4.9,34,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,£152.41,£152.41,£152.41,21-day delivery,21-day delivery,21-day delivery,-1,-1,-1,5.0,"2,678",United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,seo-services,top rated seller,461 Results,$60,$120,$260,4 days,7 days,10 days,-1,-1,-1,4.9,510,Pakistan,N/A,N/A,N/A,"I speak English, Dutch, German, French",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$200,$380,$495,30 days,30 days,30 days,-1,-1,-1,5.0,145,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$60,$130,$200,14 days,21 days,30 days,-1,-1,-1,4.9,"1,000",Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$120,$180,$230,3 days,5 days,7 days,-1,-1,-1,4.8,59,India,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$100,$200,$350,30 days,30 days,30 days,-1,-1,-1,4.9,"2,251",Brazil,N/A,N/A,N/A,"I speak English, Portuguese",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$525,$900,"$1,600",14 days,21 days,30 days,-1,-1,-1,4.9,51,Australia,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$100,$115,$130,10 days,10 days,10 days,-1,-1,-1,4.9,66,Canada,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$495,$795,$895,30 days,30 days,30 days,-1,-1,-1,4.9,761,United States,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$95,$190,$450,1 day,4 days,5 days,-1,-1,-1,4.9,119,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$50,$100,$200,4 days,5 days,7 days,-1,-1,-1,4.9,537,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$20,$75,$170,3 days,4 days,14 days,-1,-1,-1,4.9,109,Pakistan,N/A,N/A,N/A,"I speak Thai, Korean, English, Urdu",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$45,$150,$230,1 day,7 days,14 days,-1,-1,-1,5.0,"1,958",Serbia,N/A,N/A,N/A,"I speak English, Serbian, Croatian, Bosnian",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$35,$175,$340,2 days,3 days,5 days,-1,-1,-1,4.9,257,Pakistan,N/A,N/A,N/A,"I speak Thai, Korean, English, Urdu",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$50,$110,$225,5 days,7 days,10 days,-1,-1,-1,4.9,318,Pakistan,N/A,N/A,N/A,"I speak English, Dutch, German, French",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$80,$160,$240,10 days,21 days,30 days,-1,-1,-1,5.0,"2,580",Ecuador,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$80,$170,$250,14 days,21 days,21 days,-1,-1,-1,4.9,141,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$275,$625,"$1,000",14 days,21 days,21 days,-1,-1,-1,4.9,112,Canada,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$480,"$1,200","$2,300",30 days,30 days,30 days,-1,-1,-1,4.9,23,India,N/A,N/A,N/A,"I speak English, Hindi, German, Spanish",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$200,$300,$500,30 days,30 days,30 days,-1,-1,-1,5.0,35,India,N/A,N/A,N/A,English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$80,$90,$110,10 days,10 days,10 days,-1,-1,-1,4.9,"1,361",Canada,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$295,"$1,495","$8,795",30 days,45 days,90 days,-1,-1,-1,5.0,625,Australia,N/A,N/A,N/A,I speak English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$100,$100,$100,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,4.9,42,Canada,N/A,N/A,N/A,I speak English,N/A,True
Digital Marketing,seo-services,top rated seller,461 Results,$250,$395,$550,30 days,30 days,30 days,-1,-1,-1,4.9,75,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Thai, French",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$195,$295,$495,30 days,30 days,30 days,-1,-1,-1,5.0,155,United Kingdom,N/A,N/A,N/A,English,N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,$90,$170,$240,14 days,30 days,30 days,-1,-1,-1,4.8,18,Serbia,N/A,N/A,N/A,"I speak English, Serbian",N/A,False
Digital Marketing,seo-services,top rated seller,461 Results,€435.42,€677.32,"€1,645",10 days,10 days,14 days,-1,-1,-1,5.0,15,Spain,N/A,N/A,N/A,"English, Spanish, Portuguese, Catalan",N/A,False
