Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,social-marketing,level 2,"5,400+ Results",$40,$60,$95,2 days,3 days,4 days,-1,-1,-1,4.9,313,Pakistan,Apr 2021,3 hours,about 10 hours,"Urdu, English, German, Spanish",6 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$25,$100,$750,1 day,2 days,3 days,-1,-1,-1,4.9,707,France,Mar 2021,11 hours,about 9 hours,"English, French",22 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$130,$200,$300,14 days,21 days,21 days,-1,-1,-1,4.9,111,Albania,May 2023,1 hour,about 20 hours,"English, Italian, Spanish, German",21 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$50,$250,$400,7 days,14 days,30 days,-1,-1,-1,5.0,76,Pakistan,Aug 2023,1 hour,3 days,"Urdu, English",6 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$55,$190,$270,2 days,4 days,5 days,-1,-1,-1,4.9,659,Pakistan,Jun 2020,1 hour,1 day,English,23 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$5,$25,$100,1 day,3 days,6 days,-1,-1,-1,4.8,197,Bangladesh,May 2022,1 hour,about 14 hours,"Bengali, English",3 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$5,$10,$15,1 day,2 days,3 days,-1,-1,-1,4.9,108,Pakistan,Mar 2023,1 hour,about 4 hours,"Urdu, English",6 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$20,$50,$100,10 days,14 days,14 days,-1,-1,-1,4.9,18,Bangladesh,Aug 2021,1 hour,about 11 hours,"Bengali, English",42 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$30,$85,$150,3 days,14 days,30 days,-1,-1,-1,4.9,108,Pakistan,Jul 2020,2 hours,1 day,"Urdu, English, Hindi",9 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",£123.57,£156.52,£230.67,10 days,14 days,21 days,2,5,Unlimited,4.8,116,United States,Nov 2022,2 hours,about 6 hours,"English, Spanish",8 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$40,$150,1 day,2 days,5 days,-1,-1,-1,4.9,204,India,Nov 2021,1 hour,about 11 hours,"English, German, Spanish, Italian",2 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$25,$40,$170,1 day,2 days,3 days,-1,-1,-1,5.0,"1,665",India,Mar 2019,1 hour,about 11 hours,"English, French, Spanish, Italian",9 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$150,$190,$280,10 days,14 days,21 days,2,5,Unlimited,4.8,116,United States,Nov 2022,2 hours,about 6 hours,"English, Spanish",8 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",€116.11,€270.93,€677.32,4 days,6 days,10 days,1,2,Unlimited,5.0,217,Albania,Jan 2018,1 hour,about 9 hours,"English, Albanian",2 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$110,$175,$300,14 days,21 days,30 days,-1,-1,-1,5.0,393,Ukraine,Nov 2019,1 hour,1 day,"English, Ukrainian",12 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$5,$25,$50,3 days,3 days,3 days,-1,-1,-1,5.0,115,India,Jul 2019,1 hour,2 days,"Malayalam, English, Hindi, Tamil",2 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$20,$30,1 day,2 days,3 days,-1,-1,-1,4.9,145,Pakistan,Nov 2023,1 hour,1 day,"Urdu, English, German, Spanish",1 order in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$20,$40,3 days,5 days,10 days,-1,-1,-1,4.9,53,Bangladesh,Apr 2018,2 hours,about 7 hours,English,4 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$180,$290,$450,10 days,14 days,21 days,2,2,3,5.0,355,Albania,Jan 2021,5 hours,2 days,"English, Albanian",8 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$30,$50,1 day,2 days,3 days,-1,-1,-1,5.0,35,Bangladesh,Apr 2022,1 hour,about 13 hours,"English, Spanish, German, French",N/A,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",€19.35,€29.03,€38.70,3 days,3 days,3 days,-1,-1,-1,5.0,"1,178",Bangladesh,Feb 2017,1 hour,1 day,"Bengali, English, Hindi, Urdu",4 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$60,$160,$295,2 days,7 days,14 days,-1,-1,-1,4.9,162,India,Mar 2021,1 hour,2 days,"Hindi, Bengali, English",3 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$140,$180,$290,10 days,10 days,14 days,Unlimited,Unlimited,Unlimited,4.9,652,Belgium,Mar 2020,3 hours,about 1 hour,"English, Dutch",19 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",£41.19,£123.57,£205.95,1 day,3 days,5 days,-1,-1,-1,4.9,197,Bangladesh,Jan 2023,1 hour,about 11 hours,English,N/A,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$180,$350,$500,7 days,7 days,7 days,-1,-1,-1,4.9,39,Australia,May 2017,2 hours,about 4 hours,English,N/A,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$120,$150,$170,5 days,5 days,5 days,-1,-1,-1,5.0,77,United Kingdom,Mar 2023,4 hours,about 7 hours,English,4 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$20,$30,1 day,7 days,10 days,1,2,3,4.9,185,United States,Oct 2021,1 hour,about 2 hours,English,3 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$15,$25,$35,7 days,7 days,7 days,-1,-1,-1,5.0,144,Australia,Oct 2015,6 hours,4 days,English,5 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",€33.87,€48.38,€77.41,2 days,2 days,2 days,-1,-1,-1,5.0,77,Georgia,Sept 2013,4 hours,2 days,English,5 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$75,$125,1 day,1 day,2 days,-1,-1,-1,5.0,107,Bangladesh,Jun 2023,1 hour,4 days,"English, Spanish, French, German",6 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",€4.84,€9.68,€14.51,1 day,2 days,4 days,-1,-1,-1,4.9,184,Bangladesh,Dec 2022,1 hour,about 13 hours,"English, Hebrew, French, Spanish",1 order in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",€9.68,€77.41,€164.49,10 days,21 days,45 days,-1,-1,-1,5.0,15,Pakistan,Mar 2016,1 hour,1 day,English,4 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$55,$80,$130,21 days,30 days,30 days,-1,-1,-1,4.8,405,Bangladesh,Jan 2018,1 hour,about 4 hours,English,25 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$50,$150,$300,2 days,3 days,5 days,-1,-1,-1,5.0,309,Bangladesh,Jan 2023,1 hour,about 18 hours,"English, Hindi, German, French",N/A,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$170,$210,$340,7 days,10 days,10 days,3,Unlimited,Unlimited,4.9,448,Spain,May 2021,1 hour,about 5 hours,"English, Spanish",22 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$30,$50,1 day,2 days,3 days,-1,-1,-1,5.0,35,Bangladesh,Apr 2022,1 hour,about 13 hours,"English, Spanish, German, French",N/A,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$125,$160,$250,10 days,14 days,14 days,Unlimited,Unlimited,Unlimited,5.0,240,Albania,Apr 2021,10 hours,3 days,"English, Albanian, Italian",1 order in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$25,$40,$170,1 day,2 days,3 days,-1,-1,-1,5.0,"1,665",India,Mar 2019,1 hour,about 11 hours,"English, French, Spanish, Italian",9 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$25,$45,4 days,7 days,10 days,-1,-1,-1,4.9,246,Bangladesh,Mar 2023,2 hours,about 8 hours,"Spanish, French, Western Frisian, English",18 orders in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$10,$35,$65,1 day,2 days,3 days,-1,-1,-1,5.0,563,Bangladesh,Apr 2020,1 hour,about 1 hour,"English, Hebrew, Spanish, French",1 order in queue,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$50,$150,$300,2 days,3 days,5 days,-1,-1,-1,5.0,309,Bangladesh,Jan 2023,1 hour,about 18 hours,"English, Hindi, German, French",N/A,False
Digital Marketing,social-marketing,level 2,"5,400+ Results",$150,$200,$250,10 days,14 days,14 days,Unlimited,Unlimited,Unlimited,4.9,240,Albania,Jun 2022,1 hour,about 7 hours,"English, Italian, Spanish, French",7 orders in queue,False
