Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Digital Marketing,social-marketing,top rated seller,459 Results,$140,$160,$220,30 days,30 days,30 days,-1,-1,-1,4.9,"4,726",United States,Dec 2013,6 hours,about 10 hours,English,161 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$145,$205,$305,6 days,7 days,10 days,3,3,Unlimited,4.9,519,Macedonia [FYROM],Jun 2019,3 hours,about 22 hours,"English, Macedonian, Serbian",6 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$15,$60,$100,1 day,2 days,3 days,-1,-1,-1,5.0,136,Bangladesh,Jul 2020,1 hour,about 19 hours,"Bengali, English, Spanish, French",5 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$320,$590,$740,5 days,7 days,14 days,1,1,1,5.0,289,United Kingdom,Oct 2020,2 hours,about 12 hours,"English, Spanish",6 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$100,$200,$300,3 days,4 days,7 days,-1,-1,-1,5.0,768,Bangladesh,Apr 2020,1 hour,about 13 hours,"Bengali, English",1 order in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$10,$35,$55,1 day,1 day,1 day,-1,-1,-1,5.0,716,Pakistan,Feb 2020,1 hour,3 days,English,N/A,False
Digital Marketing,social-marketing,top rated seller,459 Results,$40,$70,$130,7 days,14 days,30 days,-1,-1,-1,4.9,371,Bangladesh,Oct 2020,2 hours,about 21 hours,"Bengali, English, German",34 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$140,$280,$450,30 days,30 days,30 days,-1,-1,-1,5.0,139,United Kingdom,Aug 2012,2 hours,1 day,English,22 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$670,$870,$970,30 days,30 days,30 days,-1,-1,-1,5.0,145,India,Mar 2021,6 hours,1 day,English,8 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$195,$565,$995,14 days,21 days,30 days,2,2,3,4.9,"2,089",Albania,May 2017,1 hour,about 14 hours,"English, Albanian, Greek, Italian",63 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$100,$300,$500,14 days,30 days,30 days,1,1,1,4.9,9,United Kingdom,Jun 2020,1 hour,about 18 hours,"English, Greek, Spanish",8 orders in queue,False
Digital Marketing,social-marketing,top rated seller,459 Results,$295,$295,$295,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,11,United States,Feb 2016,7 hours,2 weeks,English,N/A,True
