Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,digital-illustration,level 2,11000,$25,$45,$75,1 day,2 days,3 days,3,5,Unlimited,4.9,69,Ukraine,Aug 2021,3 hours,1 day,"English, Ukrainian, Polish",4 orders in queue,False
Graphics & Design,digital-illustration,level 2,11000,$50,$80,$120,3 days,3 days,5 days,3,3,3,5.0,113,Spain,Dec 2020,1 hour,2 days,"English, Russian, Spanish",2 orders in queue,False
Graphics & Design,digital-illustration,level 2,11000,$10,$40,$80,1 day,3 days,5 days,4,4,4,5.0,513,Indonesia,May 2019,2 hours,1 day,"Indonesian, Javanese, English",3 orders in queue,False
Graphics & Design,digital-illustration,level 2,11000,$10,$20,$50,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,5.0,103,Sri Lanka,Oct 2019,1 hour,3 days,English,1 order in queue,False
Graphics & Design,digital-illustration,level 2,11000,$30,$50,$80,3 days,5 days,10 days,2,3,5,4.9,234,Pakistan,May 2018,1 hour,about 22 hours,English,1 order in queue,False
Graphics & Design,digital-illustration,level 2,11000,$10,$20,$30,3 days,4 days,5 days,Unlimited,Unlimited,Unlimited,5.0,447,India,Sep 2020,1 hour,1 day,"English, Spanish, French, German",N/A,False
Graphics & Design,digital-illustration,level 2,11000,$20,$25,$35,2 days,3 days,5 days,1,2,3,5.0,37,Poland,Jul 2023,1 hour,1 week,"English, Belarusian, Russian",1 order in queue,False
Graphics & Design,digital-illustration,level 2,11000,$20,$35,$60,2 days,2 days,2 days,-1,-1,-1,4.8,291,Pakistan,Oct 2018,1 hour,1 day,"English, Spanish, French, German",1 order in queue,False
Graphics & Design,digital-illustration,level 2,11000,$10,$20,$30,1 day,2 days,3 days,2,3,6,5.0,"1,553",Pakistan,Sep 2017,2 hours,1 day,"Urdu, English, Chinese",1 order in queue,False
Graphics & Design,digital-illustration,level 2,11000,$10,$20,$30,3 days,3 days,3 days,3,3,3,5.0,"1,615",Malaysia,Sep 2015,3 hours,2 days,English,2 orders in queue,False
Graphics & Design,digital-illustration,level 2,11000,$50,$120,$240,6 days,6 days,6 days,2,2,3,5.0,20,Argentina,Jul 2020,3 hours,1 day,"English, Spanish",1 order in queue,False
