Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,digital-illustration,new seller,46000,$5,$30,$50,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,4.0,12,Bangladesh,Jun 2020,1 hour,4 weeks,"Bengali, English",N/A,False
Graphics & Design,digital-illustration,new seller,46000,$20,$40,$60,3 days,5 days,7 days,0,0,0,5.0,686,Philippines,Nov 2017,7 days,about 4 hours,English,6 orders in queue,False
Graphics & Design,digital-illustration,new seller,46000,$15,$25,$35,6 days,6 days,6 days,1,2,3,4.9,187,Indonesia,Sep 2018,N/A,1 week,"English, Indonesian",2 orders in queue,False
Graphics & Design,digital-illustration,new seller,46000,$15,$20,$25,3 days,5 days,6 days,2,2,2,5.0,207,United States,May 2019,3 hours,1 week,English,N/A,False
Graphics & Design,digital-illustration,new seller,46000,$100,$115,$150,3 days,3 days,3 days,2,2,2,4.9,7,Israel,Nov 2014,20 hours,about 19 hours,"English, Hebrew, Spanish",N/A,False
Graphics & Design,digital-illustration,new seller,46000,$15,$35,$60,4 days,4 days,7 days,1,2,3,4.9,129,Indonesia,Oct 2022,1 hour,1 day,English,2 orders in queue,False
Graphics & Design,digital-illustration,new seller,46000,$5,$15,$35,2 days,2 days,2 days,0,2,2,4.8,145,Pakistan,Jul 2021,1 hour,about 11 hours,"English, Spanish, Chinese",N/A,False
Graphics & Design,digital-illustration,new seller,46000,$10,$25,$40,3 days,3 days,6 days,1,2,3,4.9,620,Indonesia,Feb 2018,1 hour,2 days,English,4 orders in queue,False
Graphics & Design,digital-illustration,new seller,46000,$10,$45,$85,5 days,4 days,4 days,0,3,3,5.0,151,Indonesia,Aug 2016,1 day,1 week,"English, Indonesian",N/A,False
Graphics & Design,digital-illustration,new seller,46000,$15,$40,$55,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,4.9,225,Indonesia,Jan 2023,1 hour,1 day,"English, French, German, Spanish",2 orders in queue,False
Graphics & Design,digital-illustration,new seller,46000,$15,$50,$100,4 days,4 days,10 days,2,3,4,4.9,178,India,Sep 2021,16 hours,1 week,"English, Hindi",1 order in queue,False
Graphics & Design,digital-illustration,new seller,46000,$80,$160,$250,3 days,5 days,7 days,1,1,1,4.9,100,Australia,Sep 2019,1 day,1 year,English,N/A,False
Graphics & Design,digital-illustration,new seller,46000,$5,$15,$25,3 days,5 days,7 days,1,2,3,4.8,108,Indonesia,Mar 2023,1 hour,about 4 hours,"English, German, French",5 orders in queue,False
Graphics & Design,digital-illustration,new seller,46000,$20,$30,$50,6 days,5 days,4 days,3,3,5,4.9,234,Mexico,May 2022,7 hours,1 day,"English, Spanish",N/A,False
Graphics & Design,digital-illustration,new seller,46000,$110,$220,$600,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,188,Spain,Sep 2019,8 hours,1 week,"English, Spanish, Catalan, Italian",2 orders in queue,False
