Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,digital-illustration,top rated seller,1300,€48.34,€178.87,€420.60,3 days,5 days,7 days,2,2,2,4.9,129,United Kingdom,Aug 2020,9 hours,about 4 hours,English,2 orders in queue,False
Graphics & Design,digital-illustration,top rated seller,1300,$30,$40,$80,3 days,4 days,5 days,1,1,1,5.0,172,Germany,Feb 2020,3 hours,about 11 hours,"English, Turkish, German",2 orders in queue,False
Graphics & Design,digital-illustration,top rated seller,1300,$20,$40,$80,1 day,2 days,2 days,9,9,Unlimited,4.9,552,Sri Lanka,Aug 2019,2 hours,about 11 hours,"English, German, Italian, French",1 order in queue,False
Graphics & Design,digital-illustration,top rated seller,1300,$30Save up to 5% with Subscribe to Save,$30Save up to 5% with Subscribe to Save,$30Save up to 5% with Subscribe to Save,4-day delivery,4-day delivery,4-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,676,Vietnam,Aug 2017,3 hours,1 day,"Vietnamese, English",5 orders in queue,True
Graphics & Design,digital-illustration,top rated seller,1300,$100,$165,$200,10 days,14 days,21 days,2,3,3,5.0,232,United Kingdom,Aug 2020,3 hours,6 days,English,2 orders in queue,False
Graphics & Design,digital-illustration,top rated seller,1300,$35,$65,$95,5 days,10 days,10 days,3,5,9,5.0,16,Venezuela,Oct 2017,1 hour,2 days,"English, Spanish",N/A,False
Graphics & Design,digital-illustration,top rated seller,1300,$20,$40,$60,3 days,4 days,5 days,2,3,5,4.9,630,Indonesia,Sep 2019,2 hours,about 13 hours,"English, Spanish, German, French",5 orders in queue,False
Graphics & Design,digital-illustration,top rated seller,1300,$25,$50,$85,2 days,2 days,2 days,3,5,Unlimited,5.0,"1,225",Bangladesh,Jul 2013,1 hour,about 3 hours,"Bengali, English",9 orders in queue,False
Graphics & Design,digital-illustration,top rated seller,1300,€96.69,€96.69,€96.69,10-day delivery,10-day delivery,10-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,172,Australia,Sep 2018,6 hours,1 week,"English, Spanish",3 orders in queue,True
Graphics & Design,digital-illustration,top rated seller,1300,$30,$70,$90,10 days,10 days,14 days,1,2,3,5.0,198,Turkey,Nov 2020,4 hours,about 2 hours,English,2 orders in queue,False
