Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,fashion-design,new seller,"3,800+ Results",$120,$120,$120,7-day delivery,7-day delivery,7-day delivery,1 Revision,1 Revision,1 Revision,5.0,164,Argentina,Aug 2020,1 hour,3 weeks,"English, Spanish",N/A,True
Graphics & Design,fashion-design,new seller,"3,800+ Results",$5,$15,$35,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,4.8,43,Bangladesh,May 2021,1 hour,5 days,English,3 orders in queue,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$10,$35,$50,2 days,4 days,5 days,Unlimited,Unlimited,Unlimited,4.9,49,Bangladesh,Jan 2021,1 hour,1 week,"Bengali, English, Hindi",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$10,$25,$40,1 day,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,98,Bangladesh,May 2021,1 hour,5 days,English,1 order in queue,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$250,$450,$650,3 days,5 days,7 days,1,2,3,5.0,2,Italy,Dec 2019,14 hours,3 weeks,"English, Italian",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$10,$25,$45,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,4.9,51,Bangladesh,May 2022,1 hour,about 4 hours,English,1 order in queue,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$25,$35,$45,2 days,3 days,3 days,3,3,4,4.9,568,Pakistan,Oct 2019,5 hours,1 month,"English, Urdu",1 order in queue,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",US$30,US$65,US$100,2 days,3 days,5 days,0,1,2,4.9,22,Pakistan,Aug 2016,1 hour,4 days,"Urdu, English, French",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$25,$50,$70,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,4.9,238,Indonesia,Dec 2020,N/A,2 weeks,English,N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$50,$70,$140,6 days,6 days,6 days,Unlimited,Unlimited,Unlimited,5.0,144,United States,Oct 2020,4 hours,about 9 hours,English,4 orders in queue,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$5,$10,$20,2 days,3 days,4 days,4,7,Unlimited,4.9,138,Sri Lanka,Oct 2020,2 hours,6 days,English,1 order in queue,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$10,$20,$40,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,4.9,129,Bangladesh,Jul 2020,1 hour,4 days,"Bengali, English",1 order in queue,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$50,$60,$250,7 days,7 days,14 days,1,1,1,4.9,83,Argentina,Aug 2020,1 hour,3 weeks,"English, Spanish",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$70,$320,$540,3 days,21 days,21 days,1,2,3,5.0,6,France,Feb 2022,N/A,7 months,"English, Portuguese, French",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$210,$410,$590,3 days,5 days,10 days,1,2,3,5.0,3,Poland,Sep 2021,1 day,3 months,"English, Polish",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$55,$90,$110,3 days,5 days,7 days,3,3,4,5.0,87,India,May 2021,4 hours,4 days,"Hindi, English",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$80,$150,$200,3 days,7 days,14 days,1,2,5,5.0,4,United Kingdom,Oct 2021,1 hour,1 year,"English, Italian",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$270,$270,$270,14-day delivery,14-day delivery,14-day delivery,1 Revision,1 Revision,1 Revision,5.0,29,Argentina,Aug 2020,1 hour,3 weeks,"English, Spanish",N/A,True
Graphics & Design,fashion-design,new seller,"3,800+ Results",$600,"$1,500","$2,000",7 days,45 days,45 days,1,0,0,5.0,28,Portugal,Nov 2019,1 hour,7 months,"English, Portuguese, Spanish",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$900,"$1,800","$4,000",14 days,21 days,30 days,2,2,2,5.0,13,Argentina,Aug 2020,1 hour,3 weeks,"English, Spanish",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$30,$100,$200,2 days,3 days,5 days,2,4,Unlimited,4.9,36,India,Apr 2021,N/A,2 months,"Hindi, English",N/A,False
Graphics & Design,fashion-design,new seller,"3,800+ Results",$25,$150,$300,2 days,3 days,7 days,0,1,1,5.0,41,India,Feb 2021,1 hour,4 weeks,English,N/A,False
