Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,fashion-design,top rated seller,172 Results,$50,$190,$250,5 days,7 days,10 days,3,3,3,5.0,470,United Arab Emirates,May 2020,6 hours,1 day,English,9 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$70,$180,$250,5 days,7 days,7 days,3,4,5,5.0,596,Romania,Nov 2017,4 hours,5 days,English,10 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$65,$85,$135,3 days,4 days,6 days,Unlimited,Unlimited,Unlimited,4.9,103,Bangladesh,Aug 2019,1 hour,about 12 hours,"Bengali, English, Hindi, Hebrew",7 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$30,$60,$100,3 days,4 days,5 days,2,3,4,5.0,102,India,May 2021,5 hours,1 day,"Hindi, English",4 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$15,$40,$60,2 days,5 days,6 days,2,2,2,5.0,627,Sri Lanka,Jun 2021,3 hours,about 2 hours,"Sinhala, English",13 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$5,$5,$5,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,417,Indonesia,Jul 2016,1 hour,about 38 minutes,English,3 orders in queue,True
Graphics & Design,fashion-design,top rated seller,172 Results,$15,$25,$35,3 days,3 days,5 days,1,2,1,5.0,149,Ukraine,Oct 2021,3 hours,1 week,"English, Russian, Ukrainian",N/A,False
Graphics & Design,fashion-design,top rated seller,172 Results,$120,$150,$200,10 days,14 days,14 days,1,1,1,5.0,177,Portugal,Nov 2021,4 hours,1 day,"English, Portuguese",N/A,False
Graphics & Design,fashion-design,top rated seller,172 Results,$50,$190,$250,5 days,7 days,10 days,3,3,3,5.0,470,United Arab Emirates,May 2020,6 hours,1 day,English,9 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$70,$180,$250,5 days,7 days,7 days,3,4,5,5.0,596,Romania,Nov 2017,4 hours,5 days,English,10 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$30,$40,$80,1 day,2 days,4 days,Unlimited,Unlimited,Unlimited,4.9,535,Bangladesh,Aug 2019,1 hour,about 12 hours,"Bengali, English, Hindi, Hebrew",10 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$30,$65,$125,5 days,5 days,5 days,3,5,5,4.9,122,Bangladesh,May 2019,3 hours,about 5 hours,"Bengali, English",2 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$120,$350,$650,4 days,5 days,6 days,1,1,2,5.0,116,Japan,Feb 2022,10 hours,1 day,"English, Indonesian, Japanese, Chinese",8 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,₪115.23,₪384.11,₪691.40,2 days,4 days,5 days,1,1,2,5.0,96,Turkey,May 2021,1 hour,1 week,English,N/A,False
Graphics & Design,fashion-design,top rated seller,172 Results,₪307.29,₪384.11,₪576.17,4 days,4 days,4 days,2,2,2,5.0,150,Ukraine,Mar 2017,1 hour,about 1 hour,"English, Ukrainian",N/A,False
Graphics & Design,fashion-design,top rated seller,172 Results,$60,$80,$100,2 days,3 days,4 days,1,2,3,5.0,904,Peru,Jun 2020,2 hours,about 15 hours,"English, Spanish",19 orders in queue,False
Graphics & Design,fashion-design,top rated seller,172 Results,$25,$50,$150,7 days,7 days,7 days,2,2,2,4.9,68,France,Sep 2017,4 hours,about 23 hours,"English, French",7 orders in queue,False
