Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,game-art,level 1,"1,800+ Results",$30,$60,$150,7 days,7 days,14 days,2,2,3,5.0,7,United Kingdom,Sep 2022,1 hour,4 weeks,"English, Polish",N/A,False
Graphics & Design,game-art,level 1,"1,800+ Results",$25,$50,$100,2 days,4 days,10 days,1,2,3,5.0,9,Italy,Oct 2021,2 hours,about 17 hours,"English, Italian",N/A,False
Graphics & Design,game-art,level 1,"1,800+ Results",$40,$80,$120,1 day,3 days,5 days,1,2,3,5.0,199,Brazil,May 2021,6 hours,1 week,"English, Portuguese",1 order in queue,False
Graphics & Design,game-art,level 1,"1,800+ Results",$10,$15,$30,3 days,5 days,7 days,0,0,1,4.8,44,Spain,Dec 2020,1 hour,3 days,Spanish,N/A,False
Graphics & Design,game-art,level 1,"1,800+ Results",$200,$600,"$1,500",7 days,14 days,30 days,2,5,Unlimited,5.0,3,Serbia,Oct 2023,1 hour,1 week,"English, Serbian, Russian",N/A,False
Graphics & Design,game-art,level 1,"1,800+ Results",$15,$20,$30,10 days,14 days,21 days,1,2,2,4.9,51,Italy,Jun 2021,6 hours,1 day,"English, Italian",1 order in queue,False
Graphics & Design,game-art,level 1,"1,800+ Results",$5,$15,$30,3 days,4 days,5 days,0,0,1,4.9,"1,983",Ukraine,Apr 2019,1 hour,2 days,"English, Ukrainian",1 order in queue,False
Graphics & Design,game-art,level 1,"1,800+ Results",$10,$20,$40,4 days,6 days,7 days,2,2,2,4.9,68,Egypt,Feb 2022,1 hour,4 days,"English, Arabic",2 orders in queue,False
Graphics & Design,game-art,level 1,"1,800+ Results",$50,$100,$150,7 days,7 days,7 days,1,3,5,5.0,19,Morocco,Nov 2021,1 hour,1 week,"English, Arabic, French",N/A,False
Graphics & Design,game-art,level 1,"1,800+ Results",$20,$65,$100,1 day,4 days,6 days,2,2,2,4.8,516,Sri Lanka,Mar 2020,2 hours,about 1 hour,"English, Italian, Dutch",10 orders in queue,False
Graphics & Design,game-art,level 1,"1,800+ Results",$40,$80,$120,1 day,3 days,5 days,1,2,3,5.0,199,Brazil,May 2021,6 hours,1 week,"English, Portuguese",1 order in queue,False
Graphics & Design,game-art,level 1,"1,800+ Results",£8.24,£8.24,£8.24,4-day delivery,4-day delivery,4-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,447,United States,Aug 2019,7 hours,2 days,English,8 orders in queue,True
Graphics & Design,game-art,level 1,"1,800+ Results",$5,$10,$20,2 days,3 days,4 days,2,2,2,4.2,7,Romania,Oct 2023,7 hours,2 days,"English, Romanian",N/A,False
Graphics & Design,game-art,level 1,"1,800+ Results",$30,$30,$30,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,13,Indonesia,May 2020,3 hours,1 week,"English, Indonesian",N/A,True
