Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,game-art,new seller,173 Results,$500,$850,"$1,500",14 days,30 days,45 days,2,4,9,5.0,1,India,May 2020,1 hour,1 day,"English, Hindi, Gujarati",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$75,$150,$500,5 days,14 days,14 days,1,3,Unlimited,4.9,92,Indonesia,Apr 2017,2 hours,4 days,English,1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$25,$50,$150,5 days,7 days,10 days,2,2,2,5.0,304,Sri Lanka,Oct 2018,1 hour,1 week,English,4 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$100,$300,$450,21 days,30 days,30 days,1,1,1,5.0,64,China,Apr 2020,1 hour,about 23 hours,English,N/A,False
Graphics & Design,game-art,new seller,173 Results,$35,$60,$80,14 days,14 days,14 days,1,2,3,5.0,258,Netherlands,Oct 2020,4 hours,about 3 hours,English,3 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$15,$25,$40,3 days,4 days,6 days,1,1,2,5.0,261,United States,Jun 2020,1 hour,about 3 hours,"English, Spanish",3 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$10,$15,$20,5 days,5 days,7 days,2,2,2,5.0,431,Colombia,Jul 2021,1 hour,about 17 hours,"Spanish, English",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$15,$45,$90,3 days,5 days,7 days,-1,-1,-1,4.9,399,Indonesia,N/A,1 hour,1 day,"English, Indonesian, German, French",8 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$150,$280,$350,21 days,30 days,30 days,0,1,3,5.0,17,Poland,Mar 2020,5 hours,1 week,"English, Polish",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,€29.01,€38.69,€58.03,10 days,10 days,10 days,2,2,2,5.0,276,Spain,Aug 2019,3 hours,1 day,"English, Spanish",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$50,$100,$150,5 days,7 days,10 days,1,2,3,5.0,291,Belarus,May 2020,1 hour,about 4 minutes,"Belarusian, English",5 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,€19.34,€48.36,€58.03,2 days,2 days,3 days,2,3,5,4.9,24,Indonesia,Mar 2020,4 hours,about 9 hours,English,N/A,False
Graphics & Design,game-art,new seller,173 Results,$120,$300,$800,7 days,10 days,14 days,2,2,2,5.0,264,Italy,May 2019,1 hour,about 4 hours,"English, Italian",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$100,$350,$750,3 days,6 days,14 days,0,2,3,5.0,131,Pakistan,Aug 2019,1 hour,1 week,"Hindi, Urdu, English",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$30,$150,$250,5 days,7 days,10 days,1,1,1,5.0,41,Ukraine,Dec 2020,1 hour,3 days,"Ukrainian, English",N/A,False
Graphics & Design,game-art,new seller,173 Results,$15,$45,$90,3 days,5 days,7 days,-1,-1,-1,4.9,399,Indonesia,N/A,1 hour,1 day,"English, Indonesian, German, French",8 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$120,$300,$800,7 days,10 days,14 days,2,2,2,5.0,264,Italy,May 2019,1 hour,about 4 hours,"English, Italian",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$100,$350,$750,3 days,6 days,14 days,0,2,3,5.0,131,Pakistan,Aug 2019,1 hour,1 week,"Hindi, Urdu, English",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$150,$190,$250,14 days,14 days,14 days,2,2,2,5.0,81,Ukraine,Aug 2020,6 hours,about 2 hours,"English, French",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$80,$150,$300,14 days,14 days,14 days,1,2,3,5.0,195,Poland,Jul 2020,2 hours,about 21 hours,"English, Polish",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$40,$160,$400,5 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,297,Indonesia,Sep 2018,9 hours,about 19 hours,"English, Indonesian",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$70,$90,$120,6 days,7 days,7 days,Unlimited,Unlimited,Unlimited,5.0,43,Indonesia,Feb 2021,1 hour,about 10 hours,"English, German, French, Spanish",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$10,$35,$55,3 days,4 days,5 days,-1,-1,-1,5.0,348,Hungary,Oct 2017,1 hour,about 19 minutes,"English, Hungarian, German",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$45,$60,$95,4 days,5 days,7 days,2,2,3,5.0,54,Peru,Sep 2019,1 hour,about 16 hours,"English, Spanish",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$100,$350,$600,4 days,7 days,10 days,-1,-1,-1,5.0,9,Pakistan,Nov 2019,1 hour,1 day,"Urdu, English, Hindi",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$70,$90,$120,6 days,7 days,7 days,Unlimited,Unlimited,Unlimited,5.0,43,Indonesia,Feb 2021,1 hour,about 10 hours,"English, German, French, Spanish",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$130,$180,$240,5 days,6 days,7 days,1,1,1,5.0,116,Indonesia,Dec 2019,2 hours,1 day,"English, Indonesian",N/A,False
Graphics & Design,game-art,new seller,173 Results,$150,$220,$330,5 days,7 days,10 days,2,2,2,5.0,10,Colombia,Feb 2020,3 hours,about 22 hours,"English, Spanish",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$10,$20,$30,1 day,2 days,3 days,5,5,5,4.8,24,Turkey,Apr 2018,1 hour,about 22 hours,English,1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$20,$145,$190,3 days,10 days,14 days,3,Unlimited,Unlimited,4.9,91,Pakistan,Jun 2020,1 hour,about 5 hours,English,6 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,₪19.21,₪153.64,₪307.29,3 days,7 days,10 days,-1,-1,-1,4.9,100,Indonesia,N/A,1 hour,1 day,"English, Indonesian, German, French",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,₪96.03,₪192.06,₪576.17,5 days,7 days,10 days,2,2,2,5.0,304,Sri Lanka,Oct 2018,1 hour,1 week,English,4 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$15,$50,$90,5 days,7 days,10 days,2,2,2,5.0,141,Canada,Jul 2022,5 hours,1 day,"English, Spanish",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$65,$145,$270,5 days,7 days,10 days,3,4,6,5.0,274,Taiwan,Jul 2014,10 hours,2 days,English,6 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$30,$55,$100,6 days,10 days,14 days,3,3,3,5.0,377,Slovakia,Jan 2021,5 hours,about 11 hours,"English, Slovak",3 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$65,$180,$330,2 days,4 days,10 days,2,2,2,5.0,303,India,Mar 2016,1 hour,about 1 hour,"English, Hindi",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$35,$60,$80,14 days,14 days,14 days,1,2,3,5.0,258,Netherlands,Oct 2020,4 hours,about 3 hours,English,3 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$25,$60,$90,2 days,3 days,5 days,1,2,Unlimited,5.0,17,Bangladesh,Jun 2020,1 hour,about 16 hours,"Bengali, English",N/A,False
Graphics & Design,game-art,new seller,173 Results,$50,$90,$190,3 days,5 days,7 days,0,2,5,5.0,85,Pakistan,Apr 2016,1 hour,about 1 hour,"English, Urdu",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$50,$100,$200,7 days,7 days,7 days,1,1,3,5.0,70,Poland,Dec 2019,1 hour,1 day,English,N/A,False
Graphics & Design,game-art,new seller,173 Results,€14.51,€33.85,€53.19,3 days,4 days,4 days,Unlimited,Unlimited,Unlimited,5.0,55,Hungary,Oct 2017,1 hour,about 1 minute,"English, Hungarian, German",N/A,False
Graphics & Design,game-art,new seller,173 Results,€29.01,€58.03,€125.73,4 days,5 days,7 days,1,1,1,5.0,"1,006",Vietnam,Nov 2015,9 hours,about 13 hours,"English, Vietnamese",N/A,False
Graphics & Design,game-art,new seller,173 Results,$15,$60,$80,3 days,5 days,7 days,1,2,4,5.0,198,Ukraine,Oct 2021,1 hour,2 days,"English, Ukrainian",2 orders in queue,False
Graphics & Design,game-art,new seller,173 Results,$55,$65,$95,7 days,7 days,10 days,2,2,3,5.0,164,Italy,Jan 2020,1 hour,2 days,"English, Italian",1 order in queue,False
Graphics & Design,game-art,new seller,173 Results,$45,$45,$45,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,5,Indonesia,Nov 2016,1 hour,about 11 hours,"Indonesian, English",N/A,True
Graphics & Design,game-art,new seller,173 Results,$20,$20,$20,5-day delivery,5-day delivery,5-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,313,Philippines,Mar 2017,1 hour,3 days,English,N/A,True
Graphics & Design,game-art,new seller,173 Results,$50,$200,$350,5 days,7 days,7 days,Unlimited,Unlimited,Unlimited,5.0,138,Vietnam,Jan 2015,5 hours,3 days,"English, Vietnamese",1 order in queue,False
