Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,game-art,top rated seller,"10,000+ Results",$500,"$1,000","$2,000",4 days,14 days,30 days,1,2,4,5.0,35,United Kingdom,Jul 2019,2 days,3 weeks,"English, Romanian",1 order in queue,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$500,"$1,000","$1,600",5 days,10 days,14 days,-1,-1,-1,5.0,1,Georgia,Dec 2023,2 days,4 months,"English, Russian",N/A,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$150,$270,$400,2 days,3 days,4 days,1,1,1,5.0,1,Georgia,Dec 2023,2 days,4 months,"English, Russian",N/A,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$950,"$2,500","$6,000",7 days,21 days,45 days,3,4,Unlimited,5.0,35,United Kingdom,Jul 2019,2 days,3 weeks,"English, Romanian",N/A,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$10,$25,$35,5 days,7 days,14 days,1,2,2,5.0,278,South Africa,Apr 2021,1 hour,6 days,English,5 orders in queue,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$5,$10,$15,2 days,2 days,2 days,1,1,1,5.0,"2,607",Turkey,Dec 2021,1 hour,about 19 hours,"English, Turkish, German, French",5 orders in queue,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$10,$15,$20,7 days,14 days,21 days,3,4,5,5.0,155,United States,Nov 2019,18 hours,1 month,English,N/A,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$25,$35,$40,3 days,3 days,3 days,2,2,3,4.9,175,Mexico,Apr 2023,2 hours,1 day,"English, Spanish",N/A,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$950,"$2,500","$6,000",7 days,21 days,45 days,3,4,Unlimited,5.0,35,United Kingdom,Jul 2019,2 days,3 weeks,"English, Romanian",N/A,False
Graphics & Design,game-art,top rated seller,"10,000+ Results",$30,$30,$30,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,5.0,235,Philippines,Apr 2020,1 hour,3 days,"English, Tagalog",2 orders in queue,True
