Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,nft,level 2,845,$240,$860,"$2,300",5 days,14 days,21 days,3,Unlimited,Unlimited,5.0,41,Germany,Jan 2022,2 hours,1 week,"English, German, Italian, Spanish",1 order in queue,False
Graphics & Design,nft,level 2,845,£24.72,£247.24,£659.31,3 days,7 days,14 days,Unlimited,Unlimited,Unlimited,5.0,561,Vietnam,Sept 2014,5 hours,2 days,"English, Vietnamese, French",2 orders in queue,False
Graphics & Design,nft,level 2,845,$20,$175,$295,2 days,5 days,7 days,1,2,3,4.7,187,Indonesia,Jul 2021,1 hour,2 days,"English, Indonesian",1 order in queue,False
Graphics & Design,nft,level 2,845,$70,$350,"$1,100",3 days,7 days,10 days,-1,-1,-1,5.0,145,Pakistan,Jan 2022,1 hour,about 10 hours,"English, Urdu, Spanish, French",3 orders in queue,False
Graphics & Design,nft,level 2,845,$95,$150,$275,3 days,4 days,6 days,1,2,2,5.0,66,Turkey,Mar 2022,1 hour,1 week,English,4 orders in queue,False
Graphics & Design,nft,level 2,845,£20.60,£391.46,£803.53,5 days,21 days,30 days,1,3,3,4.9,129,Spain,Feb 2021,13 hours,1 week,"Russian, English, Spanish",N/A,False
Graphics & Design,nft,level 2,845,$30,$225,$400,3 days,10 days,14 days,4,4,6,4.9,170,Brazil,Sep 2020,4 hours,about 22 hours,"English, Portuguese, Spanish",4 orders in queue,False
Graphics & Design,nft,level 2,845,$20,$300,$600,4 days,7 days,14 days,1,1,2,5.0,135,Sri Lanka,Apr 2020,4 hours,6 days,English,3 orders in queue,False
Graphics & Design,nft,level 2,845,$20,$100,$200,2 days,3 days,7 days,Unlimited,Unlimited,Unlimited,4.9,71,United Kingdom,Apr 2023,1 hour,about 2 hours,English,3 orders in queue,False
Graphics & Design,nft,level 2,845,$20,$125,$350,7 days,14 days,21 days,2,3,4,5.0,208,Indonesia,Feb 2022,2 hours,1 day,"English, Indonesian",2 orders in queue,False
Graphics & Design,nft,level 2,845,$60,$750,"$1,600",2 days,7 days,14 days,2,1,1,4.9,160,Sri Lanka,Aug 2021,4 hours,3 days,"English, French",11 orders in queue,False
Graphics & Design,nft,level 2,845,$20,$425,$650,1 day,4 days,5 days,Unlimited,Unlimited,Unlimited,5.0,13,Pakistan,Mar 2022,1 hour,3 weeks,"English, German, French, Spanish",N/A,False
Graphics & Design,nft,level 2,845,$30,$225,$400,3 days,10 days,14 days,4,4,6,4.9,170,Brazil,Sep 2020,4 hours,about 22 hours,"English, Portuguese, Spanish",4 orders in queue,False
Graphics & Design,nft,level 2,845,$10,$110,$350,3 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,11,Indonesia,Jan 2022,2 hours,1 day,"English, Indonesian, Malay",4 orders in queue,False
Graphics & Design,nft,level 2,845,$25,$400,"$1,000",2 days,7 days,10 days,2,2,5,5.0,43,Indonesia,Apr 2021,1 hour,1 week,"English, Indonesian",N/A,False
Graphics & Design,nft,level 2,845,$50,$250,$560,6 days,10 days,14 days,Unlimited,Unlimited,Unlimited,5.0,236,Sri Lanka,Jan 2022,1 hour,about 16 hours,"English, Sinhala, French",3 orders in queue,False
Graphics & Design,nft,level 2,845,$100,$300,$450,3 days,7 days,10 days,3,3,3,4.9,154,Pakistan,Mar 2021,1 hour,1 month,"Urdu, English",1 order in queue,False
Graphics & Design,nft,level 2,845,$20,$100,$200,2 days,3 days,7 days,Unlimited,Unlimited,Unlimited,4.9,71,United Kingdom,Apr 2023,1 hour,about 2 hours,English,3 orders in queue,False
Graphics & Design,nft,level 2,845,$15,$100,$300,2 days,4 days,7 days,Unlimited,Unlimited,Unlimited,4.8,95,Indonesia,Jul 2020,1 hour,about 7 hours,"English, Indonesian",1 order in queue,False
Graphics & Design,nft,level 2,845,$20,$200,$400,2 days,5 days,7 days,Unlimited,Unlimited,Unlimited,5.0,72,United Arab Emirates,Dec 2021,1 hour,4 days,"English, Arabic",N/A,False
Graphics & Design,nft,level 2,845,$50,$300,$500,2 days,4 days,7 days,2,3,5,5.0,1,Indonesia,Sep 2020,2 hours,1 week,English,N/A,False
Graphics & Design,nft,level 2,845,$15,$100,$300,2 days,4 days,7 days,Unlimited,Unlimited,Unlimited,4.8,95,Indonesia,Jul 2020,1 hour,about 7 hours,"English, Indonesian",1 order in queue,False
Graphics & Design,nft,level 2,845,$90,$450,$600,3 days,5 days,10 days,Unlimited,Unlimited,Unlimited,5.0,75,Morocco,Dec 2020,1 hour,2 weeks,"English, Arabic, French",1 order in queue,False
Graphics & Design,nft,level 2,845,$70,$850,"$1,500",4 days,7 days,10 days,1,1,1,5.0,146,South Africa,Nov 2019,3 hours,5 days,"English, Afrikaans",3 orders in queue,False
Graphics & Design,nft,level 2,845,$25,$310,$490,5 days,7 days,14 days,3,Unlimited,Unlimited,5.0,155,Sri Lanka,Sep 2019,1 hour,1 day,"English, German, French",N/A,False
Graphics & Design,nft,level 2,845,$25,$150,$280,3 days,10 days,14 days,2,2,3,5.0,38,Philippines,Oct 2022,1 hour,3 days,"English, Tagalog",1 order in queue,False
Graphics & Design,nft,level 2,845,$35,$300,$600,2 days,7 days,10 days,Unlimited,Unlimited,Unlimited,4.9,131,Kazakhstan,Oct 2020,3 hours,about 7 hours,English,1 order in queue,False
Graphics & Design,nft,level 2,845,$10,$45,$170,3 days,7 days,14 days,Unlimited,Unlimited,Unlimited,5.0,45,Indonesia,Jun 2021,1 hour,1 week,"English, Indonesian",3 orders in queue,False
Graphics & Design,nft,level 2,845,$30,$270,$500,3 days,10 days,30 days,Unlimited,Unlimited,Unlimited,5.0,137,Indonesia,Jul 2021,1 hour,1 week,"English, Indonesian, Javanese",1 order in queue,False
Graphics & Design,nft,level 2,845,$25,$50,$100,3 days,5 days,7 days,2,3,3,5.0,131,Indonesia,Nov 2021,6 hours,1 month,"English, Indonesian, Malay",N/A,False
Graphics & Design,nft,level 2,845,$10,$35,$600,2 days,7 days,10 days,1,1,2,5.0,69,Ukraine,Jan 2021,1 hour,2 months,"English, Ukrainian",N/A,False
Graphics & Design,nft,level 2,845,$100,"$1,000","$2,000",6 days,10 days,21 days,3,4,5,4.9,47,Vietnam,Dec 2019,1 hour,2 months,English,N/A,False
Graphics & Design,nft,level 2,845,$40,$320,$750,2 days,10 days,21 days,Unlimited,Unlimited,Unlimited,5.0,89,Indonesia,Apr 2020,1 hour,3 weeks,"English, Indonesian, Malay",N/A,False
Graphics & Design,nft,level 2,845,$60,$90,$120,3 days,3 days,3 days,3,4,4,4.8,134,Pakistan,Jan 2022,1 hour,1 day,"English, Urdu",4 orders in queue,False
Graphics & Design,nft,level 2,845,$25,$400,"$1,000",2 days,7 days,10 days,2,2,5,5.0,43,Indonesia,Apr 2021,1 hour,1 week,"English, Indonesian",N/A,False
Graphics & Design,nft,level 2,845,$40,$180,$350,1 day,2 days,3 days,2,4,4,4.9,83,Czech Republic,Oct 2021,1 hour,about 2 hours,"English, Czech",1 order in queue,False
Graphics & Design,nft,level 2,845,$25,$300,$450,2 days,4 days,7 days,0,0,0,5.0,50,Brazil,Sep 2020,3 hours,1 day,"English, Portuguese, Spanish",N/A,False
Graphics & Design,nft,level 2,845,$25,$350,$950,3 days,6 days,10 days,Unlimited,Unlimited,Unlimited,5.0,165,Sri Lanka,Aug 2022,1 hour,3 days,"English, German, French, Spanish",3 orders in queue,False
Graphics & Design,nft,level 2,845,£74.17,£370.86,£494.48,3 days,5 days,10 days,Unlimited,Unlimited,Unlimited,5.0,75,Morocco,Dec 2020,1 hour,2 weeks,"English, Arabic, French",1 order in queue,False
Graphics & Design,nft,level 2,845,€67.68,€96.69,€145.03,2 days,2 days,2 days,2,2,3,4.8,40,Nigeria,Jul 2017,1 hour,4 days,English,N/A,False
Graphics & Design,nft,level 2,845,$30,$300,$450,3 days,7 days,10 days,1,1,1,4.9,44,Brazil,Sep 2020,3 hours,1 day,"English, Portuguese, Spanish",N/A,False
Graphics & Design,nft,level 2,845,$20,$80,$130,2 days,2 days,3 days,-1,-1,-1,4.9,78,Indonesia,Aug 2019,N/A,4 months,"English, Indonesian, Javanese",N/A,False
Graphics & Design,nft,level 2,845,$40,$250,$700,5 days,14 days,21 days,1,2,3,5.0,53,Indonesia,May 2021,1 hour,3 months,"English, Indonesian",N/A,False
Graphics & Design,nft,level 2,845,$95,$150,$275,3 days,4 days,6 days,1,2,2,5.0,66,Turkey,Mar 2022,1 hour,1 week,English,4 orders in queue,False
Graphics & Design,nft,level 2,845,$10,$50,$120,3 days,7 days,10 days,5,5,9,5.0,153,Indonesia,May 2015,2 hours,about 5 hours,English,1 order in queue,False
Graphics & Design,nft,level 2,845,$5,$35,$270,1 day,2 days,5 days,Unlimited,Unlimited,Unlimited,5.0,108,Indonesia,Oct 2018,1 hour,about 3 hours,English,1 order in queue,False
Graphics & Design,nft,level 2,845,£8.24,£164.83,£329.65,2 days,5 days,10 days,Unlimited,9,9,4.8,207,Indonesia,Oct 2019,5 hours,1 week,"English, Indonesian",2 orders in queue,False
Graphics & Design,nft,level 2,845,$150Save up to 20% with Subscribe to Save,$150Save up to 20% with Subscribe to Save,$150Save up to 20% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,97,Indonesia,Sep 2018,1 hour,about 3 hours,"English, Spanish, Arabic, German",1 order in queue,True
