Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,nft,top rated seller,138,$80,"$1,000","$1,750",7 days,30 days,30 days,3,6,9,5.0,3,Indonesia,Mar 2019,1 hour,about 5 hours,English,N/A,False
Graphics & Design,nft,top rated seller,138,$400,$800,"$1,000",5 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,201,United States,Apr 2020,10 hours,about 9 hours,English,5 orders in queue,False
Graphics & Design,nft,top rated seller,138,$25,$200,"$1,250",1 day,5 days,21 days,1,1,1,4.9,197,Turkey,Feb 2021,2 hours,1 week,"English, Turkish, Japanese, German",2 orders in queue,False
Graphics & Design,nft,top rated seller,138,$25,$125,$425,3 days,7 days,14 days,2,3,4,5.0,131,Indonesia,May 2021,1 hour,2 days,"English, Indonesian",3 orders in queue,False
Graphics & Design,nft,top rated seller,138,"$1,100","$2,200","$5,950",7 days,10 days,14 days,7,9,9,5.0,370,Poland,Jan 2017,2 hours,3 days,"English, Polish, Croatian",1 order in queue,False
Graphics & Design,nft,top rated seller,138,$80,$200,$800,7 days,14 days,30 days,Unlimited,Unlimited,Unlimited,5.0,30,Indonesia,Oct 2018,2 hours,about 7 hours,"English, French, German, Spanish",2 orders in queue,False
Graphics & Design,nft,top rated seller,138,$40,$900,"$1,200",3 days,7 days,14 days,2,5,6,4.9,57,Indonesia,Nov 2016,1 hour,2 days,"Indonesian, English",N/A,False
Graphics & Design,nft,top rated seller,138,$25,$125,$425,3 days,7 days,14 days,2,3,4,5.0,131,Indonesia,May 2021,1 hour,2 days,"English, Indonesian",3 orders in queue,False
Graphics & Design,nft,top rated seller,138,$70,$750,"$1,500",3 days,7 days,14 days,1,1,2,5.0,413,Sri Lanka,Dec 2021,1 hour,2 days,English,10 orders in queue,False
Graphics & Design,nft,top rated seller,138,€58.01,€82.19,€96.69,3 days,4 days,5 days,1,2,2,4.9,342,Georgia,Feb 2019,1 hour,about 16 hours,"English, Georgian, Russian",2 orders in queue,False
Graphics & Design,nft,top rated seller,138,$30,$300,$800,4 days,10 days,14 days,3,5,5,4.9,181,Indonesia,Aug 2018,1 hour,1 day,English,N/A,False
Graphics & Design,nft,top rated seller,138,$30,$180,$530,5 days,10 days,14 days,3,Unlimited,Unlimited,5.0,351,Indonesia,Oct 2018,1 hour,about 7 hours,"English, Javanese, German, French",4 orders in queue,False
Graphics & Design,nft,top rated seller,138,$35,$250,$500,5 days,10 days,21 days,Unlimited,Unlimited,Unlimited,5.0,121,Indonesia,Oct 2018,1 hour,2 days,"Indonesian, English",N/A,False
Graphics & Design,nft,top rated seller,138,€29.01,€222.38,€609.14,5 days,10 days,21 days,2,3,4,5.0,230,Indonesia,May 2021,1 hour,2 days,"English, Indonesian",2 orders in queue,False
Graphics & Design,nft,top rated seller,138,"€1,064","€2,128","€5,753",7 days,10 days,14 days,7,9,9,5.0,370,Poland,Jan 2017,2 hours,3 days,"English, Polish, Croatian",1 order in queue,False
Graphics & Design,nft,top rated seller,138,$80,$200,$800,7 days,14 days,30 days,Unlimited,Unlimited,Unlimited,5.0,30,Indonesia,Oct 2018,2 hours,about 8 hours,"English, French, German, Spanish",2 orders in queue,False
