Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,social-media-design,level 2,"5,800+ Results",$75,$140,$205,7 days,10 days,14 days,Unlimited,Unlimited,Unlimited,4.9,885,Pakistan,Jul 2016,4 hours,about 1 hour,"Urdu, English, Spanish, German",9 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$10,$20,$30,1 day,2 days,3 days,1,2,3,4.8,62,Pakistan,Jun 2021,1 hour,1 day,"English, French, German, Spanish",N/A,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$15,$25,$50,3 days,3 days,4 days,2,2,2,5.0,237,Philippines,Nov 2020,2 hours,about 17 hours,English,1 order in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$15,$90,$180,2 days,4 days,7 days,Unlimited,Unlimited,Unlimited,4.9,555,Bangladesh,Aug 2022,1 hour,about 6 hours,"Bengali, English, Spanish, German",13 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$10,$35,$50,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,138,India,Jun 2021,1 hour,2 days,"Hindi, English, Punjabi",4 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$20,$30,$45,3 days,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,307,Venezuela,Aug 2019,2 hours,about 20 hours,"English, Spanish",6 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$25,$45,$65,2 days,2 days,2 days,5,Unlimited,Unlimited,4.9,"3,781",Pakistan,Dec 2017,1 hour,about 3 hours,"Urdu, English, French, Spanish",2 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$30,$30,$30,3-day delivery,3-day delivery,3-day delivery,3 Revisions,3 Revisions,3 Revisions,4.9,69,Germany,Dec 2018,1 hour,1 day,"German, English, French",1 order in queue,True
Graphics & Design,social-media-design,level 2,"5,800+ Results",$150,$200,$255,3 days,4 days,6 days,Unlimited,Unlimited,Unlimited,4.9,103,Ukraine,Jan 2019,1 hour,about 3 hours,English,3 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$10,$30,$90,1 day,1 day,4 days,Unlimited,Unlimited,Unlimited,4.9,"5,800",India,Dec 2019,1 hour,about 4 hours,"English, Hindi, Spanish, French",12 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$15,$20,$30,1 day,1 day,1 day,Unlimited,Unlimited,Unlimited,5.0,"1,318",Pakistan,Jun 2019,1 hour,about 2 hours,"Urdu, English",2 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$15,$40,$60,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,231,Poland,Nov 2022,1 hour,about 53 minutes,"English, Ukrainian, German, Russian",3 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",$10,$35,$50,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,138,India,Jun 2021,1 hour,2 days,"Hindi, English, Punjabi",4 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",€14.51,€24.18,€29.01,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,4.9,"1,431",Sri Lanka,Nov 2015,1 hour,about 6 hours,English,3 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",€19.34,€62.86,€135.40,1 day,3 days,4 days,3,Unlimited,Unlimited,4.9,55,Bangladesh,Aug 2020,1 hour,about 15 hours,"Bengali, English, Hindi",1 order in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",€24.18,€72.54,€120.89,2 days,2 days,1 day,2,3,Unlimited,4.9,215,India,Jun 2017,1 hour,about 13 hours,"Hindi, Punjabi, English",4 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",€14.51,€38.69,€58.03,2 days,5 days,10 days,1,3,5,4.9,231,United States,Jul 2021,6 hours,about 13 hours,English,2 orders in queue,False
Graphics & Design,social-media-design,level 2,"5,800+ Results",€9.67,€19.34,€24.18,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,5.0,645,Bangladesh,Feb 2018,1 hour,about 9 hours,English,4 orders in queue,False
