Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,social-media-design,new seller,"44,000+ Results",$5,$25,$50,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,4.8,7,Pakistan,Oct 2021,1 hour,3 days,"Urdu, English, French",N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$85,$320,$670,3 days,5 days,5 days,1,2,5,5.0,121,Austria,Mar 2019,3 hours,2 months,"English, German, Spanish",N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$200,$270,$320,2 days,3 days,3 days,1,1,1,5.0,8,El Salvador,Mar 2020,2 days,2 years,"English, Spanish",N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$20,$30,$45,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,"1,098",Indonesia,Oct 2017,2 hours,about 7 hours,English,2 orders in queue,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$200,$200,$200,4-day delivery,4-day delivery,4-day delivery,2 Revisions,2 Revisions,2 Revisions,4.8,34,Mexico,Feb 2018,3 days,5 days,"English, Spanish, Hebrew",1 order in queue,True
Graphics & Design,social-media-design,new seller,"44,000+ Results",$10,$20,$35,2 days,2 days,2 days,1,2,Unlimited,4.9,58,Poland,Jan 2024,3 hours,1 day,"English, Ukrainian",3 orders in queue,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$10,$20,$25,2 days,1 day,1 day,Unlimited,Unlimited,Unlimited,4.9,"2,329",India,Jan 2018,1 hour,2 days,English,N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$40,$85,$150,3 days,5 days,7 days,2,2,2,5.0,687,Pakistan,Sep 2015,4 hours,1 day,"English, Turkish",6 orders in queue,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$15,$25,$35,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,"2,559",United Kingdom,Oct 2019,2 hours,about 21 hours,"English, German",5 orders in queue,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$5,$10,$30,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,506,Colombia,May 2021,1 hour,about 6 hours,"English, Spanish",1 order in queue,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$5,$10,$30,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,4.9,180,Turkey,Mar 2022,1 hour,5 days,"English, Turkish",N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$10,$30,$50,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,223,Bangladesh,Jan 2022,2 hours,3 days,"Bengali, English, German, Spanish",N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$5,$10,$20,3 days,2 days,1 day,2,Unlimited,Unlimited,4.9,529,Vietnam,Feb 2021,1 hour,6 days,"English, Vietnamese",N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$15,$45,$75,1 day,3 days,5 days,1,3,5,4.7,25,Brazil,Apr 2022,4 hours,about 5 hours,"English, Portuguese, Spanish",N/A,False
Graphics & Design,social-media-design,new seller,"44,000+ Results",$5,$10,$20,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,4.9,"2,186",Colombia,Dec 2019,1 hour,about 15 hours,"Spanish, English",2 orders in queue,False
