Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Graphics & Design,social-media-design,top rated seller,258 Results,$50,$100,$150,2 days,2 days,4 days,0,1,2,4.9,117,United Kingdom,Jan 2021,1 hour,about 22 hours,English,2 orders in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,₪115.23,₪460.93,"₪1,230",2 days,3 days,5 days,Unlimited,Unlimited,Unlimited,4.8,25,Pakistan,Dec 2019,1 hour,1 day,"English, Urdu, Spanish, French",2 orders in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,₪518.55,₪691.40,₪864.25,3 days,4 days,5 days,Unlimited,Unlimited,Unlimited,4.9,32,Moldova,Feb 2019,1 hour,about 1 hour,"English, Romanian, Russian",N/A,False
Graphics & Design,social-media-design,top rated seller,258 Results,$100,$110,$150,3 days,3 days,5 days,2,3,4,4.9,167,Ukraine,Jul 2020,1 hour,about 2 hours,"English, Ukrainian",1 order in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,$50,$50,$50,2-day delivery,2-day delivery,2-day delivery,5 Revisions,5 Revisions,5 Revisions,5.0,"5,291",Romania,Oct 2013,4 hours,about 23 minutes,"English, Romanian",4 orders in queue,True
Graphics & Design,social-media-design,top rated seller,258 Results,$15,$25,$225,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,"3,378",India,May 2013,1 hour,about 24 minutes,"English, Spanish, French, German",31 orders in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,€14.51,€38.69,€62.86,2 days,2 days,2 days,Unlimited,Unlimited,Unlimited,5.0,"2,834",Bulgaria,Feb 2018,2 hours,about 1 hour,"English, Bulgarian",4 orders in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,$15,$25,$35,3 days,2 days,1 day,5,7,9,4.9,426,Peru,Nov 2016,2 hours,about 2 hours,"English, Spanish, Japanese",1 order in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,$250,$400,$600,7 days,10 days,14 days,Unlimited,Unlimited,Unlimited,5.0,356,Portugal,Jun 2020,2 hours,1 day,"English, Portuguese",4 orders in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,€38.69,€58.03,€135.40,2 days,2 days,2 days,7,9,Unlimited,4.9,61,Pakistan,Jul 2017,1 hour,about 7 hours,"Urdu, English",2 orders in queue,False
Graphics & Design,social-media-design,top rated seller,258 Results,€24.18,€24.18,€24.18,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,"2,108",Pakistan,Sept 2019,2 hours,about 8 hours,"Urdu, English",3 orders in queue,True
Graphics & Design,social-media-design,top rated seller,258 Results,$40,$50,$80,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,"2,191",Israel,Jun 2016,4 hours,about 3 hours,"English, Hebrew",2 orders in queue,False
