Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,fitness,new seller,"2,700+ Results",$150,$150,$150,30-day delivery,30-day delivery,30-day delivery,-1,-1,-1,5.0,2,United States,May 2021,1 hour,1 month,English,N/A,True
Lifestyle,fitness,new seller,"2,700+ Results",$10,$15,$25,1 day,1 day,1 day,-1,-1,-1,4.9,23,Greece,Oct 2023,2 hours,about 7 hours,"English, German, Greek",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$25,$35,$50,5 days,5 days,5 days,-1,-1,-1,5.0,16,Mexico,May 2022,7 hours,2 days,"Spanish, English",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$40,$120,$200,5 days,6 days,7 days,-1,-1,-1,5.0,124,United States,May 2019,1 day,1 day,"English, Swedish",2 orders in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$25,$50,$85,2 days,3 days,3 days,-1,-1,-1,5.0,547,United Kingdom,Oct 2018,2 hours,about 9 hours,English,4 orders in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$190,$225,$700,1 day,1 day,1 day,-1,-1,-1,4.9,40,United States,May 2019,1 day,1 day,"English, Swedish",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$65,$155,$500,3 days,3 days,3 days,-1,-1,-1,5.0,8,New Zealand,Aug 2019,3 days,2 months,"English, Chinese",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$45,$80,$110,1 day,1 day,1 day,-1,-1,-1,4.9,45,Morocco,Aug 2019,2 days,5 days,English,N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$80,$90,$120,5 days,5 days,6 days,-1,-1,-1,5.0,108,Canada,Dec 2021,1 day,2 weeks,"English, Russian, German",1 order in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$25,$50,$75,1 day,1 day,1 day,-1,-1,-1,4.9,193,United States,May 2019,1 day,1 day,"English, Swedish",1 order in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$30,$40,$75,7 days,7 days,21 days,-1,-1,-1,5.0,46,United Kingdom,Oct 2018,2 hours,about 10 hours,English,2 orders in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$60,$75,$420,2 days,3 days,4 days,-1,-1,-1,5.0,10,United States,Nov 2021,10 hours,7 months,"English, Spanish",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$75,$140,$200,3 days,3 days,3 days,-1,-1,-1,5.0,21,United States,Jun 2016,1 hour,2 weeks,"English, Italian",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$10,$15,$30,1 day,2 days,4 days,-1,-1,-1,5.0,6,India,Mar 2023,12 hours,4 days,"English, Hindi",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$15,$65,$85,1 day,3 days,3 days,-1,-1,-1,5.0,89,Sweden,Mar 2020,3 days,5 months,"English, Spanish",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$15,$15,$15,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,5.0,5,Pakistan,Apr 2022,2 hours,1 week,"Urdu, English, Dutch",N/A,True
Lifestyle,fitness,new seller,"2,700+ Results",$35,$55,$95,4 days,4 days,4 days,-1,-1,-1,4.8,43,Uganda,Dec 2018,2 hours,about 5 hours,English,N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$30,$55,$95,2 days,2 days,2 days,-1,-1,-1,5.0,472,South Korea,May 2019,1 hour,4 days,"English, Korean, Arabic",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$20,$40,$60,1 day,2 days,3 days,-1,-1,-1,4.9,156,Serbia,Jul 2019,N/A,4 weeks,"English, Serbian, Bulgarian",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$15,$50,$65,2 days,5 days,7 days,-1,-1,-1,5.0,92,Pakistan,Mar 2021,N/A,3 days,English,N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$5,$45,$90,3 days,4 days,5 days,-1,-1,-1,4.9,609,United States,Jun 2016,1 hour,2 weeks,"English, Italian",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$200,$270,$350,5 days,3 days,1 day,-1,-1,-1,5.0,2,India,Oct 2021,N/A,1 week,"Telugu, Hindi, English",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$60,$95,$105,2 days,3 days,3 days,-1,-1,-1,5.0,242,Macedonia [FYROM],Sep 2018,1 hour,1 week,"English, Serbian, Macedonian, German",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$320,$360,$375,1 day,1 day,1 day,-1,-1,-1,5.0,2,United States,Apr 2021,1 hour,1 year,English,N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$50,$90,$180,7 days,7 days,7 days,-1,-1,-1,5.0,2,Ireland,Nov 2019,1 hour,4 days,English,N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$75,$105,$135,3 days,3 days,3 days,-1,-1,-1,5.0,2,India,Jan 2021,1 hour,5 months,"English, Hindi, Gujarati",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",US$50,US$75,US$100,1 day,2 days,3 days,-1,-1,-1,5.0,4,Norway,Mar 2021,N/A,2 months,"English, Norwegian Bokmål",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$50,$80,$450,2 days,2 days,5 days,-1,-1,-1,5.0,9,Colombia,Jan 2018,14 hours,5 days,"English, Spanish, Italian",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$90,$90,$90,30-day delivery,30-day delivery,30-day delivery,-1,-1,-1,5.0,5,United States,May 2021,1 hour,1 month,English,N/A,True
Lifestyle,fitness,new seller,"2,700+ Results",$40,$75,$110,4 days,6 days,7 days,-1,-1,-1,4.8,3,United Kingdom,Nov 2023,4 days,1 month,"English, German",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$80,$90,$120,5 days,6 days,7 days,-1,-1,-1,5.0,4,Canada,Dec 2021,1 day,2 weeks,"English, Russian, German",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$15,$40,$60,2 days,2 days,2 days,-1,-1,-1,5.0,9,Argentina,Jul 2023,2 hours,2 weeks,"English, Spanish",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$40,$70,$90,2 days,2 days,2 days,-1,-1,-1,5.0,5,Slovenia,May 2022,22 hours,6 months,"English, Slovenian",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$50,$80,$150,2 days,3 days,4 days,-1,-1,-1,5.0,3,Spain,Sep 2020,1 hour,3 months,"English, Spanish",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",€58.03,€67.70,€77.37,30 days,30 days,7 days,-1,-1,-1,5.0,2,Canada,Apr 2022,2 hours,about 35 minutes,"English, Tagalog",1 order in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$30,$100,$190,3 days,30 days,30 days,-1,-1,-1,5.0,6,Poland,Aug 2023,7 hours,6 months,"English, Polish, Spanish, German",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$45,$50,$440,2 days,2 days,2 days,-1,-1,-1,5.0,6,Ukraine,Oct 2021,8 hours,1 year,"English, Russian",1 order in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$40,$60,$80,7 days,14 days,14 days,-1,-1,-1,5.0,2,United States,Jul 2017,1 hour,1 month,English,1 order in queue,False
Lifestyle,fitness,new seller,"2,700+ Results",$60,$60,$60,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,5,New Zealand,Aug 2019,3 days,2 months,"English, Chinese",N/A,True
Lifestyle,fitness,new seller,"2,700+ Results",$30,$80,$195,10 days,30 days,30 days,-1,-1,-1,5.0,9,Italy,Sep 2019,1 hour,10 months,"English, Hebrew, Italian, French",N/A,False
Lifestyle,fitness,new seller,"2,700+ Results",$45,$80,$150,2 days,3 days,3 days,-1,-1,-1,4.9,3,United States,Nov 2022,N/A,7 months,English,N/A,False
