Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,life-coaching,new seller,5613,$35,$40,$75,7 days,7 days,7 days,-1,-1,-1,4.9,55,Israel,N/A,N/A,N/A,"I speak English, Italian, Spanish",N/A,False
Lifestyle,life-coaching,new seller,5613,$80,$100,$120,3 days,2 days,2 days,-1,-1,-1,5.0,35,Pakistan,N/A,N/A,N/A,"I speak Urdu, Punjabi, English, Arabic",N/A,False
Lifestyle,life-coaching,new seller,5613,$25,$50,$100,7 days,14 days,30 days,-1,-1,-1,5.0,5,Morocco,N/A,N/A,N/A,"I speak English, Arabic, French",N/A,False
Lifestyle,life-coaching,new seller,5613,$30,$200,$450,7 days,30 days,90 days,-1,-1,-1,5.0,93,Spain,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$70,$180,$280,7 days,30 days,90 days,-1,-1,-1,5.0,7,Algeria,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$25,$60,$90,1 day,2 days,2 days,-1,-1,-1,5.0,6,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$50,$120,$210,3 days,7 days,14 days,-1,-1,-1,4.9,41,Georgia,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$85,$85,$85,10-day delivery,10-day delivery,10-day delivery,-1,-1,-1,5.0,70,Canada,N/A,N/A,N/A,I speak English,N/A,True
Lifestyle,life-coaching,new seller,5613,$25,$35,$45,2 days,2 days,2 days,-1,-1,-1,5.0,6,Philippines,N/A,N/A,N/A,"I speak English, Tagalog, Chinese",N/A,False
Lifestyle,life-coaching,new seller,5613,$30,$60,$120,3 days,3 days,4 days,-1,-1,-1,5.0,26,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$25,$30,$35,1 day,1 day,1 day,-1,-1,-1,5.0,6,United Kingdom,N/A,N/A,N/A,"I speak English, Igbo",N/A,False
Lifestyle,life-coaching,new seller,5613,$15,$30,$60,2 days,7 days,14 days,-1,-1,-1,5.0,8,United States,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$45,$85,$235,1 day,1 day,1 day,-1,-1,-1,4.9,12,United Kingdom,N/A,N/A,N/A,"I speak English, French",N/A,False
Lifestyle,life-coaching,new seller,5613,"$2,400","$4,000","$7,200",90 days,90 days,90 days,-1,-1,-1,5.0,45,United States,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$65,$75,$140,14 days,14 days,30 days,-1,-1,-1,5.0,3,United States,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$25,$25,$25,60-day delivery,60-day delivery,60-day delivery,-1,-1,-1,5.0,51,Brazil,N/A,N/A,N/A,I speak English,N/A,True
Lifestyle,life-coaching,new seller,5613,$25,$60,$200,2 days,3 days,10 days,-1,-1,-1,5.0,45,United States,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$40,$120,$240,4 days,5 days,7 days,-1,-1,-1,5.0,7,Pakistan,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,£61.60,£172.47,£320.31,1 day,1 day,1 day,-1,-1,-1,5.0,1,Costa Rica,N/A,N/A,N/A,"I speak English, Spanish",N/A,False
Lifestyle,life-coaching,new seller,5613,$25,$35,$50,1 day,2 days,3 days,-1,-1,-1,4.9,80,Morocco,N/A,N/A,N/A,"I speak English, French",N/A,False
Lifestyle,life-coaching,new seller,5613,$10,$110,$235,10 days,30 days,90 days,-1,-1,-1,5.0,4,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$10,$15,$30,1 day,2 days,3 days,-1,-1,-1,5.0,8,Pakistan,N/A,N/A,N/A,"I speak English, Urdu, Punjabi",N/A,False
Lifestyle,life-coaching,new seller,5613,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,183,United Kingdom,N/A,N/A,N/A,I speak English,N/A,True
Lifestyle,life-coaching,new seller,5613,$150,$550,"$1,600",7 days,30 days,90 days,-1,-1,-1,5.0,1,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$10,$15,$20,1 day,1 day,1 day,-1,-1,-1,5.0,6,Indonesia,N/A,N/A,N/A,"I speak English, Indonesian",N/A,False
Lifestyle,life-coaching,new seller,5613,$25,$40,$50,3 days,3 days,3 days,-1,-1,-1,5.0,1,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$550,"$1,600","$2,500",30 days,90 days,90 days,-1,-1,-1,5.0,1,United Kingdom,N/A,N/A,N/A,I speak English,N/A,False
Lifestyle,life-coaching,new seller,5613,$25,$40,$80,1 day,1 day,1 day,-1,-1,-1,5.0,10,India,N/A,N/A,N/A,"I speak Hindi, English",N/A,False
Lifestyle,life-coaching,new seller,5613,$115,$230,$460,3 days,3 days,3 days,-1,-1,-1,N/A,N/A,Canada,N/A,N/A,N/A,"I speak English, Portuguese, Spanish",N/A,False
