Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,modeling-acting,new seller,"2,200+ Results",₪57.62,₪96.03,₪172.85,2 days,3 days,4 days,-1,-1,-1,4.9,56,Pakistan,May 2023,1 hour,6 days,English,1 order in queue,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$10,$15,$25,1 day,2 days,2 days,-1,-1,-1,5.0,20,Venezuela,Mar 2024,1 hour,1 day,"Spanish, English",2 orders in queue,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$5,$10,$25,1 day,1 day,1 day,-1,-1,-1,5.0,15,Chile,Nov 2023,17 hours,5 days,Spanish,N/A,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$10,$15,$20,2 days,2 days,2 days,-1,-1,-1,4.8,11,Austria,Apr 2020,6 hours,4 weeks,"English, German",N/A,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$40,$80,$125,1 day,1 day,2 days,-1,-1,-1,4.9,25,United States,Apr 2022,13 hours,4 days,English,1 order in queue,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$25,$50,$85,2 days,3 days,4 days,-1,-1,-1,5.0,25,Thailand,Oct 2022,2 hours,1 week,"English, Kazakh, Turkish",N/A,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$45,$50,$80,3 days,3 days,4 days,-1,-1,-1,4.9,93,United States,Apr 2022,1 day,2 weeks,English,1 order in queue,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$75,$95,$135,3 days,4 days,5 days,-1,-1,-1,5.0,47,United Kingdom,Jan 2023,1 hour,1 week,"English, Portuguese, Spanish",2 orders in queue,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$65,$95,$125,7 days,7 days,7 days,-1,-1,-1,5.0,18,United States,Mar 2023,2 hours,about 3 hours,"English, Spanish",2 orders in queue,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$10,$15,$20,3 days,3 days,3 days,-1,-1,-1,4.9,193,Bulgaria,Apr 2019,2 days,1 day,English,1 order in queue,False
Lifestyle,modeling-acting,new seller,"2,200+ Results",$15,$15,$15,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,73,Venezuela,Jun 2022,2 hours,1 week,"Spanish, English",1 order in queue,True
Lifestyle,modeling-acting,new seller,"2,200+ Results",$20,$30,$50,5 days,7 days,10 days,-1,-1,-1,4.8,49,Morocco,Apr 2020,6 hours,1 month,"English, Arabic, French, Japanese",2 orders in queue,False
