Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,modeling-acting,top rated seller,38 Results,$100,$145,$170,3 days,5 days,5 days,-1,-1,-1,5.0,19,Venezuela,Aug 2016,1 hour,2 days,"English, Spanish, Italian",N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$100Save up to 10% with Subscribe to Save,$100Save up to 10% with Subscribe to Save,$100Save up to 10% with Subscribe to Save,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,4.8,4,United States,Jan 2013,4 hours,about 10 hours,English,N/A,True
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$90,$100,3 days,3 days,5 days,-1,-1,-1,5.0,322,Venezuela,Aug 2016,1 hour,2 days,"English, Spanish, Italian",2 orders in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$45,$60,$70,4 days,4 days,4 days,-1,-1,-1,4.9,40,United States,Dec 2021,1 hour,about 3 hours,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$90,$100,3 days,3 days,5 days,-1,-1,-1,5.0,322,Venezuela,Aug 2016,1 hour,2 days,"English, Spanish, Italian",2 orders in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$70,$100,5 days,5 days,5 days,-1,-1,-1,5.0,174,Romania,Aug 2020,1 hour,about 22 hours,English,1 order in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$150,$230,$350,10 days,10 days,14 days,-1,-1,-1,5.0,144,Lithuania,Nov 2020,2 hours,about 2 hours,English,5 orders in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$140,$200,$250,10 days,10 days,10 days,-1,-1,-1,5.0,307,Lithuania,Nov 2020,2 hours,about 2 hours,English,11 orders in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$40,$85,$150,3 days,4 days,5 days,-1,-1,-1,5.0,74,United Arab Emirates,Dec 2020,2 hours,3 days,"English, Spanish, Portuguese",N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$45,$60,$70,4 days,4 days,4 days,-1,-1,-1,4.9,40,United States,Dec 2021,1 hour,about 3 hours,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$100,$180,$250,4 days,4 days,5 days,-1,-1,-1,5.0,147,United Arab Emirates,Dec 2020,2 hours,3 days,"English, Spanish, Portuguese",N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$100,$130,5 days,5 days,5 days,-1,-1,-1,4.9,20,Romania,Aug 2020,1 hour,about 22 hours,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$100,$130,5 days,5 days,5 days,-1,-1,-1,5.0,89,Romania,Aug 2020,1 hour,about 22 hours,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$100Save up to 10% with Subscribe to Save,$100Save up to 10% with Subscribe to Save,$100Save up to 10% with Subscribe to Save,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,4.8,4,United States,Jan 2013,4 hours,about 10 hours,English,N/A,True
Lifestyle,modeling-acting,top rated seller,38 Results,$170,$270,$350,10 days,10 days,14 days,-1,-1,-1,5.0,45,Lithuania,Nov 2020,2 hours,about 2 hours,English,1 order in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$100,$145,$170,3 days,5 days,5 days,-1,-1,-1,5.0,19,Venezuela,Aug 2016,1 hour,2 days,"English, Spanish, Italian",N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$450,$550,$700,14 days,14 days,14 days,-1,-1,-1,5.0,30,Lithuania,Nov 2020,2 hours,about 2 hours,English,1 order in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$50,$50,5-day delivery,5-day delivery,5-day delivery,-1,-1,-1,5.0,3,United Kingdom,Jun 2015,1 hour,about 8 hours,English,N/A,True
Lifestyle,modeling-acting,top rated seller,38 Results,$100,$160,$305,10 days,14 days,14 days,-1,-1,-1,5.0,7,Lithuania,Nov 2020,2 hours,about 2 hours,English,1 order in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$80,$200,$600,10 days,21 days,30 days,-1,-1,-1,5.0,30,Lithuania,Nov 2020,2 hours,about 2 hours,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$90,$180,$500,3 days,5 days,7 days,-1,-1,-1,5.0,139,Australia,Oct 2021,4 hours,1 week,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$180,$250,$400,10 days,10 days,10 days,-1,-1,-1,5.0,74,Lithuania,Nov 2020,2 hours,about 2 hours,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$100,$145,$170,3 days,5 days,5 days,-1,-1,-1,5.0,333,Venezuela,Aug 2016,1 hour,2 days,"English, Spanish, Italian",1 order in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$95,$175,14 days,14 days,14 days,-1,-1,-1,5.0,26,Ireland,Nov 2019,2 hours,4 days,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$50,$95,$150,3 days,4 days,5 days,-1,-1,-1,4.9,233,Venezuela,Aug 2016,1 hour,2 days,"English, Spanish, Italian",N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$140,$220,$350,10 days,10 days,14 days,-1,-1,-1,5.0,338,Lithuania,Nov 2020,2 hours,about 2 hours,English,14 orders in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$70,$130,$190,10 days,10 days,10 days,-1,-1,-1,5.0,91,Lithuania,Nov 2020,2 hours,about 2 hours,English,5 orders in queue,False
Lifestyle,modeling-acting,top rated seller,38 Results,$110,$150,$210,5 days,5 days,7 days,-1,-1,-1,5.0,117,Romania,Aug 2020,1 hour,about 22 hours,English,N/A,False
Lifestyle,modeling-acting,top rated seller,38 Results,$150,$180,$300,10 days,14 days,14 days,-1,-1,-1,5.0,3,Lithuania,Nov 2020,2 hours,about 2 hours,English,N/A,False
