Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,online-tutoring,level 2,533 Results,$15,$30,$45,1 day,1 day,1 day,-1,-1,-1,5.0,54,Pakistan,May 2020,1 hour,1 day,English,1 order in queue,False
Lifestyle,online-tutoring,level 2,533 Results,$30,$150,$210,1 day,2 days,5 days,-1,-1,-1,5.0,22,India,Mar 2022,2 hours,4 days,English,N/A,False
Lifestyle,online-tutoring,level 2,533 Results,$10,$80,$300,1 day,1 day,3 days,-1,-1,-1,4.8,19,Morocco,Jul 2022,1 hour,2 days,"English, Arabic, French, Spanish",N/A,False
Lifestyle,online-tutoring,level 2,533 Results,₪96.03,₪134.44,₪192.06,7 days,7 days,7 days,-1,-1,-1,5.0,731,France,Feb 2020,1 hour,about 17 hours,English,8 orders in queue,False
Lifestyle,online-tutoring,level 2,533 Results,$15,$25,$45,4 days,4 days,3 days,-1,-1,-1,5.0,19,Japan,Jun 2023,4 hours,about 8 hours,"English, Japanese, Chinese",1 order in queue,False
Lifestyle,online-tutoring,level 2,533 Results,$10,$25,$60,1 day,2 days,5 days,-1,-1,-1,4.9,35,Pakistan,Jun 2020,1 hour,about 9 hours,English,1 order in queue,False
Lifestyle,online-tutoring,level 2,533 Results,$40,$55,$175,3 days,3 days,30 days,-1,-1,-1,5.0,145,Estonia,Dec 2021,4 hours,2 days,"English, Estonian",4 orders in queue,False
Lifestyle,online-tutoring,level 2,533 Results,$60Save up to 10% with Subscribe to Save,$60Save up to 10% with Subscribe to Save,$60Save up to 10% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,4.8,18,Pakistan,Jan 2018,3 hours,2 weeks,English,N/A,True
Lifestyle,online-tutoring,level 2,533 Results,$10,$30,$45,1 day,3 days,3 days,-1,-1,-1,4.9,101,Bangladesh,May 2017,1 hour,1 day,"English, Bengali, Hindi",1 order in queue,False
Lifestyle,online-tutoring,level 2,533 Results,$5,$15,$55,7 days,7 days,7 days,-1,-1,-1,5.0,33,Pakistan,Apr 2020,1 hour,2 weeks,"Urdu, Punjabi, English",N/A,False
Lifestyle,online-tutoring,level 2,533 Results,$10,$30,$60,7 days,7 days,7 days,-1,-1,-1,5.0,274,United States,Nov 2013,3 hours,1 day,English,1 order in queue,False
