Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$30,$60,1 day,1 day,1 day,-1,-1,-1,5.0,15,Pakistan,Mar 2024,1 hour,1 day,English,1 order in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$10,$20,1 day,1 day,2 days,-1,-1,-1,4.9,18,Pakistan,Jan 2024,1 hour,about 1 hour,"Urdu, English, Persian",3 orders in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$30,$40,$50,3 days,3 days,3 days,-1,-1,-1,5.0,13,Australia,Jan 2024,2 hours,6 days,English,1 order in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$20,$50,$85,1 day,1 day,1 day,-1,-1,-1,5.0,12,Pakistan,Feb 2024,1 hour,about 23 hours,"Urdu, English, Arabic",1 order in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$20,$30,$50,5 days,5 days,5 days,-1,-1,-1,5.0,241,Georgia,Nov 2020,3 hours,1 week,English,N/A,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$10,$40,$80,1 day,1 day,1 day,-1,-1,-1,5.0,14,Pakistan,Mar 2024,1 hour,about 14 hours,English,3 orders in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",US$5,US$25,US$50,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,15,Pakistan,Jan 2024,1 hour,about 2 hours,English,1 order in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$10,$15,1 day,1 day,1 day,-1,-1,-1,4.9,16,Pakistan,Sep 2022,1 hour,about 2 hours,"Urdu, English, French",1 order in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.8,11,Pakistan,Apr 2023,1 hour,2 days,English,2 orders in queue,True
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$25,$60,1 day,1 day,2 days,-1,-1,-1,4.6,11,Kyrgyzstan,Dec 2023,1 hour,about 2 hours,"English, Russian",2 orders in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$15,$30,1 day,2 days,3 days,-1,-1,-1,5.0,17,Pakistan,Oct 2023,1 hour,1 day,"Urdu, English, Arabic, German",N/A,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",€4.84,€9.67,€19.34,1 day,1 day,1 day,-1,-1,-1,4.9,19,Pakistan,Jul 2023,1 hour,4 days,"Urdu, English, Hindi, Punjabi",N/A,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$25,$45,1 day,1 day,2 days,-1,-1,-1,4.6,10,Pakistan,Jan 2024,1 hour,about 10 hours,"English, French",1 order in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$10,$40,$75,1 day,2 days,2 days,-1,-1,-1,5.0,15,Kenya,Jun 2022,1 hour,2 days,English,1 order in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$5,$25,$50,14 days,14 days,14 days,-1,-1,-1,5.0,211,United States,Apr 2020,2 days,3 days,English,2 orders in queue,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$10,$15,$25,1 day,1 day,1 day,-1,-1,-1,5.0,11,Pakistan,Jul 2021,3 hours,about 2 hours,"Urdu, English, Hindi",N/A,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$15,$25,$50,3 days,2 days,1 day,-1,-1,-1,5.0,42,Sri Lanka,Jun 2020,1 hour,4 days,English,N/A,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$10,$45,$175,1 day,5 days,30 days,-1,-1,-1,5.0,12,Pakistan,May 2023,1 hour,1 week,"English, Hindi, Urdu",N/A,False
Lifestyle,online-tutoring,new seller,"14,000+ Results",$10,$20,$200,2 days,2 days,10 days,-1,-1,-1,5.0,16,Pakistan,Aug 2020,1 hour,2 weeks,"English, Korean",1 order in queue,False
