Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,online-tutoring,top rated seller,23 Results,$15,$25,$35,1 day,1 day,1 day,-1,-1,-1,5.0,41,United States,Jan 2013,1 hour,about 10 hours,"English, Spanish, Galician",N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$295,$295,$295,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,4.9,25,Netherlands,Mar 2017,2 hours,2 days,"English, Dutch, German",N/A,True
Lifestyle,online-tutoring,top rated seller,23 Results,$35,$55,$75,10 days,10 days,10 days,-1,-1,-1,5.0,17,United Kingdom,Nov 2015,4 hours,1 day,"English, Spanish, Italian, German",N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$25,$50,$75,60 days,60 days,60 days,-1,-1,-1,5.0,287,Italy,Sep 2020,1 hour,about 4 hours,"English, Italian",10 orders in queue,False
Lifestyle,online-tutoring,top rated seller,23 Results,$25,$50,$75,60 days,60 days,60 days,-1,-1,-1,5.0,287,Italy,Sep 2020,1 hour,about 4 hours,"English, Italian",10 orders in queue,False
Lifestyle,online-tutoring,top rated seller,23 Results,$10,$30,$120,1 day,2 days,30 days,-1,-1,-1,4.8,18,United States,Sep 2018,1 hour,1 day,English,3 orders in queue,False
Lifestyle,online-tutoring,top rated seller,23 Results,$15,$30,$45,1 day,1 day,1 day,-1,-1,-1,5.0,10,United States,Sep 2018,1 hour,1 day,English,1 order in queue,False
Lifestyle,online-tutoring,top rated seller,23 Results,$30,$90,$150,2 days,3 days,4 days,-1,-1,-1,4.7,7,Slovenia,Jan 2020,1 hour,1 day,"English, Slovenian, Croatian, Latin",N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$295,$295,$295,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,4.9,25,Netherlands,Mar 2017,2 hours,2 days,"English, Dutch, German",N/A,True
Lifestyle,online-tutoring,top rated seller,23 Results,$105,$205,$305,14 days,14 days,14 days,-1,-1,-1,5.0,48,Italy,Dec 2018,1 hour,about 13 hours,"English, Italian, Spanish",N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$100Save up to 10% with Subscribe to Save,$100Save up to 10% with Subscribe to Save,$100Save up to 10% with Subscribe to Save,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,3,Nigeria,Nov 2020,1 hour,2 days,English,N/A,True
Lifestyle,online-tutoring,top rated seller,23 Results,$85,$155,$210,30 days,30 days,30 days,-1,-1,-1,5.0,24,United Kingdom,Jun 2020,2 hours,about 21 hours,English,N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$15,$25,$35,1 day,1 day,2 days,-1,-1,-1,5.0,93,United States,Jan 2013,1 hour,about 11 hours,"English, Spanish, Galician",N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$150,$400,$900,7 days,14 days,30 days,-1,-1,-1,4.9,52,Sri Lanka,Mar 2019,5 hours,3 weeks,English,N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$75,$140,$195,30 days,30 days,30 days,-1,-1,-1,5.0,7,United Kingdom,Jun 2020,2 hours,about 21 hours,English,N/A,False
Lifestyle,online-tutoring,top rated seller,23 Results,$75,$140,$195,30 days,30 days,30 days,-1,-1,-1,4.9,5,United Kingdom,Jun 2020,2 hours,about 21 hours,English,1 order in queue,False
