Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,personal-stylists,level 1,128 Results,$65,$95,$155,7 days,10 days,10 days,-1,-1,-1,5.0,94,Spain,May 2022,6 hours,2 days,English,4 orders in queue,False
Lifestyle,personal-stylists,level 1,128 Results,$35,$75,$115,1 day,2 days,2 days,-1,-1,-1,4.9,192,United States,Jul 2021,17 hours,about 3 hours,English,N/A,False
Lifestyle,personal-stylists,level 1,128 Results,$65,$115,$145,1 day,2 days,3 days,-1,-1,-1,4.8,82,United States,Jul 2021,17 hours,about 3 hours,English,2 orders in queue,False
Lifestyle,personal-stylists,level 1,128 Results,$25,$70,$115,1 day,2 days,2 days,-1,-1,-1,4.9,128,United States,Jul 2021,17 hours,about 3 hours,English,N/A,False
Lifestyle,personal-stylists,level 1,128 Results,€29.01,€48.36,€77.37,2 days,3 days,4 days,-1,-1,-1,5.0,7,India,Oct 2021,1 hour,1 day,"Hindi, English",N/A,False
Lifestyle,personal-stylists,level 1,128 Results,$15,$20,$25,2 days,1 day,2 days,-1,-1,-1,4.9,211,Portugal,Feb 2022,3 hours,about 1 hour,"English, Portuguese",3 orders in queue,False
Lifestyle,personal-stylists,level 1,128 Results,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,-1,-1,-1,4.9,86,Indonesia,Jan 2017,1 hour,about 8 hours,"English, Indonesian",1 order in queue,True
Lifestyle,personal-stylists,level 1,128 Results,$20,$45,$70,2 days,3 days,5 days,-1,-1,-1,4.9,442,United Kingdom,Feb 2014,1 hour,1 day,English,N/A,False
Lifestyle,personal-stylists,level 1,128 Results,$65,$95,$155,7 days,10 days,10 days,-1,-1,-1,5.0,94,Spain,May 2022,6 hours,2 days,English,4 orders in queue,False
Lifestyle,personal-stylists,level 1,128 Results,$20,$30,$45,3 days,5 days,7 days,-1,-1,-1,4.8,24,Mexico,Jan 2021,4 hours,2 weeks,"English, Spanish",1 order in queue,False
Lifestyle,personal-stylists,level 1,128 Results,$35,$50,$110,2 days,3 days,6 days,-1,-1,-1,4.9,30,India,Oct 2021,1 hour,1 day,"Hindi, English",N/A,False
Lifestyle,personal-stylists,level 1,128 Results,$25,$70,$115,1 day,2 days,2 days,-1,-1,-1,4.9,128,United States,Jul 2021,17 hours,about 3 hours,English,N/A,False
Lifestyle,personal-stylists,level 1,128 Results,€87.04,€154.74,€261.13,14 days,14 days,14 days,-1,-1,-1,5.0,15,Poland,Aug 2022,1 hour,3 months,"English, Ukrainian, Polish",N/A,False
