Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Lifestyle,personal-stylists,new seller,"1,000+ Results",$50,$50,$50,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,6,Pakistan,Apr 2022,1 hour,2 months,"Urdu, English",N/A,True
Lifestyle,personal-stylists,new seller,"1,000+ Results",$10,$15,$20,1 day,2 days,2 days,-1,-1,-1,4.9,34,Italy,May 2022,1 hour,about 5 hours,"English, Italian",N/A,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$35,$70,$80,5 days,5 days,5 days,-1,-1,-1,4.9,678,Germany,Sep 2020,9 hours,about 8 minutes,"English, German",7 orders in queue,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$30,$50,$100,2 days,2 days,3 days,-1,-1,-1,4.9,25,United Kingdom,Sep 2023,7 hours,1 day,English,N/A,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$25,$40,$55,4 days,4 days,4 days,-1,-1,-1,5.0,50,Brazil,Jun 2022,2 hours,4 days,"English, Portuguese, French",N/A,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$20,$30,$40,2 days,3 days,3 days,-1,-1,-1,5.0,29,Mexico,Mar 2022,1 hour,about 5 hours,"English, Spanish",2 orders in queue,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$25,$30,$45,2 days,3 days,4 days,-1,-1,-1,4.9,133,Canada,Feb 2023,2 hours,about 19 hours,English,2 orders in queue,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$35,$40,$70,4 days,4 days,4 days,-1,-1,-1,4.9,96,Sweden,Apr 2013,1 hour,2 days,English,1 order in queue,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$95,$180,$360,5 days,6 days,10 days,-1,-1,-1,5.0,18,Germany,Apr 2021,2 hours,1 week,"German, English",N/A,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$50,$65,$80,3 days,3 days,3 days,-1,-1,-1,4.9,11,United Kingdom,Sep 2021,1 hour,4 months,English,N/A,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$70,$70,$70,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,1,Chile,Oct 2022,12 days,4 months,"English, Spanish",N/A,True
Lifestyle,personal-stylists,new seller,"1,000+ Results",$30,$40,$50,3 days,4 days,4 days,-1,-1,-1,5.0,25,Mexico,Mar 2022,1 hour,about 5 hours,"English, Spanish",1 order in queue,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$45,$70,$100,2 days,3 days,4 days,-1,-1,-1,5.0,3,United States,Jan 2021,5 days,5 months,"English, Spanish",N/A,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$5,$10,$50,2 days,4 days,7 days,-1,-1,-1,5.0,44,United States,Apr 2016,2 days,2 weeks,"English, Spanish",N/A,False
Lifestyle,personal-stylists,new seller,"1,000+ Results",$5,$10,$25,3 days,3 days,3 days,-1,-1,-1,4.9,15,India,May 2021,1 hour,3 weeks,"Assamese, English, Hindi, Bengali",N/A,False
