Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,dj-mixing,level 2,116,$5,$10,$15,1 day,2 days,2 days,1,2,3,5.0,24,Venezuela,Jun 2022,2 hours,about 23 hours,"English, Spanish, French",N/A,False
Music & Audio,dj-mixing,level 2,116,$10,$20,$30,2 days,2 days,2 days,1,2,2,5.0,160,Venezuela,Jun 2022,2 hours,about 23 hours,"English, Spanish, French",1 order in queue,False
Music & Audio,dj-mixing,level 2,116,$30,$50,$70,5 days,7 days,7 days,2,2,2,5.0,215,United Kingdom,Feb 2018,1 hour,about 8 hours,"English, French",1 order in queue,False
Music & Audio,dj-mixing,level 2,116,$15,$25,$45,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,"1,270",Sri Lanka,Dec 2020,1 hour,1 day,"English, Sinhala, Tamil",N/A,False
Music & Audio,dj-mixing,level 2,116,$25,$125,$500,1 day,2 days,7 days,-1,-1,-1,4.9,109,Turkey,Feb 2017,1 hour,3 days,"English, Turkish, Russian, Czech",N/A,False
Music & Audio,dj-mixing,level 2,116,$20,$35,$60,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,57,Greece,Mar 2016,1 hour,about 8 hours,"English, Greek",N/A,False
Music & Audio,dj-mixing,level 2,116,$15,$30,$45,1 day,2 days,3 days,3,3,5,5.0,10,Sri Lanka,Jan 2020,1 hour,3 days,"Tamil, English, Sinhala",N/A,False
Music & Audio,dj-mixing,level 2,116,$20,$110,$180,2 days,5 days,7 days,0,0,0,5.0,65,Croatia,Jul 2018,1 hour,1 day,English,N/A,False
Music & Audio,dj-mixing,level 2,116,$30,$50,$70,5 days,5 days,5 days,-1,-1,-1,5.0,128,Argentina,May 2022,1 hour,4 days,"English, Spanish",N/A,False
Music & Audio,dj-mixing,level 2,116,$25,$35,$65,3 days,4 days,5 days,-1,-1,-1,5.0,222,Turkey,Jan 2022,5 hours,4 days,"English, Turkish, German",N/A,False
Music & Audio,dj-mixing,level 2,116,$10,$10,$10,7-day delivery,7-day delivery,7-day delivery,1 Revision,1 Revision,1 Revision,5.0,243,Canada,Mar 2013,3 hours,2 days,English,3 orders in queue,True
