Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,dj-mixing,new seller,329,$20,$30,$50,1 day,2 days,3 days,2,3,Unlimited,4.9,64,Brazil,May 2021,1 day,1 week,"English, Spanish, Portuguese",1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$50,$65,$100,7 days,7 days,7 days,Unlimited,Unlimited,Unlimited,4.8,29,Israel,Jul 2016,N/A,4 months,"English, Hebrew",N/A,False
Music & Audio,dj-mixing,new seller,329,$15,$20,$25,3 days,3 days,3 days,0,0,1,4.9,64,Nepal,Sep 2021,5 hours,4 months,"English, Nepali, Hindi",N/A,False
Music & Audio,dj-mixing,new seller,329,$15,$20,$25,2 days,3 days,4 days,Unlimited,Unlimited,Unlimited,5.0,14,India,Nov 2022,2 days,5 days,"Hindi, Gujarati, English",1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$20,$40,$70,2 days,3 days,4 days,1,1,2,4.9,46,Trinidad and Tobago,Apr 2013,5 hours,1 week,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$5,$10,$15,2 days,3 days,4 days,3,3,3,5.0,6,Sri Lanka,Apr 2023,1 hour,4 days,"Sinhala, English, Spanish, German",N/A,False
Music & Audio,dj-mixing,new seller,329,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,17,India,Jul 2021,1 hour,5 days,"Hindi, English",N/A,True
Music & Audio,dj-mixing,new seller,329,$10,$15,$20,2 days,2 days,3 days,2,3,3,4.8,27,Sri Lanka,Jun 2021,1 hour,about 10 hours,"English, Tamil, Sinhala",2 orders in queue,False
Music & Audio,dj-mixing,new seller,329,$20,$30,$40,2 days,2 days,2 days,2,3,4,5.0,14,India,Aug 2021,18 hours,6 days,"Hindi, English, Urdu, Punjabi",N/A,False
Music & Audio,dj-mixing,new seller,329,$25,$50,$75,4 days,5 days,5 days,1,1,1,4.9,15,Germany,Apr 2020,N/A,8 months,"English, German",N/A,False
Music & Audio,dj-mixing,new seller,329,$55,$75,$115,7 days,7 days,7 days,1,1,1,4.9,27,Argentina,May 2021,1 hour,4 days,"English, Spanish",N/A,False
Music & Audio,dj-mixing,new seller,329,$20,$30,$50,3 days,3 days,3 days,1,2,3,5.0,564,Serbia,Apr 2016,2 hours,about 9 hours,"English, Serbian, Croatian",N/A,False
Music & Audio,dj-mixing,new seller,329,$55,$160,$355,4 days,4 days,4 days,-1,-1,-1,5.0,2,United Kingdom,Sep 2022,7 days,3 weeks,"English, Swedish, Spanish",N/A,False
Music & Audio,dj-mixing,new seller,329,$60,$60,$60,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,4,India,Nov 2020,1 hour,3 weeks,"Hindi, English",N/A,True
Music & Audio,dj-mixing,new seller,329,$35,$50,$75,3 days,3 days,3 days,1,1,1,5.0,4,United States,Jul 2023,N/A,1 month,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$200,$200,$200,7-day delivery,7-day delivery,7-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.0,2,Sri Lanka,Jan 2021,1 hour,4 days,"English, Sinhala, Spanish, French",N/A,True
Music & Audio,dj-mixing,new seller,329,$10,$55,$130,10 days,5 days,3 days,0,0,0,5.0,21,Italy,Apr 2020,2 days,3 months,"English, Italian, Spanish, French",N/A,False
Music & Audio,dj-mixing,new seller,329,$25,$50,$75,2 days,2 days,2 days,0,0,0,5.0,3,United States,Jun 2020,1 hour,1 month,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$45,$45,$45,10-day delivery,10-day delivery,10-day delivery,-1,-1,-1,3.0,2,Netherlands,Jun 2020,1 hour,1 month,"English, Dutch",N/A,True
Music & Audio,dj-mixing,new seller,329,$65,$65,$65,2-day delivery,2-day delivery,2-day delivery,5 Revisions,5 Revisions,5 Revisions,4.7,4,Sri Lanka,Jan 2021,1 hour,4 days,"English, Sinhala, Spanish, French",N/A,True
Music & Audio,dj-mixing,new seller,329,$30,$40,$50,2 days,3 days,4 days,5,5,5,5.0,7,India,Sep 2021,3 hours,1 day,"Hindi, English",1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$15,$30,$60,2 days,4 days,5 days,1,2,2,5.0,17,Portugal,Jan 2017,1 hour,6 days,"English, Portuguese, Spanish, French",N/A,False
Music & Audio,dj-mixing,new seller,329,$30,$60,$90,2 days,3 days,4 days,2,2,2,5.0,17,United States,Jul 2020,23 hours,4 months,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$120,$120,$120,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,4.8,14,Italy,May 2021,1 hour,5 months,"English, Italian, Spanish",N/A,True
Music & Audio,dj-mixing,new seller,329,$40,$95,$170,3 days,4 days,6 days,Unlimited,Unlimited,Unlimited,5.0,25,Romania,Aug 2018,N/A,7 months,"English, Romanian, German",N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$20,$30,2 days,3 days,4 days,0,1,2,4.8,12,Indonesia,Aug 2019,1 hour,1 day,"English, Indonesian",1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$45,$65,$75,5 days,5 days,5 days,1,1,1,5.0,3,Argentina,May 2021,1 hour,4 days,"English, Spanish",N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$15,$25,1 day,2 days,3 days,1,2,2,5.0,1,Sri Lanka,May 2022,1 hour,2 months,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$20,$40,2 days,3 days,4 days,1,2,3,5.0,4,Venezuela,Nov 2022,6 hours,8 months,Spanish,N/A,False
Music & Audio,dj-mixing,new seller,329,$30,$30,$30,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,5.0,6,United States,May 2022,N/A,2 months,English,N/A,True
Music & Audio,dj-mixing,new seller,329,$15,$30,$40,3 days,3 days,3 days,0,1,1,5.0,6,United Kingdom,Mar 2022,1 hour,1 month,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$30,$40,$50,5 days,7 days,7 days,Unlimited,Unlimited,Unlimited,5.0,1,United States,Mar 2022,1 hour,3 months,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.9,136,Sri Lanka,Jun 2021,1 hour,about 10 hours,"English, Tamil, Sinhala",N/A,True
Music & Audio,dj-mixing,new seller,329,$5,$10,$20,2 days,4 days,7 days,-1,-1,-1,4.8,13,Italy,Feb 2022,N/A,8 months,"English, Italian",N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$15,$30,3 days,4 days,10 days,1,1,2,5.0,2,Pakistan,Nov 2022,3 hours,1 month,"Urdu, English, German",N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$20,$35,1 day,2 days,2 days,1,2,3,5.0,4,United States,Nov 2015,2 hours,2 months,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$15,$40,1 day,2 days,3 days,1,1,2,4.7,3,Kenya,Jul 2019,13 hours,1 week,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$20,$40,$80,2 days,2 days,3 days,-1,-1,-1,4.9,12,Ukraine,Mar 2021,1 hour,7 months,"English, Russian, Ukrainian",N/A,False
Music & Audio,dj-mixing,new seller,329,$25,$40,$55,2 days,3 days,3 days,Unlimited,Unlimited,Unlimited,4.5,2,Sri Lanka,Jul 2022,1 hour,1 month,"English, Sinhala, Tamil",N/A,False
Music & Audio,dj-mixing,new seller,329,$5,$15,$25,2 days,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,5,United States,Jun 2023,1 hour,about 14 hours,"English, Spanish",1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$10,$20,$30,2 days,3 days,4 days,3,3,3,4.5,4,Sri Lanka,Jan 2021,1 hour,4 days,"English, Sinhala, Spanish, French",1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$10,$15,$50,3 days,5 days,7 days,3,5,Unlimited,4.8,3,Australia,Mar 2022,4 days,1 week,English,1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$25,$35,$45,3 days,3 days,3 days,1,2,3,4.9,44,Serbia,Apr 2016,2 hours,about 9 hours,"English, Serbian, Croatian",1 order in queue,False
Music & Audio,dj-mixing,new seller,329,$10,$25,$40,1 day,1 day,1 day,2,2,2,5.0,9,Greece,Jul 2022,1 hour,2 weeks,"Greek, English",N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$15,$20,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,19,Argentina,Dec 2023,1 hour,1 day,"English, Spanish",2 orders in queue,False
Music & Audio,dj-mixing,new seller,329,$40,$70,$100,2 days,3 days,4 days,0,1,2,5.0,52,Trinidad and Tobago,Apr 2013,5 hours,1 week,English,N/A,False
Music & Audio,dj-mixing,new seller,329,$10,$20,$35,1 day,1 day,1 day,1,2,3,3.9,5,Lesotho,Feb 2023,9 hours,1 week,English,N/A,False
