Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$100,$290,$690,5 days,10 days,21 days,3,3,3,5.0,13,Italy,Sep 2018,2 hours,7 months,"English, Italian",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$90,$100,$120,14 days,14 days,14 days,Unlimited,Unlimited,Unlimited,4.9,122,United Kingdom,Apr 2012,11 hours,about 3 hours,English,3 orders in queue,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$10,$25,$65,1 day,2 days,3 days,2,3,3,5.0,37,Italy,Nov 2019,2 hours,1 day,"English, Italian",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$10,$50,$80,3 days,4 days,5 days,1,3,4,5.0,"1,538",United Kingdom,N/A,N/A,5 days,English,1 order in queue,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$160,$230,$520,3 days,7 days,14 days,4,5,Unlimited,5.0,12,France,Dec 2020,N/A,1 year,"English, French",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$15,$30,$45,2 days,2 days,1 day,0,0,0,4.8,21,United States,Apr 2023,5 hours,1 day,English,N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$10,$20,$30,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,17,Sri Lanka,Jan 2024,1 hour,2 days,"Tamil, English, Sinhala, Malayalam",1 order in queue,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$45,$75,$95,4 days,4 days,4 days,3,3,3,5.0,230,France,Mar 2021,1 hour,1 week,"English, French, Spanish",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$20,$35,$60,1 day,1 day,1 day,4,4,4,5.0,24,Bangladesh,Apr 2024,1 hour,2 days,"Bengali, English",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$40,$60,$80,2 days,3 days,4 days,6,9,Unlimited,5.0,841,Morocco,Aug 2019,N/A,1 month,"English, Arabic, French",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$5,$10,$15,1 day,3 days,5 days,Unlimited,Unlimited,Unlimited,5.0,114,Egypt,Feb 2023,8 hours,3 days,"English, Arabic",2 orders in queue,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$15,$45,$60,3 days,7 days,10 days,2,2,2,5.0,171,France,Mar 2018,10 hours,1 week,"English, French",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$180,$250,$350,10 days,10 days,10 days,3,3,3,5.0,8,Poland,Apr 2020,N/A,1 year,"English, Polish",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$25,$130,$260,1 day,4 days,7 days,1,5,9,5.0,24,France,Oct 2021,1 hour,6 months,"French, English",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$50,$70,$100,6 days,6 days,6 days,3,3,3,4.9,148,Germany,Jan 2020,1 day,1 week,"German, English",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$20,$40,$80,1 day,2 days,2 days,Unlimited,Unlimited,Unlimited,5.0,51,Canada,Jan 2020,5 hours,1 month,"French, English",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$10,$15,$20,1 day,2 days,3 days,3,3,8,4.8,5,United States,Jul 2023,9 hours,1 day,English,1 order in queue,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$30,$45,$140,2 days,3 days,5 days,2,2,3,4.7,5,France,Sep 2021,N/A,1 week,"English, French",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$10,$35,$75,1 day,2 days,3 days,4,5,Unlimited,5.0,5,Italy,Apr 2022,8 hours,2 days,"English, Italian, French, Spanish",N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$30,$30,$30,1-day delivery,1-day delivery,1-day delivery,2 Revisions,2 Revisions,2 Revisions,4.8,4,Italy,Mar 2021,1 hour,5 days,"English, Italian",N/A,True
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$25,$50,$150,2 days,3 days,3 days,3,3,Unlimited,5.0,4,Canada,May 2019,4 hours,2 weeks,English,N/A,False
Music & Audio,mixing-mastering,new seller,"7,400+ Results",$25,$50,$75,4 days,4 days,4 days,1,1,1,5.0,236,United States,Feb 2022,3 hours,about 3 hours,English,1 order in queue,False
