Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,mixing-mastering,top rated seller,361 Results,$150,$300,$400,3 days,5 days,7 days,1,2,3,5.0,145,United States,Oct 2017,4 hours,about 1 hour,"English, Spanish",4 orders in queue,False
Music & Audio,mixing-mastering,top rated seller,361 Results,$110,$200,$280,2 days,3 days,3 days,3,3,3,5.0,61,Australia,Jan 2019,3 hours,about 5 hours,English,N/A,False
Music & Audio,mixing-mastering,top rated seller,361 Results,$300,$300,$300,14-day delivery,14-day delivery,14-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,35,Canada,Sep 2019,4 hours,about 47 minutes,"English, French",N/A,True
Music & Audio,mixing-mastering,top rated seller,361 Results,$25,$45,$70,1 day,2 days,3 days,1,1,1,5.0,882,Spain,Aug 2019,2 hours,about 2 hours,"English, Spanish, Catalan",1 order in queue,False
Music & Audio,mixing-mastering,top rated seller,361 Results,$50,$250,$375,1 day,3 days,3 days,Unlimited,Unlimited,Unlimited,5.0,"5,260",United States,Jul 2015,6 hours,about 2 hours,English,3 orders in queue,False
Music & Audio,mixing-mastering,top rated seller,361 Results,€9.67,€48.36,€116.06,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,988,Serbia,Jan 2013,1 hour,about 48 minutes,"English, Serbian",4 orders in queue,False
Music & Audio,mixing-mastering,top rated seller,361 Results,€9.67,€19.34,€38.69,1 day,1 day,2 days,1,1,1,4.9,528,United Kingdom,Sept 2017,3 hours,about 2 hours,English,N/A,False
Music & Audio,mixing-mastering,top rated seller,361 Results,$10,$15,$25,3 days,3 days,3 days,Unlimited,Unlimited,Unlimited,4.9,"3,557",United States,Jun 2013,1 hour,2 days,English,2 orders in queue,False
Music & Audio,mixing-mastering,top rated seller,361 Results,€96.72,€145.07,€193.43,10 days,10 days,10 days,5,5,5,5.0,"1,475",Netherlands,Jul 2018,2 hours,about 3 hours,"English, Dutch",14 orders in queue,False
Music & Audio,mixing-mastering,top rated seller,361 Results,$20,$30,$45,5 days,5 days,5 days,2,4,Unlimited,5.0,"1,230",Portugal,Jun 2021,3 hours,about 15 hours,"English, Portuguese, Spanish",10 orders in queue,False
