Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,producers,new seller,"8,900+ Results",$590,$790,"$1,290",10 days,10 days,14 days,1,2,3,N/A,N/A,Brazil,Jul 2021,4 hours,N/A,"English, Portuguese, Spanish, Italian",N/A,False
Music & Audio,producers,new seller,"8,900+ Results",$125,$550,"$1,000",4 days,7 days,10 days,4,6,Unlimited,N/A,N/A,United States,Jan 2024,1 hour,2 weeks,English,1 order in queue,False
Music & Audio,producers,new seller,"8,900+ Results",$50,$160,$210,5 days,10 days,10 days,3,3,3,5.0,213,United States,Oct 2021,18 hours,3 days,English,2 orders in queue,False
Music & Audio,producers,new seller,"8,900+ Results",$10,$15,$25,2 days,2 days,3 days,1,1,2,4.5,34,Morocco,Jul 2023,1 hour,3 weeks,"English, French",N/A,False
Music & Audio,producers,new seller,"8,900+ Results",$120,$300,$800,7 days,14 days,21 days,Unlimited,Unlimited,Unlimited,4.9,6,Czech Republic,Jun 2021,10 hours,3 days,English,N/A,False
Music & Audio,producers,new seller,"8,900+ Results",$15,$30,$40,2 days,3 days,3 days,-1,-1,-1,5.0,27,Argentina,Dec 2023,1 hour,about 16 hours,"English, Spanish",1 order in queue,False
Music & Audio,producers,new seller,"8,900+ Results",US$5,US$5,US$5,4-day delivery,4-day delivery,4-day delivery,1 Revision,1 Revision,1 Revision,5.0,41,United States,Nov 2021,N/A,2 months,English,N/A,True
Music & Audio,producers,new seller,"8,900+ Results",$15,$20,$25,3 days,3 days,3 days,1,1,2,5.0,78,Philippines,Aug 2021,1 day,2 weeks,"English, Tagalog",N/A,False
Music & Audio,producers,new seller,"8,900+ Results",$35,$55,$85,3 days,3 days,3 days,1,2,3,5.0,58,Germany,Jan 2022,1 hour,5 days,"English, German",1 order in queue,False
Music & Audio,producers,new seller,"8,900+ Results",$25,$30,$50,4 days,4 days,7 days,2,2,3,5.0,331,Netherlands,Mar 2019,23 hours,2 days,"English, Dutch",1 order in queue,False
Music & Audio,producers,new seller,"8,900+ Results",$50,$90,$135,3 days,4 days,4 days,3,3,Unlimited,4.9,166,Germany,Sep 2020,1 hour,3 days,English,N/A,False
Music & Audio,producers,new seller,"8,900+ Results",$35,$35,$35,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,548,Italy,Feb 2016,19 hours,2 weeks,English,N/A,True
