Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,producers,top rated seller,553 Results,$600,"$1,200","$2,100",10 days,14 days,30 days,5,9,Unlimited,5.0,25,United Kingdom,Jan 2018,1 hour,1 day,"English, French",N/A,False
Music & Audio,producers,top rated seller,553 Results,$150,$400,$450,14 days,21 days,21 days,Unlimited,Unlimited,Unlimited,5.0,16,United States,Apr 2016,1 hour,about 14 hours,English,2 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$150,$300,$450,21 days,21 days,21 days,1,2,2,5.0,22,United Kingdom,Aug 2014,1 hour,3 days,English,N/A,False
Music & Audio,producers,top rated seller,553 Results,$20,$60,$250,3 days,5 days,14 days,3,Unlimited,Unlimited,5.0,100,Argentina,Jan 2018,3 hours,3 days,"Spanish, English",1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$150,$400,$450,14 days,21 days,21 days,Unlimited,Unlimited,Unlimited,5.0,16,United States,Apr 2016,1 hour,about 14 hours,English,2 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,€14.51,€19.34,€24.18,4 days,5 days,5 days,1,1,1,5.0,325,Mexico,Aug 2020,1 hour,about 19 hours,"English, Spanish",N/A,False
Music & Audio,producers,top rated seller,553 Results,$15,$30,$60,4 days,5 days,6 days,1,1,1,5.0,168,Ukraine,Nov 2019,1 hour,1 day,English,1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$15,$40,$75,5 days,4 days,3 days,1,2,3,4.9,326,Indonesia,Feb 2021,7 hours,about 22 hours,"English, Indonesian",3 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$40,$60,$65,2 days,2 days,1 day,1,2,Unlimited,5.0,"2,790",Spain,Dec 2014,1 hour,about 38 minutes,English,6 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$135,$155,$175,7 days,7 days,7 days,Unlimited,Unlimited,Unlimited,4.9,257,Sri Lanka,Aug 2016,1 hour,about 15 hours,English,1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$100,$155,$175,5 days,6 days,6 days,2,3,4,5.0,174,Argentina,Apr 2020,1 hour,about 18 hours,"English, Spanish",2 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$60,$125,$175,2 days,4 days,5 days,0,5,Unlimited,5.0,911,Georgia,Mar 2018,1 hour,2 days,English,1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$60Save up to 20% with Subscribe to Save,$60Save up to 20% with Subscribe to Save,$60Save up to 20% with Subscribe to Save,7-day delivery,7-day delivery,7-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,75,United States,Sep 2020,1 hour,about 4 hours,"English, Spanish, Italian, French",3 orders in queue,True
Music & Audio,producers,top rated seller,553 Results,$50,$300,$600,3 days,7 days,10 days,Unlimited,Unlimited,Unlimited,5.0,238,Argentina,Mar 2021,2 hours,about 34 minutes,"English, Spanish, Portuguese",1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,€24.18,€58.03,€145.07,3 days,5 days,7 days,2,2,2,5.0,219,Italy,Apr 2020,1 hour,1 day,"English, Italian",9 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$120,$140,$200,21 days,21 days,21 days,4,4,7,5.0,42,Brazil,Sep 2019,3 hours,about 20 hours,"English, Portuguese",2 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$50,$70,$90,5 days,7 days,7 days,Unlimited,Unlimited,Unlimited,5.0,267,Argentina,Mar 2021,1 hour,1 day,"English, Spanish",4 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$275,$350,$450,30 days,30 days,21 days,1,1,1,5.0,623,United States,Sep 2018,1 hour,1 day,English,10 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$60,$80,$120,3 days,3 days,3 days,3,5,Unlimited,4.9,504,Indonesia,Jun 2020,1 hour,about 6 minutes,"English, Indonesian, Malay, German",6 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$100,$150,$200,6 days,7 days,10 days,0,0,0,5.0,499,United States,Jun 2020,1 hour,2 days,English,3 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,€241.79,€628.65,€967.15,5 days,10 days,14 days,1,1,3,5.0,42,Italy,Aug 2017,1 hour,3 days,"English, Italian",5 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$100,$210,$320,2 days,3 days,5 days,1,2,3,5.0,677,Italy,Aug 2019,1 hour,1 week,English,6 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$25,$60,$150,3 days,5 days,7 days,2,2,2,5.0,219,Italy,Apr 2020,1 hour,1 day,"English, Italian",9 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$80,$110,$160,3 days,3 days,3 days,-1,-1,-1,5.0,284,Sri Lanka,Nov 2014,1 hour,6 days,English,3 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$115,$115,$115,5-day delivery,5-day delivery,5-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,55,Belgium,Nov 2020,1 hour,about 5 hours,"English, French, Spanish",N/A,True
Music & Audio,producers,top rated seller,553 Results,$30,$90,$150,4 days,3 days,3 days,2,Unlimited,Unlimited,5.0,"1,487",Nigeria,Aug 2018,1 hour,about 7 hours,English,1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,€120.89,€217.61,€290.15,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,5.0,199,United Kingdom,Jun 2012,3 hours,2 days,English,1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$125,$500,"$1,150",3 days,7 days,21 days,1,2,3,5.0,"1,295",Israel,Dec 2011,1 hour,2 days,English,1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$50,$120,$165,10 days,10 days,10 days,0,1,2,5.0,380,Cyprus,Dec 2020,1 hour,about 1 hour,English,6 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$20,$45,$85,3 days,5 days,7 days,0,1,2,5.0,795,Indonesia,Dec 2018,9 hours,3 days,"English, Indonesian",8 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$35,$50,$80,7 days,7 days,7 days,2,2,2,4.9,30,Belarus,Aug 2022,1 hour,2 days,"Belarusian, English",3 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$35,$65,$95,5 days,5 days,5 days,0,3,Unlimited,5.0,80,Indonesia,Feb 2023,1 hour,about 2 hours,English,N/A,False
Music & Audio,producers,top rated seller,553 Results,$30,$90,$150,4 days,3 days,3 days,2,Unlimited,Unlimited,5.0,"1,487",Nigeria,Aug 2018,1 hour,about 7 hours,English,1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$60,$80,$120,3 days,3 days,3 days,3,5,Unlimited,4.9,466,Indonesia,Jun 2020,1 hour,about 9 minutes,"English, Indonesian, Malay, German",1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$20,$60,$85,5 days,4 days,3 days,-1,-1,-1,5.0,195,United States,Sep 2019,2 hours,4 days,"English, Italian",1 order in queue,False
Music & Audio,producers,top rated seller,553 Results,$50,$80,$100,7 days,7 days,7 days,5,5,5,4.9,300,Spain,Aug 2019,2 hours,4 days,"English, Spanish",3 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$120,$250,$500,7 days,14 days,14 days,Unlimited,Unlimited,Unlimited,5.0,64,Germany,Mar 2020,2 hours,3 days,"English, Chinese, German",N/A,False
Music & Audio,producers,top rated seller,553 Results,$150,$150,$150,7-day delivery,7-day delivery,7-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,83,Madagascar,Dec 2020,1 hour,about 33 minutes,"English, French",2 orders in queue,True
Music & Audio,producers,top rated seller,553 Results,$200Save up to 10% with Subscribe to Save,$200Save up to 10% with Subscribe to Save,$200Save up to 10% with Subscribe to Save,30-day delivery,30-day delivery,30-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,178,United States,Dec 2017,2 hours,1 day,English,5 orders in queue,True
Music & Audio,producers,top rated seller,553 Results,$35,$100,$150,3 days,4 days,7 days,1,2,3,5.0,27,Argentina,Oct 2019,4 hours,about 21 hours,English,N/A,False
Music & Audio,producers,top rated seller,553 Results,$40,$80,$150,4 days,5 days,6 days,1,2,4,5.0,332,Argentina,Aug 2020,1 hour,2 days,"English, Spanish",2 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$45,$80,$105,4 days,5 days,5 days,2,5,Unlimited,5.0,628,Georgia,Sep 2019,1 hour,1 day,"English, Georgian",3 orders in queue,False
Music & Audio,producers,top rated seller,553 Results,$250,$300,$800,7 days,7 days,7 days,1,3,9,5.0,209,Turkey,Oct 2020,1 hour,about 4 hours,"English, Turkish",5 orders in queue,False
