Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$150,$200,$275,3 days,4 days,6 days,1,1,2,5.0,40,Turkey,Jan 2019,1 hour,1 week,"English, Turkish",1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$20,$40,$100,3 days,3 days,5 days,2,2,2,5.0,27,Pakistan,Jun 2023,1 hour,2 days,"Urdu, Punjabi, Hindi, English",3 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$35,$50,$100,5 days,7 days,14 days,2,2,Unlimited,5.0,13,Argentina,Jun 2018,1 hour,1 day,"English, Spanish",1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$200,$280,$350,4 days,7 days,10 days,0,1,1,5.0,188,Grenada,Jan 2016,1 hour,2 months,English,N/A,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$75,$110,$165,7 days,7 days,7 days,2,2,2,5.0,76,United States,Dec 2022,1 hour,2 days,English,2 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$10,$35,$50,7 days,7 days,7 days,3,4,5,4.9,93,India,Feb 2022,1 hour,4 days,"English, Hindi, Nepali, Bengali",3 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$15,$25,$30,3 days,7 days,10 days,0,1,2,4.8,45,United Kingdom,Apr 2023,1 hour,1 day,English,1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$10,$40,$60,7 days,7 days,7 days,0,1,2,5.0,33,United Kingdom,May 2023,2 hours,5 days,English,3 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$120Save up to 20% with Subscribe to Save,$120Save up to 20% with Subscribe to Save,$120Save up to 20% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,14,United States,Feb 2020,1 hour,4 days,English,N/A,True
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$45,$105,$155,3 days,7 days,10 days,1,3,5,4.9,339,South Africa,Oct 2014,1 hour,about 13 hours,English,10 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$10,$90,$125,7 days,7 days,7 days,2,2,2,5.0,298,United Kingdom,May 2020,4 hours,4 days,English,2 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$15,$50,$70,3 days,4 days,5 days,1,1,2,4.9,57,Argentina,Mar 2023,1 hour,1 day,"English, Spanish, Portuguese",5 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$120,$160,$200,3 days,5 days,10 days,1,2,5,5.0,10,Jamaica,Apr 2015,1 hour,1 month,English,N/A,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$220,$220,$220,7-day delivery,7-day delivery,7-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,141,United Kingdom,Feb 2023,1 hour,1 week,English,N/A,True
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$35,$75,$115,5 days,5 days,5 days,0,0,1,5.0,135,United States,Nov 2019,8 hours,1 day,"English, Armenian, German, Russian",2 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$60,$100,$150,3 days,5 days,7 days,1,2,3,4.9,90,Nigeria,Mar 2020,1 hour,about 21 hours,"Yoruba, English",1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$30,$60,$130,3 days,4 days,7 days,2,2,2,4.9,61,United Kingdom,Oct 2022,3 hours,about 12 hours,N/A,2 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$75,$110,$210,3 days,7 days,10 days,1,1,1,5.0,132,United Kingdom,Feb 2023,1 hour,1 week,English,1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$45,$90,$125,2 days,3 days,4 days,1,1,2,5.0,209,United States,Oct 2021,1 hour,3 days,English,2 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$15,$25,$35,5 days,6 days,7 days,1,2,2,4.9,231,Venezuela,Jun 2020,2 hours,about 21 hours,"English, Spanish",2 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$10,$50,$70,3 days,5 days,7 days,2,3,3,5.0,40,Ukraine,Feb 2022,2 hours,about 10 hours,"English, Ukrainian, Russian",1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$30,$55,$100,3 days,7 days,10 days,1,2,2,5.0,106,United States,Aug 2021,5 hours,2 days,"English, Spanish, Latin",1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$40,$100,$125,3 days,4 days,4 days,1,2,2,5.0,120,Kenya,Mar 2021,1 hour,5 days,"English, Swahili",3 orders in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$70,$120,$180,7 days,7 days,7 days,1,2,3,4.9,234,Nigeria,Dec 2018,1 hour,about 15 hours,English,1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$45,$90,$155,2 days,4 days,5 days,1,1,2,5.0,270,Romania,Aug 2019,9 hours,about 12 hours,"English, Romanian, Persian",1 order in queue,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$150,$180,$250,3 days,3 days,3 days,2,2,2,5.0,15,France,Dec 2021,N/A,2 weeks,"English, French, German, Luxembourgish",N/A,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$90,$150,$250,7 days,6 days,4 days,1,2,2,4.7,17,Brazil,Oct 2022,1 hour,3 days,"English, Portuguese, Spanish, Italian",N/A,False
Music & Audio,singers-vocalists,level 1,"1,100+ Results",$10,$20,$30,2 days,3 days,5 days,1,2,3,4.9,57,Tunisia,Jul 2019,1 hour,about 17 hours,"English, French, Arabic, Spanish",7 orders in queue,False
