Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$200,$250,$350,2 days,2 days,2 days,1,2,2,5.0,9,United States,Mar 2017,11 days,5 months,English,N/A,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$190,$290,$590,5 days,6 days,10 days,1,2,3,N/A,N/A,Brazil,Jul 2021,4 hours,N/A,"English, Portuguese, Spanish, Italian",N/A,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$25,$100,$200,10 days,7 days,3 days,2,2,5,4.9,95,Philippines,Feb 2018,1 hour,1 week,"English, Tagalog",1 order in queue,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$10,$30,$120,1 day,2 days,3 days,Unlimited,Unlimited,Unlimited,4.9,116,Nigeria,Aug 2023,7 hours,1 day,English,2 orders in queue,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$140,$190,$400,4 days,4 days,7 days,2,2,2,5.0,15,Canada,Oct 2020,9 hours,9 months,"Chinese, English",N/A,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$10,$30,$40,5 days,7 days,10 days,0,0,1,5.0,177,United Kingdom,Jun 2022,12 hours,2 days,"English, Polish",1 order in queue,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$10,$15,$30,1 day,2 days,3 days,2,2,Unlimited,5.0,56,Malaysia,Dec 2020,23 hours,3 days,"English, Malay, Chinese",N/A,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$15,$30,$45,2 days,4 days,5 days,1,2,5,5.0,128,Philippines,Nov 2019,7 days,1 day,English,4 orders in queue,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$25,$60,$90,3 days,4 days,7 days,2,3,5,5.0,25,Italy,May 2023,11 hours,3 days,"English, Italian",1 order in queue,False
Music & Audio,singers-vocalists,new seller,"2,800+ Results",$30,$75,$95,2 days,5 days,7 days,1,1,2,5.0,96,United Kingdom,Jan 2021,1 hour,6 days,English,1 order in queue,False
