Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,voice-overs,level 1,5510,$5Save up to 10% with Subscribe to Save,$5Save up to 10% with Subscribe to Save,$5Save up to 10% with Subscribe to Save,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,17,Spain,Jun 2022,1 hour,1 week,"English, Spanish",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$5Save up to 5% with Subscribe to Save,$5Save up to 5% with Subscribe to Save,$5Save up to 5% with Subscribe to Save,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,768,Italy,Oct 2021,1 hour,1 day,"English, Italian, Spanish, French",2 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$10Save up to 10% with Subscribe to Save,$10Save up to 10% with Subscribe to Save,$10Save up to 10% with Subscribe to Save,1-day delivery,1-day delivery,1-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,147,Germany,Nov 2019,2 hours,2 days,"English, German",N/A,True
Music & Audio,voice-overs,level 1,5510,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,472,Italy,May 2020,1 hour,5 days,"English, Italian",N/A,True
Music & Audio,voice-overs,level 1,5510,$25Save up to 20% with Subscribe to Save,$25Save up to 20% with Subscribe to Save,$25Save up to 20% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,417,France,Feb 2021,1 hour,1 day,"English, French",4 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$25,$25,$25,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,180,Mexico,Sep 2021,2 hours,4 days,"Spanish, English",N/A,True
Music & Audio,voice-overs,level 1,5510,$20Save up to 5% with Subscribe to Save,$20Save up to 5% with Subscribe to Save,$20Save up to 5% with Subscribe to Save,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,4.9,37,United States,Dec 2021,1 hour,1 day,English,1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$15Save up to 10% with Subscribe to Save,$15Save up to 10% with Subscribe to Save,$15Save up to 10% with Subscribe to Save,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,4,Colombia,Sep 2017,3 hours,4 days,"Spanish, English",N/A,True
Music & Audio,voice-overs,level 1,5510,$30,$30,$30,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,222,South Africa,May 2020,15 hours,about 11 hours,"English, Afrikaans",4 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$55,$55,$55,1-day delivery,1-day delivery,1-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,694,United States,May 2019,7 hours,1 day,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$15,$15,$15,4-day delivery,4-day delivery,4-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,109,Malaysia,Apr 2017,8 hours,about 11 hours,English,2 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,11,Croatia,Sep 2016,1 hour,about 13 hours,"Croatian, Bosnian, Serbian",N/A,True
Music & Audio,voice-overs,level 1,5510,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,3 Revisions,3 Revisions,3 Revisions,4.9,116,Italy,Oct 2020,1 hour,1 day,"Italian, English",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,"1,229",United States,Apr 2014,11 hours,about 19 hours,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$30,$30,$30,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,764,United Kingdom,Nov 2014,N/A,2 days,"English, Spanish",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$30,$30,$30,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,55,Austria,Oct 2022,1 hour,3 days,"English, German, Turkish, Spanish",N/A,True
Music & Audio,voice-overs,level 1,5510,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,55,Algeria,Dec 2021,1 hour,1 day,"English, Arabic",2 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$5Save up to 15% with Subscribe to Save,$5Save up to 15% with Subscribe to Save,$5Save up to 15% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.4,7,Tanzania,Jan 2021,3 hours,3 weeks,"English, Swahili, French",N/A,True
Music & Audio,voice-overs,level 1,5510,$30,$30,$30,1-day delivery,1-day delivery,1-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,88,France,Oct 2017,1 hour,3 days,"English, French",N/A,True
Music & Audio,voice-overs,level 1,5510,$20Save up to 10% with Subscribe to Save,$20Save up to 10% with Subscribe to Save,$20Save up to 10% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,85,United States,Feb 2017,1 hour,1 week,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$15Save up to 20% with Subscribe to Save,$15Save up to 20% with Subscribe to Save,$15Save up to 20% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,647,Uruguay,Jul 2016,1 hour,3 days,"English, Spanish, German",N/A,True
Music & Audio,voice-overs,level 1,5510,$15,$15,$15,4-day delivery,4-day delivery,4-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,31,Malaysia,Apr 2017,8 hours,about 11 hours,English,4 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$40,$40,$40,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,4.9,184,Dominican Republic,Mar 2016,7 hours,6 days,"English, Spanish",N/A,True
Music & Audio,voice-overs,level 1,5510,$5Save up to 15% with Subscribe to Save,$5Save up to 15% with Subscribe to Save,$5Save up to 15% with Subscribe to Save,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,45,Germany,Mar 2021,1 hour,about 12 hours,"English, German, French, Spanish",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$15Save up to 10% with Subscribe to Save,$15Save up to 10% with Subscribe to Save,$15Save up to 10% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,230,India,Sep 2017,1 hour,about 14 hours,"English, Hindi, Urdu",3 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$25,$25,$25,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,45,Italy,Nov 2022,1 hour,1 day,Italian,1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,39,France,May 2022,3 hours,1 week,"English, French",N/A,True
Music & Audio,voice-overs,level 1,5510,$25,$25,$25,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,368,Italy,Jun 2015,1 hour,about 11 hours,"English, French, German",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,"1,045",Australia,Sep 2019,7 hours,about 16 hours,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$5Save up to 5% with Subscribe to Save,$5Save up to 5% with Subscribe to Save,$5Save up to 5% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,531,Morocco,Nov 2014,1 hour,1 day,French,1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,12,United States,Jan 2023,2 hours,6 days,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,124,Pakistan,Mar 2022,1 hour,about 9 hours,"Urdu, English",2 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$25,$25,$25,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,4.9,33,Mexico,Mar 2013,1 hour,about 22 hours,"English, Spanish",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$15Save up to 15% with Subscribe to Save,$15Save up to 15% with Subscribe to Save,$15Save up to 15% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.9,25,South Korea,Mar 2016,1 hour,6 days,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$15,$15,$15,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,4.9,16,United States,Mar 2015,1 hour,2 days,English,1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$5Save up to 10% with Subscribe to Save,$5Save up to 10% with Subscribe to Save,$5Save up to 10% with Subscribe to Save,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.9,375,United Kingdom,Jun 2020,5 hours,2 days,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$40,$40,$40,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,47,United States,May 2019,7 hours,about 18 hours,English,2 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$15Save up to 15% with Subscribe to Save,$15Save up to 15% with Subscribe to Save,$15Save up to 15% with Subscribe to Save,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,4.9,177,United Kingdom,Oct 2013,2 hours,6 days,English,N/A,True
Music & Audio,voice-overs,level 1,5510,$10Save up to 20% with Subscribe to Save,$10Save up to 20% with Subscribe to Save,$10Save up to 20% with Subscribe to Save,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,109,Germany,Mar 2022,1 hour,1 day,"English, German",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,66,United States,Apr 2019,2 hours,1 day,English,1 order in queue,True
Music & Audio,voice-overs,level 1,5510,CA$28.85Save up to 5% with Subscribe to Save,CA$28.85Save up to 5% with Subscribe to Save,CA$28.85Save up to 5% with Subscribe to Save,4-day delivery,4-day delivery,4-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,132,Mexico,N/A,1 hour,about 20 hours,"English, Spanish",1 order in queue,True
Music & Audio,voice-overs,level 1,5510,$25,$25,$25,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,428,United States,Apr 2016,2 hours,about 12 hours,English,4 orders in queue,True
Music & Audio,voice-overs,level 1,5510,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,86,Venezuela,Oct 2019,1 hour,1 day,"English, Spanish",N/A,True
