Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Music & Audio,voice-overs,new seller,15101,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,"1,853",Australia,Feb 2014,15 hours,2 days,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,37,United States,May 2022,16 hours,1 day,English,3 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,"1,853",Australia,Feb 2014,15 hours,2 days,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,15,Bangladesh,May 2023,1 hour,1 day,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,5 Revisions,5 Revisions,5 Revisions,5.0,331,United States,Apr 2015,1 hour,2 days,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,17,India,Jun 2023,1 hour,3 days,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$90,$90,$90,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,76,Australia,Jun 2020,2 hours,2 weeks,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,249,Denmark,Sep 2015,20 hours,1 week,"English, Danish, German",1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,5-day delivery,5-day delivery,5-day delivery,3 Revisions,3 Revisions,3 Revisions,5.0,194,United States,Aug 2019,1 day,4 days,"English, Japanese",N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,4.9,18,Bangladesh,Sep 2023,1 hour,1 day,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,13,Spain,Mar 2024,5 hours,about 11 hours,Spanish,2 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$20,$20,$20,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,1,United States,Jun 2022,2 hours,1 week,Nepali,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,₪19.35,₪19.35,₪19.35,4-day delivery,4-day delivery,4-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,18,United States,Mar 2023,8 hours,2 days,English,2 orders in queue,True
Music & Audio,voice-overs,new seller,15101,₪38.70,₪38.70,₪38.70,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,5.0,"1,174",United States,Jan 2015,N/A,1 month,English,N/A,True
Music & Audio,voice-overs,new seller,15101,₪19.35,₪19.35,₪19.35,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,693,United States,Jul 2014,2 hours,3 days,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,68,Vietnam,Jan 2023,1 hour,1 day,"English, Vietnamese, Chinese",N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,167,Morocco,Dec 2016,1 day,1 month,"English, Arabic, French",N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,5.0,120,United States,Jun 2021,4 hours,1 day,"English, Spanish",1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,466,United Kingdom,Apr 2012,1 hour,1 day,"English, Dutch, Spanish, German",2 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,3-day delivery,3-day delivery,3-day delivery,3 Revisions,3 Revisions,3 Revisions,4.9,17,United States,Jun 2023,1 hour,about 20 hours,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,57,France,Jan 2022,3 hours,1 week,French,N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,9 Revisions,9 Revisions,9 Revisions,5.0,26,Germany,Mar 2023,4 hours,1 day,"English, Ukrainian, German, Russian",1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$395,$395,$395,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,9,United Kingdom,Apr 2020,1 hour,8 months,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,4.9,19,United Kingdom,Feb 2024,1 hour,about 18 hours,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$10,$10,$10,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,4.9,"5,371",Andorra,Jan 2014,7 hours,1 day,"English, Spanish",1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$15,$15,$15,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,338,Mexico,Jan 2021,2 days,5 days,"English, Spanish",N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.9,15,South Korea,Oct 2023,1 hour,1 week,Korean,2 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$75,$75,$75,5-day delivery,5-day delivery,5-day delivery,1 Revision,1 Revision,1 Revision,5.0,44,Canada,Nov 2017,2 days,1 week,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,5.0,"1,519",Australia,Sep 2014,1 hour,2 weeks,English,2 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,13,United States,Dec 2022,N/A,3 weeks,"English, Italian",N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,13,United States,Feb 2024,7 hours,6 days,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$35,$35,$35,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,116,Canada,Aug 2016,1 day,1 week,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$20,$20,$20,1-day delivery,1-day delivery,1-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,30,Hungary,Nov 2019,1 day,6 days,"English, Hungarian, German",N/A,True
Music & Audio,voice-overs,new seller,15101,$15,$15,$15,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,4.9,23,United States,May 2022,1 hour,3 days,English,3 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$15,$15,$15,2-day delivery,2-day delivery,2-day delivery,1 Revision,1 Revision,1 Revision,4.9,116,United Kingdom,Feb 2021,9 hours,3 weeks,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,5 Revisions,5 Revisions,5 Revisions,5.0,530,United States,Apr 2015,1 hour,2 days,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,1-day delivery,1-day delivery,1-day delivery,2 Revisions,2 Revisions,2 Revisions,4.7,10,Bangladesh,Dec 2023,1 hour,1 week,English,N/A,True
Music & Audio,voice-overs,new seller,15101,€9.72,€9.72,€9.72,3-day delivery,3-day delivery,3-day delivery,-1,-1,-1,5.0,204,Japan,Aug 2021,13 hours,1 day,"Japanese, English",2 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,3-day delivery,3-day delivery,3-day delivery,1 Revision,1 Revision,1 Revision,5.0,632,United States,Sep 2015,1 hour,2 weeks,English,4 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$10,$10,$10,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,503,United States,May 2017,2 days,1 week,English,N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,569,United States,Nov 2021,2 days,1 day,English,8 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,608,Netherlands,Feb 2023,10 days,2 days,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,35,Bangladesh,Sep 2023,1 hour,1 day,"English, Bengali",N/A,True
Music & Audio,voice-overs,new seller,15101,$180,$180,$180,1-day delivery,1-day delivery,1-day delivery,1 Revision,1 Revision,1 Revision,5.0,12,France,Sep 2021,5 hours,3 months,"English, French",N/A,True
Music & Audio,voice-overs,new seller,15101,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,3 Revisions,3 Revisions,3 Revisions,4.8,23,United States,Dec 2023,1 hour,about 19 hours,English,1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$30,$30,$30,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,342,Germany,Aug 2022,1 hour,3 days,"English, German",1 order in queue,True
Music & Audio,voice-overs,new seller,15101,$20,$20,$20,3-day delivery,3-day delivery,3-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,4.9,236,Italy,Oct 2019,1 hour,about 10 hours,"English, Italian",2 orders in queue,True
Music & Audio,voice-overs,new seller,15101,$10,$10,$10,3-day delivery,3-day delivery,3-day delivery,2 Revisions,2 Revisions,2 Revisions,5.0,162,United States,Aug 2019,1 day,2 weeks,"English, Japanese",N/A,True
