Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Photography,event-photographers,level 2,18 Results,€145.07,€290.15,€386.86,4 days,4 days,4 days,5,5,5,5.0,5,United States,Jan 2020,1 hour,2 weeks,English,N/A,False
Photography,event-photographers,level 2,18 Results,$50,$70,$100,1 day,1 day,2 days,3,4,5,5.0,4,Bangladesh,Sep 2019,1 hour,3 weeks,"English, Hebrew, Bengali, Hindi",N/A,False
Photography,event-photographers,level 2,18 Results,$150,$300,$450,4 days,4 days,4 days,3,5,5,4.9,175,United States,Jan 2020,1 hour,2 weeks,English,N/A,False
Photography,event-photographers,level 2,18 Results,$200,$320,$420,2 days,3 days,3 days,0,0,1,5.0,21,United Kingdom,May 2023,1 hour,3 days,"English, Danish, Swedish, German",2 orders in queue,False
Photography,event-photographers,level 2,18 Results,$225,$400,$750,5 days,7 days,7 days,1,1,1,5.0,4,Canada,Jan 2014,5 hours,3 weeks,English,N/A,False
Photography,event-photographers,level 2,18 Results,€174.09,€241.79,€444.89,4 days,5 days,5 days,-1,-1,-1,5.0,3,Spain,Apr 2022,1 hour,about 11 hours,"English, Ukrainian, Russian, Spanish",1 order in queue,False
Photography,event-photographers,level 2,18 Results,€449.73,€967.15,"€1,355",7 days,7 days,7 days,0,0,0,5.0,22,United Kingdom,May 2023,1 hour,3 days,"English, Danish, Swedish, German",N/A,False
Photography,event-photographers,level 2,18 Results,€145.07,€193.43,€246.62,3 days,3 days,3 days,-1,-1,-1,5.0,3,Argentina,Dec 2019,1 hour,1 week,"English, Spanish, Italian",N/A,False
Photography,event-photographers,level 2,18 Results,$170,$280,$420,14 days,14 days,14 days,-1,-1,-1,5.0,9,United Kingdom,Jan 2020,1 hour,about 4 hours,"English, German, Spanish, French",N/A,False
Photography,event-photographers,level 2,18 Results,$50,$70,$100,1 day,1 day,2 days,3,4,5,5.0,4,Bangladesh,Sep 2019,1 hour,3 weeks,"English, Hebrew, Bengali, Hindi",N/A,False
Photography,event-photographers,level 2,18 Results,$150,$300,$400,4 days,4 days,4 days,5,5,5,5.0,5,United States,Jan 2020,1 hour,2 weeks,English,N/A,False
Photography,event-photographers,level 2,18 Results,€145.07,€290.15,€435.22,4 days,4 days,4 days,3,5,5,4.9,175,United States,Jan 2020,1 hour,2 weeks,English,N/A,False
Photography,event-photographers,level 2,18 Results,$150,$300,$500,2 days,3 days,4 days,1,1,1,4.7,7,France,Apr 2022,1 hour,3 days,"English, French, Arabic",N/A,False
Photography,event-photographers,level 2,18 Results,$300,$700,"$1,000",7 days,7 days,7 days,1,1,2,5.0,35,Vietnam,Jul 2022,1 hour,2 months,"English, Vietnamese",N/A,False
Photography,event-photographers,level 2,18 Results,$95,$155,$255,7 days,7 days,7 days,1,1,1,4.9,14,France,May 2016,2 hours,1 week,English,N/A,False
Photography,event-photographers,level 2,18 Results,$300,$600,"$1,000",1 day,1 day,2 days,1,1,1,5.0,93,China,May 2019,2 hours,3 months,English,N/A,False
Photography,event-photographers,level 2,18 Results,$200,$500,$860,3 days,5 days,10 days,0,1,3,4.9,91,Italy,Feb 2020,10 hours,1 month,"English, Italian, French, Dutch",N/A,False
Photography,event-photographers,level 2,18 Results,$180,$250,$350,3 days,3 days,3 days,0,0,0,4.9,137,United Kingdom,Dec 2014,1 hour,2 months,English,N/A,False
Photography,event-photographers,level 2,18 Results,"$1,200","$1,600","$1,900",5 days,5 days,5 days,0,0,0,4.9,137,United Kingdom,Dec 2014,1 hour,2 months,English,N/A,False
Photography,event-photographers,level 2,18 Results,$100,$310,$630,7 days,14 days,21 days,0,1,1,4.9,321,Spain,Jun 2020,3 hours,1 day,"English, Spanish",N/A,False
Photography,event-photographers,level 2,18 Results,$200,$200,$200,4-day delivery,4-day delivery,4-day delivery,-1,-1,-1,5.0,22,United Kingdom,May 2023,1 hour,3 days,"English, Danish, Swedish, German",N/A,True
