Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Photography,event-photographers,new seller,683 Results,$200,$400,$800,7 days,7 days,10 days,1,1,1,5.0,1,United States,May 2016,1 hour,1 week,English,1 order in queue,False
Photography,event-photographers,new seller,683 Results,$90,$160,$280,3 days,3 days,3 days,0,1,1,5.0,2,United Kingdom,Oct 2022,1 hour,5 months,English,N/A,False
Photography,event-photographers,new seller,683 Results,$220,$340,$445,7 days,10 days,10 days,2,2,2,4.9,9,United Kingdom,Nov 2020,6 hours,7 months,"English, Italian, Spanish",N/A,False
Photography,event-photographers,new seller,683 Results,$90,$140,$240,1 day,3 days,7 days,0,1,3,4.8,4,France,May 2023,2 hours,2 weeks,"English, French",1 order in queue,False
Photography,event-photographers,new seller,683 Results,$150,$290,$570,21 days,21 days,21 days,3,3,3,5.0,2,United Kingdom,Jul 2019,1 hour,10 months,"English, French, Bulgarian",N/A,False
Photography,event-photographers,new seller,683 Results,$95,$195,$495,1 day,2 days,4 days,0,1,2,5.0,2,United States,Jan 2023,1 hour,4 months,N/A,N/A,False
Photography,event-photographers,new seller,683 Results,$350,$550,"$1,000",3 days,3 days,3 days,1,1,1,5.0,1,United States,Apr 2019,1 hour,2 months,English,N/A,False
Photography,event-photographers,new seller,683 Results,$150,$600,"$1,000",14 days,14 days,21 days,1,2,Unlimited,3.7,1,United Kingdom,Jul 2020,1 hour,4 weeks,"English, Yoruba",N/A,False
Photography,event-photographers,new seller,683 Results,$450,$600,$800,3 days,3 days,3 days,-1,-1,-1,5.0,1,United Kingdom,Dec 2022,1 hour,10 months,English,1 order in queue,False
Photography,event-photographers,new seller,683 Results,$50,$50,$50,1-day delivery,1-day delivery,1-day delivery,Unlimited Revisions,Unlimited Revisions,Unlimited Revisions,5.0,2,United Kingdom,Sep 2023,2 hours,3 weeks,"English, Chinese",N/A,True
Photography,event-photographers,new seller,683 Results,$50,$70,$90,2 days,3 days,4 days,1,1,1,N/A,N/A,Singapore,Apr 2022,N/A,N/A,"English, Chinese, German",N/A,False
Photography,event-photographers,new seller,683 Results,$125,$125,$125,14-day delivery,14-day delivery,14-day delivery,1 Revision,1 Revision,1 Revision,5.0,1,United Kingdom,Jan 2022,1 hour,7 months,English,N/A,True
Photography,event-photographers,new seller,683 Results,$120,$220,$350,10 days,7 days,7 days,2,5,Unlimited,4.7,2,United Kingdom,Jul 2021,1 hour,10 months,"English, Spanish, French",N/A,False
Photography,event-photographers,new seller,683 Results,$920,$920,$920,14-day delivery,14-day delivery,14-day delivery,2 Revisions,2 Revisions,2 Revisions,4.9,9,United Kingdom,Nov 2020,6 hours,7 months,"English, Italian, Spanish",N/A,True
Photography,event-photographers,new seller,683 Results,$220,$400,$760,1 day,2 days,2 days,2,2,3,3.0,1,United Kingdom,Mar 2022,16 hours,1 year,"English, Yoruba, Spanish",N/A,False
Photography,event-photographers,new seller,683 Results,$250,$450,$650,2 days,7 days,10 days,0,1,1,5.0,2,United States,Aug 2021,1 hour,5 months,English,N/A,False
