Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Photography,food-photographers,new seller,566,$90,$260,$420,5 days,7 days,10 days,1,1,1,4.9,20,Montenegro,Mar 2022,5 hours,2 days,"English, Russian, German",1 order in queue,False
Photography,food-photographers,new seller,566,$150,$250,$350,3 days,5 days,7 days,0,1,1,4.5,7,Germany,Jan 2021,3 hours,6 months,"English, German",N/A,False
Photography,food-photographers,new seller,566,$80,$100,$120,1 day,1 day,1 day,1,1,1,5.0,1,Serbia,Jun 2016,1 hour,3 months,"English, Serbian, Greek",N/A,False
Photography,food-photographers,new seller,566,$150,$250,$360,2 days,3 days,3 days,1,1,1,5.0,1,Canada,Mar 2022,7 hours,1 year,English,N/A,False
Photography,food-photographers,new seller,566,$5,$5,$5,2-day delivery,2-day delivery,2-day delivery,-1,-1,-1,1.0,5,India,Feb 2014,N/A,N/A,English,1 order in queue,True
Photography,food-photographers,new seller,566,$40,$40,$40,7-day delivery,7-day delivery,7-day delivery,-1,-1,-1,5.0,3,Indonesia,Jul 2019,3 hours,1 year,"English, Indonesian",N/A,True
Photography,food-photographers,new seller,566,$40,$60,$70,4 days,6 days,10 days,0,1,2,5.0,3,Turkey,Dec 2022,N/A,2 months,"English, Turkish, Spanish",N/A,False
Photography,food-photographers,new seller,566,$100,$170,$210,2 days,3 days,7 days,0,0,0,5.0,5,Italy,Aug 2018,1 hour,2 years,"English, Italian, Swedish",N/A,False
Photography,food-photographers,new seller,566,$125,$600,"$1,200",7 days,7 days,7 days,-1,-1,-1,4.8,2,Philippines,Aug 2020,N/A,8 months,English,N/A,False
Photography,food-photographers,new seller,566,$5,$10,$15,1 day,1 day,1 day,-1,-1,-1,3.0,1,Pakistan,Apr 2023,18 days,1 year,"Urdu, Hindi, English",N/A,False
Photography,food-photographers,new seller,566,$100,$300,$500,5 days,7 days,10 days,1,1,1,5.0,1,United States,Apr 2020,18 hours,3 months,English,N/A,False
