Category,Field,Seller Level,Seller In Same Level,Basic Price,Standard Price,Premium Price,Basic Delivery,Standard Delivery,Premium Delivery,Basic Revision,Standard Revision,Premium Revision,Rating,Rating Count,Country,Member Since,Avg Response Time,Last Delivery,Language,Order in Queue,is_single_plan
Photography,lifestyle-fashion-photographers,new seller,548,$560,$890,"$1,650",10 days,14 days,14 days,1,2,3,5.0,9,Austria,Mar 2019,3 hours,about 18 hours,"English, German, Spanish",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$65,$75,$85,3 days,3 days,2 days,0,2,Unlimited,5.0,1,India,Feb 2022,1 hour,1 week,English,N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$150,$350,$600,2 days,3 days,7 days,1,2,1,4.8,2,Moldova,Oct 2021,1 hour,2 months,"Russian, English",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$125,$175,$275,7 days,7 days,7 days,0,0,0,5.0,2,United States,Jun 2017,2 hours,7 months,English,N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$800,"$1,000","$1,500",7 days,7 days,7 days,0,0,1,4.9,7,United States,Jul 2019,1 hour,2 months,"English, Russian, Ukrainian",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$90,$120,$200,2 days,3 days,5 days,2,1,1,5.0,2,Canada,Apr 2023,4 hours,7 months,"English, French, Italian, Spanish",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$375,$750,"$1,125",3 days,3 days,3 days,1,1,1,5.0,2,United Kingdom,Sep 2021,2 days,5 months,English,N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$100,$300,$500,2 days,3 days,3 days,-1,-1,-1,4.3,6,Vietnam,May 2021,2 hours,11 months,"English, Vietnamese",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$100,$200,$300,3 days,5 days,10 days,1,2,3,5.0,5,Romania,Feb 2021,1 hour,1 year,English,N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,₪661.31,₪855.81,"₪1,051",2 days,3 days,5 days,1,1,2,4.8,8,United Arab Emirates,Sep 2022,3 hours,8 months,"English, Urdu, Arabic",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,₪194.50,₪311.20,₪583.51,3 days,5 days,5 days,-1,-1,-1,5.0,2,Algeria,Jul 2020,1 hour,3 months,"English, Arabic, French",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$50,$100,$130,5 days,5 days,7 days,1,2,2,5.0,11,United States,Sep 2023,1 hour,1 week,"English, Russian",2 orders in queue,False
Photography,lifestyle-fashion-photographers,new seller,548,₪194.50,₪778.01,"₪1,168",2 days,3 days,3 days,Unlimited,Unlimited,Unlimited,4.7,1,India,Jun 2023,1 hour,3 months,"Hindi, Gujarati, English, Spanish",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$125,$205,$325,7 days,10 days,14 days,1,1,1,4.9,3,France,Sep 2021,2 hours,1 month,"English, French",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$160,$230,$280,4 days,4 days,4 days,0,0,1,5.0,6,United States,May 2022,3 days,1 year,"English, Russian",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$100,$800,"$2,500",7 days,7 days,14 days,0,0,1,4.9,4,Slovenia,Oct 2021,2 hours,8 months,"English, Slovenian",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$75,$125,$200,2 days,3 days,3 days,1,2,2,5.0,4,United States,Mar 2021,20 hours,11 months,"English, Spanish",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$150,$270,$500,2 days,4 days,5 days,1,2,3,4.9,3,Netherlands,Apr 2021,4 days,1 month,"Portuguese, English",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$100,$165,$245,4 days,3 days,2 days,-1,-1,-1,5.0,3,Germany,Jun 2016,1 hour,6 months,"German, English",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$90,$150,$300,2 days,4 days,7 days,1,2,2,5.0,2,Moldova,Oct 2021,1 hour,2 months,"Russian, English",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$80,$140,$200,3 days,4 days,5 days,2,2,2,5.0,1,Austria,Jan 2023,7 days,10 months,"English, German",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$275,$375,$475,5 days,5 days,4 days,2,4,6,5.0,3,United States,May 2019,1 hour,8 months,"English, French, Tamil",N/A,False
Photography,lifestyle-fashion-photographers,new seller,548,$80,$150,$250,14 days,10 days,7 days,1,3,5,5.0,1,United States,Mar 2022,2 hours,1 week,English,N/A,False
